Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2006-01-02,51.06,51.32,50.1,50.41,715590,,,,,,,,0,,,,,0,,,0,,,,
2006-01-03,50.74,51.37,50.44,50.64,419965,,,,,,,,0,,,,,0,,,0,,,,
2006-01-04,51.23,52.24,50.88,51.84,1448085,,,,,,,,0,,,,,0,,,0,,,,
2006-01-05,51.84,53.42,51.42,53.1,3013255,,,,,,,,0,,,,,0,,,0,,,,
2006-01-06,54.03,55.17,53.17,54.88,2035155,,,,,,,,0,,,,,0,,,0,,,,
2006-01-09,55.08,56.96,54.22,55.88,2035060,,,,,,,,0,,,,,0,,,0,,,,
2006-01-10,56.13,56.3,53.5,54.69,1998300,,,,,,,,0,,,,,0,,,0,,,,
2006-01-12,54.9,55.6,51.17,54.78,937425,,,,,,,,0,,,,,0,,,0,,,,
2006-01-13,55.25,56.46,54.99,55.64,2309120,,,,,,,,0,,,,,0,,,0,,,,
2006-01-16,55.94,56.83,55.09,56.51,1812945,,,,,,,,0,,,,,0,,,0,,,,
2006-01-17,60.22,62.07,56.48,56.67,1566355,,,,,,,,0,,,,,0,,,0,,,,
2006-01-18,56.49,56.83,54.38,56.08,1319795,,,,,,,,0,,,,,0,,,0,,,,
2006-01-19,56.83,57.7,56.41,57.31,690225,,,,,,,,0,,,,,0,,,0,,,,
2006-01-20,57.53,61.16,57.02,59.23,1201500,,,,,,2.17,,0,,,,,0,,,0,,,,
2006-01-23,59.36,65.55,57.72,64.21,3207325,,,50.1,,,2.57,91.88,0,,56.4,,,0,,,0,,,,
2006-01-24,60.32,64.59,58.41,58.85,2447030,,,50.44,,,2.83,64.95,0,,52.89,,,0,,,0,,,,
2006-01-25,62.07,62.07,56.13,56.79,2142220,,,50.88,,,3.05,57.92,0,,51.56,,,0,,,0,,,,
2006-01-27,57.51,59.31,57.16,58.27,3883055,,,51.17,,,3.01,61.17,0,,52.63,,,0,,,0,,,,
2006-01-30,58.27,59.24,56.65,58.3,1723365,,,51.17,,,2.98,61.24,0,,52.67,,,0,,,0,,,,
2006-01-31,58.49,59.27,57.71,58.93,1218250,,,51.17,65.55,,2.88,62.66,0,,53.15,,,0,,,0,,,,
2006-02-01,58.93,59.97,57.71,58.78,1584040,,,51.17,65.55,65.55,2.84,62.07,0,,53.08,,,0,,,0,,,,
2006-02-02,59.45,60.32,57.81,59.22,3089815,,,51.17,65.55,65.55,2.81,63.16,0,,53.38,,,0,,,0,,,,
2006-02-03,59.64,59.64,56.71,57.5,1398940,,,54.38,65.55,65.55,2.82,56.37,0,,53.33,,,0,,,0,,,,
2006-02-06,57.7,58.73,57.0,58.51,617915,,,54.38,65.55,65.55,2.74,59.15,0,,54.04,,,0,,,0,,,,
2006-02-07,58.75,63.3,58.58,60.93,4386870,,,54.38,65.55,65.55,2.89,64.91,0,,55.5,,,0,,,0,,,,
2006-02-08,61.02,61.02,58.28,58.7,3066370,,,54.38,65.55,65.55,2.88,56.94,0,,54.07,,,0,,,0,,,,
2006-02-10,58.79,60.24,58.58,59.95,1673030,,,56.13,65.55,65.55,2.79,59.91,0,,55.52,,,0,,,0,,,,
2006-02-13,60.15,61.2,59.31,60.68,1940520,,,56.13,65.55,65.55,2.73,61.58,0,,56.03,,,0,,,0,,,,
