Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
1/2/2006,143.16,143.32,138.35,140.86,1954278,,,,,,,,0,,,,,0,,,0,,,,
1/3/2006,142.08,144.34,140.42,143.51,1404704,,,,,,,,0,,,,,0,,,0,,,,
1/4/2006,145.39,145.39,142.47,142.89,894874,,,,,,,,0,,,,,0,,,0,,,,
1/5/2006,144.73,144.73,141.25,141.85,908577,,,,,,,,0,,,,,0,,,0,,,,
1/6/2006,143.32,145.6,142.49,143.84,1574993,,,,,,,,0,,,,,0,,,0,,,,
1/9/2006,144.56,147.05,143.76,145.56,1921586,,,,,,,,0,,,,,0,,,0,,,,
1/10/2006,145.6,145.6,140.86,141.33,856237,,,,,,,,0,,,,,0,,,0,,,,
1/12/2006,140.01,142.04,138.39,138.81,1304846,,,,,,,,0,,,,,0,,,0,,,,
1/13/2006,138.35,140.34,137.94,138.45,1265121,,,,,,,,0,,,,,0,,,0,,,,
1/16/2006,138.85,139.8,136.8,138.52,1066075,,,,,,,,0,,,,,0,,,0,,,,
1/17/2006,139.55,139.97,135.47,137.15,1225956,,,,,,,,0,,,,,0,,,0,,,,
1/18/2006,137.94,163.58,133.69,137.07,1761290,,,,,,,,0,,,,,0,,,0,,,,
1/19/2006,137.94,144.15,137.52,143.45,1481179,,,,,,,,0,,,,,0,,,0,,,,
1/20/2006,141.25,144.56,141.25,142.64,1599978,,,,,,5.94,,0,,,,,0,,,0,,,,
1/23/2006,134.04,144.15,134.04,142.6,505793,,,133.69,,,6.24,76.38,0,,132.38,,,0,,,0,,,,
1/24/2006,144.15,147.36,142.58,144.01,3643175,,,133.69,,,6.13,77.59,0,,133.36,,,0,,,0,,,,
1/25/2006,144.42,151.4,142.08,147.4,4062367,,,133.69,,,6.36,80.21,0,,135.4,,,0,,,0,,,,
1/27/2006,148.29,149.08,146.12,147.34,2077138,,,133.69,,,6.12,80.03,0,,135.52,,,0,,,0,,,,
1/30/2006,149.54,151.11,148.09,148.5,1791814,,,133.69,,,5.95,80.91,0,,136.38,,,0,,,0,,,,
1/31/2006,148.71,149.91,146.47,147.98,882777,,,133.69,163.58,,5.77,79.22,0,,136.16,,,0,,,0,,,,
2/1/2006,147.88,148.67,145.02,145.48,788147,,,133.69,163.58,163.58,5.62,71.49,0,,134.65,,,0,,,0,,,,
2/2/2006,145.48,151.19,144.98,150.63,2103497,,,133.69,163.58,163.58,5.66,76.56,0,,137.94,,,0,,,0,,,,
2/3/2006,150.78,155.91,147.48,152.04,3621070,,,133.69,163.58,163.58,5.86,77.73,0,,138.72,,,0,,,0,,,,
2/6/2006,152.85,155.27,150.36,153.04,1644595,,,133.69,163.58,163.58,5.79,78.55,0,,139.41,,,0,,,0,,,,
2/7/2006,153.26,156.35,151.09,153.62,1833110,,,133.69,163.58,163.58,5.75,79.03,0,,139.81,,,0,,,0,,,,
2/8/2006,153.16,154.92,150.16,154.17,1153936,,,133.69,163.58,163.58,5.68,79.5,0,,140.21,,,0,,,0,,,,
2/10/2006,154.51,154.71,150.16,150.7,2264636,,,134.04,163.58,163.58,5.6,69.01,0,,138.15,,,0,,,0,,,,
2/13/2006,150.78,151.17,148.11,150.47,1388147,,,134.04,163.58,163.58,5.42,68.37,0,,138.12,,,0,,,0,,,,
2/14/2006,151.61,154.46,150.34,152.23,1518634,,,134.04,163.58,163.58,5.33,70.62,0,,139.32,,,0,,,0,,,,
2/15/2006,153.26,156.58,150.32,151.48,2354430,,145.59,142.08,163.58,163.58,5.39,68.38,0,,141.47,,,0,,,0,,,,
2/16/2006,151.61,152.75,149.12,150.45,1110280,,145.91,142.08,163.58,163.58,5.27,65.32,0,,140.89,,,0,,,0,,,,
2/17/2006,151.17,152.64,150.59,151.25,918483,,146.16,144.98,156.58,163.58,5.05,66.57,0,,142.52,,,0,,,0,,,,
2/20/2006,150.8,151.61,147.88,150.47,644550,,146.42,144.98,156.58,156.58,4.95,64.14,0,,142.08,,,0,,,0,,,,
2/21/2006,151.94,153.26,150.49,152.7,719190,,146.78,144.98,156.58,156.58,4.8,67.77,0,,143.62,,,0,,,0,,,,
2/22/2006,153.26,154.49,150.99,151.4,829006,,147.03,144.98,156.58,156.58,4.71,63.72,0,,142.84,,,0,,,0,,,,
2/23/2006,152.31,153.22,150.38,152.33,2159745,,147.26,144.98,156.58,156.58,4.57,65.31,0,,143.53,,,0,,,0,,,,
2/24/2006,152.23,153.43,150.36,150.8,597454,,147.57,147.48,156.58,156.58,4.47,60.59,0,,143.45,,,0,,,0,,,,
2/27/2006,152.19,152.19,148.38,149.43,747775,,147.93,147.88,156.58,156.58,4.42,56.64,0,,142.73,,,0,,,0,,,,
2/28/2006,149.91,150.45,147.4,149.56,871478,,148.3,147.4,156.58,156.58,4.32,56.93,0,,142.72,,,0,,,0,,,,
3/1/2006,148.29,157.41,148.29,156.33,2684017,,148.89,147.4,157.41,156.58,4.66,68.59,0,,146.86,,,0,,,0,,,,
3/2/2006,157.82,165.9,157.82,164.36,4888808,,149.8,147.4,165.9,157.41,5.01,76.66,0,,151.8,,,0,,,0,,,,
3/3/2006,164.61,170.54,164.61,169.05,4409548,,150.86,147.4,170.54,165.9,5.1,79.9,0,,154.77,,,0,,,0,,,,
3/6/2006,170.25,171.9,166.64,167.66,3093050,,151.67,147.4,171.9,170.54,5.11,76.51,0,,153.87,,,0,,,0,,,,
3/7/2006,167.35,170.6,165.9,166.93,1932995,,152.48,147.4,171.9,171.9,5.08,74.71,0,,153.42,,,0,,,0,,,,
3/8/2006,167.76,168.34,160.31,162.19,2637750,,153.13,147.4,171.9,171.9,5.29,64.17,0,,150.22,,,0,,,0,,,,
3/9/2006,160.72,162.13,155.36,158.4,2555605,,153.61,147.4,171.9,171.9,5.4,57.23,0,,147.7,,,0,,,0,,,,
3/10/2006,159.06,163.54,158.05,159.81,2895086,,154.03,147.4,171.9,171.9,5.41,59,0,,148.61,,,0,,,0,,,,
3/13/2006,160.76,163.83,160.76,161.28,1554168,,154.49,147.4,171.9,171.9,5.31,60.83,0,,149.62,,,0,,,0,,,,
3/14/2006,155.71,161.76,155.71,160.04,1197114,,154.88,147.4,171.9,171.9,5.36,58.46,0,,148.79,,,0,,,0,,,,
3/16/2006,161.51,162.96,159.91,161.98,1058945,,155.34,147.4,171.9,171.9,5.2,61.02,0,,150.15,,,0,,,0,,,,
3/17/2006,162.58,162.96,159.06,160.14,1209270,,155.83,147.4,171.9,171.9,5.1,57.41,0,,149.02,,,0,,,0,,,,
3/20/2006,161.01,161.24,157.94,159.15,604120,,156.12,147.4,171.9,171.9,4.97,55.51,0,,148.47,,,0,,,0,,,,
3/21/2006,159.27,161.86,159.27,161.55,1255521,,156.43,147.4,171.9,171.9,4.81,59.05,0,,150.12,,,0,,,0,,,,
3/22/2006,161.96,162.56,159.27,160.22,971740,,156.67,148.29,171.9,171.9,4.7,56.37,0,,149.64,,,0,,,0,,,,
3/23/2006,159.99,161.13,156.58,157.67,1338945,,156.81,155.36,171.9,171.9,4.69,51.54,0,,150.36,,,0,,,0,,,,
3/24/2006,158.23,159.44,155.33,158.05,1003211,,156.94,155.33,171.9,171.9,4.65,52.2,0,,150.62,,,0,,,0,,,,
3/27/2006,158.65,163.45,158.65,162.62,1827083,,157.33,155.33,171.9,171.9,4.7,59.34,0,,153.53,,,0,,,0,,,,
3/28/2006,163.62,165.23,161.09,162.25,1365545,,157.73,155.33,171.9,171.9,4.66,58.58,0,,153.32,,,0,,,0,,,,
3/29/2006,161.94,164.59,161.94,163.52,734402,,158.1,155.33,171.9,171.9,4.52,60.46,0,,154.23,,,0,,,0,,,,
3/30/2006,164.82,177.66,163.64,171.43,6620697,,158.77,155.33,177.66,171.9,5.21,69.68,0,,158.88,,,0,,,0,,,,
3/31/2006,171.7,173.77,166.73,170.97,2103337,,159.45,155.33,177.66,177.66,5.34,68.68,0,,158.49,,,0,,,0,,,,
4/3/2006,169.75,176.03,169.42,174.66,1782955,,160.23,155.33,177.66,177.66,5.43,72.15,0,,160.81,,,0,,,0,,,,
4/4/2006,176.87,176.87,169.94,172.9,1552125,,160.98,155.33,177.66,177.66,5.54,68.27,0,,159.61,,,0,,,0,,,,
4/5/2006,172.77,175.78,171.49,173.46,1426651,,161.67,155.33,177.66,177.66,5.45,68.84,0,,160.03,,,0,,,0,,,,
4/7/2006,174.8,175.2,167.55,169.65,2489624,,162.28,155.33,177.66,177.66,5.6,60.78,0,,157.46,,,0,,,0,,,,
4/10/2006,170.25,170.66,164.45,167.47,1715610,,162.78,155.33,177.66,177.66,5.65,56.69,0,,156.03,,,0,,,0,,,,
4/12/2006,167.76,170.18,163.62,164.26,1232773,,163.23,155.33,177.66,177.66,5.71,51.23,0,,153.92,,,0,,,0,,,,
4/13/2006,164.86,166.52,161.57,163.66,651598,,163.71,155.33,177.66,177.66,5.66,50.25,0,,153.56,,,0,,,0,,,,
4/17/2006,165.28,165.69,158.32,163.72,1086464,,164.18,155.33,177.66,177.66,5.78,50.35,0,,153.52,,,0,,,0,,,,
4/18/2006,166.35,168.96,164.24,168.47,1425515,,164.58,155.33,177.66,177.66,5.74,57.73,0,,156.61,,,0,,,0,,,,
4/19/2006,170.16,171.9,168.18,171.08,1244907,,164.81,158.32,177.66,177.66,5.6,61.14,0,,159.39,,,0,,,0,,,,
4/20/2006,171.99,171.99,168.18,170.85,616436,,164.87,158.32,177.66,177.66,5.47,60.68,0,,159.32,,,0,,,0,,,,
4/21/2006,172.84,173.39,166.89,170.06,1174374,,164.95,158.32,177.66,177.66,5.54,59.02,0,,158.77,,,0,,,0,,,,
4/24/2006,171.49,171.49,168.03,170.54,454835,,165.07,158.32,177.66,177.66,5.39,59.74,0,,159.18,,,0,,,0,,,,
4/25/2006,170.45,171.03,139.53,165.52,1104903,,165.18,139.53,177.66,177.66,7.26,49.86,0,,148.43,,,0,,,0,,,,
4/26/2006,165.73,171.7,162.38,170.58,1828736,,165.59,139.53,177.66,177.66,7.41,57.49,0,,151.6,,,0,,,0,,,,
4/27/2006,173.15,175.18,165.03,166.15,3143803,,165.8,139.53,177.66,177.66,7.6,50.27,0,,148.61,,,0,,,0,,,,
4/28/2006,166.31,170.25,155.75,168.05,2735463,,166.02,139.53,177.66,177.66,8.1,53,0,,149.51,,,0,,,0,,,,
5/2/2006,170.64,172.11,168.82,169.34,846834,,166.33,139.53,177.66,177.66,7.81,54.81,0,,150.53,,,0,,,0,,,,
5/3/2006,171.08,176.21,168.59,175.92,1837153,,166.8,139.53,176.87,177.66,7.79,62.7,0,,154.78,,,0,,,0,,,,
5/4/2006,177.45,179.15,172.73,175.88,1558376,,167.32,139.53,179.15,176.87,7.7,62.63,0,,154.82,,,0,,,0,,,,
5/5/2006,177.21,177.21,173.15,174.29,927890,,167.83,139.53,179.15,179.15,7.44,59.71,0,,153.97,,,0,,,0,,,,
5/8/2006,174.29,176.21,171.9,174.78,1040814,,168.27,139.53,179.15,179.15,7.21,60.32,0,,154.43,,,0,,,0,,,,
5/9/2006,176,176,168.24,172.01,960205,,168.66,139.53,179.15,179.15,7.25,55.2,0,,152.62,,,0,,,0,,,,
5/10/2006,174.97,174.97,171.57,172.79,2016041,,169.16,139.53,179.15,179.15,6.98,56.33,0,,153.31,,,0,,,0,,,,
5/11/2006,173.1,174.39,170.52,171.78,1105886,,169.62,139.53,179.15,179.15,6.75,54.42,0,,152.8,,,0,,,0,,,,
5/12/2006,171.86,172.69,168.49,171.99,854291,,169.93,139.53,179.15,179.15,6.57,54.77,0,,153.06,,,0,,,0,,,,
5/15/2006,170.66,172.21,162.79,166.89,1329571,,170.09,139.53,179.15,179.15,6.78,45.77,0,,149.64,,,0,,,0,,,,
5/16/2006,167.76,169,159.95,167,1105473,,170.2,139.53,179.15,179.15,6.94,45.98,0,,149.6,,,0,,,0,,,,
5/17/2006,165.71,174.6,165.28,172.38,1660404,,170.24,155.75,179.15,179.15,7.11,54.99,0,,158.36,,,0,,,0,,,,
5/18/2006,171.49,171.9,163.62,165.86,1896812,,170.07,155.75,179.15,179.15,7.23,45.16,0,,154.08,,,0,,,0,,,,
5/19/2006,167.76,172.07,151.25,161.63,1487750,,169.63,151.25,179.15,179.15,8.2,40.15,0,,149.2,,,0,,,0,,,,
5/22/2006,169.75,171.66,144.98,149.54,2181454,,168.85,144.98,179.15,179.15,9.52,29.92,0,,138.44,,,0,,,0,,,,
5/23/2006,156.16,159.48,142.91,153.12,1714933,,168.18,142.91,179.15,179.15,10.02,35.19,0,,139.72,,,0,,,0,,,,
5/24/2006,154.09,162.38,145.62,153.43,3949613,,167.63,142.91,179.15,179.15,10.5,35.64,0,,139.6,,,0,,,0,,,,
5/25/2006,151.19,166.02,144.98,163.12,7159227,,167.49,142.91,179.15,179.15,11.26,47.85,0,,145.35,,,0,,,0,,,,
5/26/2006,163.12,164.43,157.41,160.84,1016839,,167.38,142.91,179.15,179.15,10.95,45.65,0,,144.08,,,0,,,0,,,,
5/29/2006,165.65,165.65,156.37,158.23,1127822,,167.19,142.91,179.15,179.15,10.83,43.21,0,,142.47,,,0,,,0,,,,
5/30/2006,159.06,159.48,153.26,155.17,1350449,,166.91,142.91,179.15,179.15,10.5,40.47,0,,140.72,,,0,,,0,,,,
5/31/2006,153.26,154.49,149.54,151.86,1869537,,166.36,142.91,179.15,179.15,10.16,37.69,0,,138.82,,,0,,,0,,,,
6/1/2006,153.01,156.12,141.06,143.57,2596550,,165.44,141.06,177.21,179.15,10.51,31.8,0,,132.62,,,0,,,0,,,,
6/2/2006,144.15,152.85,138.35,151.59,1866130,,164.8,138.35,176.21,177.21,10.79,41.35,0,,136.7,,,0,,,0,,,,
6/5/2006,147.09,153.26,144.27,145.93,1285987,,163.99,138.35,176,176.21,10.66,37.38,0,,133.13,,,0,,,0,,,,
6/6/2006,136.69,151.15,136.69,143.18,1320430,,163.08,136.69,174.97,176,10.93,35.58,0,,130.63,,,0,,,0,,,,
6/7/2006,141.67,149.12,138.77,146.16,2239726,,162.44,136.69,174.6,174.97,10.89,39,0,,132.58,,,0,,,0,,,,
6/8/2006,144.56,144.98,134.21,136.07,2757576,,161.28,134.21,174.6,174.6,10.97,32.68,0,,125.19,,,0,,,0,,,,
6/9/2006,138.72,141.67,134.64,139.3,1627359,,160.39,134.21,174.6,174.6,10.69,36.24,0,,127.46,,,0,,,0,,,,
6/12/2006,140.42,140.42,133.59,134.27,1139687,,159.26,133.59,174.6,174.6,10.41,33.29,0,,124.19,,,0,,,0,,,,
6/13/2006,131.72,135.87,127.29,133.11,1146658,,158.06,127.29,174.6,174.6,10.28,32.63,0,,121.43,,,0,,,0,,,,
