Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,72.15,74.57,72.15,73.2,2038830,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,73.62,74.51,73.26,74.33,3389520,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,74.52,75.62,74.52,75.47,5247240,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,75.49,77.09,74.48,76.68,7439490,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,76.78,77.49,75.35,77.3,5378700,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,75.35,79.26,74.56,78.5,4337910,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,76.8,78.47,76.8,78.24,2097675,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,77.94,78.94,76.14,77.9,2580600,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,78.05,78.37,76.26,77.0,1632750,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,77.36,78.15,75.89,77.53,3038550,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,77.78,78.47,76.41,77.21,2499435,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,76.63,78.36,75.05,77.1,2849460,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,77.42,81.52,77.42,80.51,5367240,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,80.79,84.21,79.94,83.26,5996685,,,2.7,,,,,,0,,,,,0,,0,,,,,
2006-01-23,83.21,85.31,81.73,84.37,3114810,,72.15,2.76,92.28,76.63,,,,0,,,76.63,,0,,0,,,,,
2006-01-24,84.52,86.79,84.52,86.28,2949105,,73.26,2.74,93.15,78.25,,,,0,,,78.25,,0,,0,,,,,
2006-01-25,86.64,88.75,86.37,88.26,4392165,,74.48,2.72,93.91,79.94,,,,0,,,79.94,,0,,0,,,,,
2006-01-27,88.48,90.9,88.26,90.35,6633840,,74.48,2.71,94.6,81.29,,,,0,,,81.29,,0,,0,,,,,
2006-01-30,91.11,92.69,88.63,89.52,4798965,,74.56,2.81,90.25,80.72,,,,0,,,80.72,,0,,0,,,,,
2006-01-31,90.84,95.58,90.32,94.56,8628795,,74.56,3.04,92.5,83.82,,95.58,,0,,,83.82,,0,,0,,,,,
2006-02-01,95.58,98.16,93.74,94.55,9838080,,75.05,3.14,92.46,83.91,,98.16,95.58,0,,,83.91,,0,,0,,,,,
2006-02-02,94.79,97.64,93.21,96.87,7554150,,75.05,3.23,93.29,85.34,,98.16,98.16,0,,,85.34,,0,,0,,,,,
2006-02-03,97.16,98.48,95.11,97.24,4104765,,75.05,3.24,93.41,85.57,,98.48,98.16,0,,,85.57,,0,,0,,,,,
2006-02-06,97.01,99.16,95.33,97.05,4061715,,75.05,3.28,92.46,85.42,,99.16,98.48,0,,,85.42,,0,,0,,,,,
2006-02-07,98.53,99.0,95.95,97.03,3650295,,75.05,3.27,92.36,85.42,,99.16,99.16,0,,,85.42,,0,,0,,,,,
2006-02-08,97.11,97.95,96.01,96.75,3229590,,75.05,3.17,90.79,85.31,,99.16,99.16,0,,,85.31,,0,,0,,,,,
2006-02-10,97.34,97.59,96.39,96.77,2028645,,77.42,3.03,90.8,86.2,,99.16,99.16,0,,,86.2,,0,,0,,,,,
2006-02-13,97.32,100.17,96.9,99.69,5487765,,79.94,3.06,92.37,88.91,,100.17,99.16,0,,,88.91,,0,,0,,,,,
2006-02-14,99.48,101.37,98.32,98.93,4727535,,81.73,3.06,88.15,89.01,,101.37,100.17,0,,,89.01,,0,,0,,,,,
2006-02-15,101.37,102.59,98.23,99.02,3574500,,84.52,3.15,88.22,89.94,86.38,102.59,101.37,0,,,89.94,,0,,0,,,,,
2006-02-16,99.06,99.94,98.01,98.69,2136690,,86.37,3.06,86.25,90.4,87.23,102.59,102.59,0,,,90.4,,0,,0,,,,,
2006-02-17,99.01,99.48,97.65,98.16,2237265,,88.26,2.98,83.05,90.75,88.03,102.59,102.59,0,,,90.75,,0,,0,,,,,
2006-02-20,98.2,98.2,95.48,96.16,4253160,,88.63,2.96,72.14,89.6,88.72,102.59,102.59,0,,,89.6,,0,,0,,,,,
2006-02-21,99.47,99.47,96.11,98.52,5018100,,90.32,2.99,76.13,91.66,89.44,102.59,102.59,0,,,91.66,,0,,0,,,,,
2006-02-22,99.01,101.21,98.59,100.82,5066655,,93.21,2.96,79.24,94.12,90.23,102.59,102.59,0,,,94.12,,0,,0,,,,,
2006-02-23,101.21,102.16,99.38,99.77,5436945,,93.21,2.95,74.47,93.45,90.94,102.59,102.59,0,,,93.45,,0,,0,,,,,
2006-02-24,102.16,102.69,99.44,100.47,4129110,,95.11,2.97,75.52,94.52,91.68,102.69,102.59,0,,,94.52,,0,,0,,,,,
2006-02-27,100.64,101.69,100.64,101.03,2278200,,95.33,2.85,76.37,95.04,92.45,102.69,102.69,0,,,95.04,,0,,0,,,,,
2006-02-28,100.64,107.86,99.27,106.75,10771230,,95.48,3.26,82.87,98.51,93.44,107.86,102.69,0,,,98.51,,0,,0,,,,,
2006-03-01,107.43,112.12,107.43,111.23,12622185,,95.48,3.41,86.1,101.3,94.56,112.12,107.86,0,,,101.3,,0,,0,,,,,
2006-03-02,111.67,114.81,109.01,110.98,8073525,,95.48,3.58,85.13,101.02,95.69,114.81,112.12,0,,,101.02,,0,,0,,,,,
2006-03-03,110.86,113.75,110.86,111.82,5609475,,95.48,3.53,85.71,101.6,96.85,114.81,114.81,0,,,101.6,,0,,0,,,,,
2006-03-06,111.92,114.02,111.92,113.14,3663870,,95.48,3.44,86.59,102.51,97.93,114.81,114.81,0,,,102.51,,0,,0,,,,,
2006-03-07,114.02,114.75,112.18,112.66,7553565,,95.48,3.37,84.55,102.24,98.91,114.81,114.81,0,,,102.24,,0,,0,,,,,
