Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2023-11-01,378.61,416.42,376.61,411.88,22439980,,,,,,,,0,,
2023-11-02,421.45,431.81,401.92,405.46,4315489,,,,,,,,0,,
2023-11-03,408.3,411.68,384.63,388.42,1466942,,,,,,,,0,,
2023-11-06,370.64,392.31,356.04,381.1,2137882,,,,,,,,0,,
2023-11-07,380.6,385.83,374.87,380.3,657524,,,,,,,,0,,
2023-11-08,383.59,407.3,383.59,403.81,1164406,,,,,,,,0,,
2023-11-09,405.01,418.36,399.58,402.57,945054,,,,,,,,0,,
2023-11-10,397.54,401.22,375.27,386.33,666783,,,,,,,,0,,
2023-11-13,401.52,413.48,396.59,398.78,502996,,,,,,,,0,,
2023-11-15,402.27,405.41,389.91,391.11,444278,,,,,,,,0,,
2023-11-16,393.55,394.55,382.59,387.72,817395,,,,,,,,0,,
2023-11-17,389.57,392.55,377.61,380.05,374541,,,,,,,,0,,
2023-11-20,379.6,396.54,379.6,391.76,518920,,,,,,,,0,,
2023-11-21,392.5,399.73,382.59,388.22,446158,,,27.79,,,,,0,,
2023-11-22,388.57,390.56,380.9,383.94,208898,,356.04,26.49,348.66,,,,0,,
2023-11-23,384.33,384.58,377.91,382.29,236856,,356.04,25.08,348.54,,,,0,,
2023-11-24,380.6,382.89,368.69,372.93,375797,,356.04,24.3,343.02,,,,0,,
2023-11-28,374.62,376.31,357.28,363.41,450131,,356.04,23.92,337.13,,,,0,,
2023-11-29,365.55,370.64,360.92,363.11,478518,,357.28,22.91,338.03,,,,0,,
2023-11-30,364.66,365.45,354.2,358.78,369766,,354.2,22.08,334.76,,431.81,,0,,
2023-12-01,360.87,362.66,343.49,345.68,736101,,343.49,21.87,322.88,,431.81,431.81,0,,
2023-12-04,349.26,356.69,331.68,354.1,977080,,331.68,22.09,324.23,,418.36,431.81,0,,
