Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2021-07-23,116.0,138.9,115.0,126.0,694895200,,,,,,,,,0,,,,,0,,0,,,,,
2021-07-26,126.35,143.75,125.3,140.65,249723800,,,,,,,,,0,,,,,0,,0,,,,,
2021-07-27,141.7,147.8,127.75,132.9,240341900,,,,,,,,,0,,,,,0,,0,,,,,
2021-07-28,131.0,135.0,123.55,131.2,159793700,,,,,,,,,0,,,,,0,,0,,,,,
2021-07-29,134.95,144.0,132.2,141.55,117973000,,,,,,,,,0,,,,,0,,0,,,,,
2021-07-30,142.6,142.7,131.0,133.5,88312520,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-02,135.75,140.75,135.15,139.7,66909730,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-03,137.0,140.8,137.0,139.4,46610000,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-04,139.8,141.0,135.25,138.4,41134410,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-05,138.75,138.9,132.0,134.95,38437130,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-06,135.5,136.2,130.1,131.35,31975350,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-09,132.4,133.55,127.25,130.6,41358290,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-10,131.0,131.45,122.1,125.2,43164000,,,,,,,,,0,,,,,0,,0,,,,,
2021-08-11,123.0,138.75,123.0,135.65,111702700,,,15.23,,,,,,0,,,,,0,,0,,,,,
2021-08-12,135.65,137.4,132.05,135.45,51256670,,115.0,14.52,83.23,116.02,,,,0,,,116.02,,0,,0,,,,,
2021-08-13,133.85,139.75,132.1,137.35,33674300,,122.1,14.03,83.53,119.93,,,,0,,,119.93,,0,,0,,,,,
2021-08-16,136.4,136.9,132.25,134.95,20305360,,122.1,13.4,81.6,118.81,,,,0,,,118.81,,0,,0,,,,,
2021-08-17,132.8,134.35,130.6,132.5,15815180,,122.1,12.75,79.58,117.66,,,,0,,,117.66,,0,,0,,,,,
2021-08-18,134.5,136.8,133.3,134.95,22566920,,122.1,12.15,80.11,119.65,,,,0,,,119.65,,0,,0,,,,,
2021-08-20,134.95,141.45,133.0,139.3,53789580,,122.1,11.88,81.05,122.63,,147.8,,0,,,122.63,,0,,0,,,,,
2021-08-23,137.8,137.8,124.75,127.25,68470860,,122.1,12.07,71.03,114.73,,147.8,147.8,0,,,114.73,,0,,0,,,,,
2021-08-24,127.25,127.95,120.5,125.0,56713550,,120.5,11.74,69.3,112.96,,147.8,147.8,0,,,112.96,,0,,0,,,,,
2021-08-25,126.0,128.5,123.1,124.25,51078810,,120.5,11.29,68.7,112.78,,144.0,147.8,0,,,112.78,,0,,0,,,,,
2021-08-26,125.25,127.15,124.35,125.85,20645400,,120.5,10.69,69.31,114.21,,144.0,144.0,0,,,114.21,,0,,0,,,,,
2021-08-27,126.6,129.5,124.1,124.7,22227590,,120.5,10.31,68.29,113.72,,142.7,144.0,0,,,113.72,,0,,0,,,,,
2021-08-30,127.85,135.45,127.55,133.55,45239080,,120.5,10.34,71.76,119.41,,141.45,142.7,0,,,119.41,,0,,0,,,,,
2021-08-31,134.0,135.2,131.35,134.55,24640920,,120.5,9.88,72.13,120.36,,141.45,141.45,0,,,120.36,,0,,0,,,,,
2021-09-01,134.55,135.1,130.7,132.6,16162260,,120.5,9.49,70.19,119.37,,141.45,141.45,0,,,119.37,,0,,0,,,,,
2021-09-02,132.0,138.5,131.5,137.6,27882460,,120.5,9.31,72.25,122.71,,141.45,141.45,0,,,122.71,,0,,0,,,,,
2021-09-03,135.95,151.4,135.6,149.75,113381500,,120.5,9.77,76.5,130.24,133.69,151.4,141.45,0,,,130.24,,0,,0,,,,,
2021-09-06,149.25,149.35,143.25,144.05,34811620,,120.5,9.54,71.01,126.72,134.29,151.4,151.4,0,,,126.72,,0,,0,,,,,
2021-09-07,144.9,146.85,138.55,140.05,30421930,,120.5,9.45,67.35,124.2,134.27,151.4,151.4,0,,,124.2,,0,,0,,,,,
2021-09-08,141.0,143.6,139.05,141.25,28133280,,120.5,9.1,67.89,125.21,134.55,151.4,151.4,0,,,125.21,,0,,0,,,,,
2021-09-09,141.4,142.9,140.0,141.6,18970690,,120.5,8.66,68.05,125.73,134.9,151.4,151.4,0,,,125.73,,0,,0,,,,,
2021-09-13,143.25,144.25,142.0,143.15,17426790,,120.5,8.23,68.81,127.01,134.95,151.4,151.4,0,,,127.01,,0,,0,,,,,
2021-09-14,145.15,152.75,136.2,144.1,112358900,,120.5,8.82,69.29,127.23,135.3,152.75,151.4,0,,,127.23,,0,,0,,,,,
2021-09-15,142.95,145.0,140.75,142.65,38892540,,123.1,8.5,67.58,127.38,135.4,152.75,152.75,0,,,127.38,,0,,0,,,,,
2021-09-16,143.0,144.0,141.5,142.05,17634200,,124.1,8.07,66.84,127.61,135.49,152.75,152.75,0,,,127.61,,0,,0,,,,,
2021-09-17,142.55,146.9,137.15,137.9,23264090,,124.1,8.19,61.81,124.85,135.47,152.75,152.75,0,,,124.85,,0,,0,,,,,
2021-09-20,137.7,140.85,133.25,134.3,19799940,,127.55,8.15,57.75,123.71,135.45,152.75,152.75,0,,,123.71,,0,,0,,,,,
2021-09-21,137.2,138.0,131.0,133.45,19330190,,130.7,8.06,56.8,124.27,135.52,152.75,152.75,0,,,124.27,,0,,0,,,,,
2021-09-22,135.4,135.4,131.3,132.1,16923370,,130.7,7.78,55.25,123.58,135.57,152.75,152.75,0,,,123.58,,0,,0,,,,,
2021-09-23,134.5,140.4,133.05,137.3,31779160,,131.0,7.82,59.8,127.01,135.97,152.75,152.75,0,,,127.01,,0,,0,,,,,
2021-09-24,137.55,139.5,136.05,136.65,13099390,,131.0,7.51,59.0,126.8,136.01,152.75,152.75,0,,,126.8,,0,,0,,,,,
2021-09-27,139.85,144.75,138.0,143.7,26041240,,131.0,7.55,64.59,131.32,136.28,152.75,152.75,0,,,131.32,,0,,0,,,,,
2021-09-28,143.9,143.9,137.65,139.0,13489230,,131.0,7.46,58.83,128.35,136.34,152.75,152.75,0,,,128.35,,0,,0,,,,,
2021-09-29,138.0,139.5,136.5,138.5,10801430,,131.0,7.14,58.23,128.24,136.45,152.75,152.75,0,,,128.24,,0,,0,,,,,
2021-09-30,139.2,139.2,136.15,136.6,7825751,,131.0,6.85,55.92,127.21,136.59,152.75,152.75,0,,,127.21,,0,,0,,,,,
2021-10-01,137.3,140.5,137.0,138.0,11940570,,131.0,6.64,57.27,128.25,136.69,152.75,152.75,0,,,128.25,,0,,0,,,,,
2021-10-04,139.1,140.0,138.0,139.1,11995290,,131.0,6.3,58.34,129.18,136.69,152.75,152.75,0,,,129.18,,0,,0,,,,,
2021-10-05,138.75,138.8,137.15,137.95,10912140,,131.0,5.99,56.73,128.65,137.04,152.75,152.75,0,,,128.65,,0,,0,,,,,
2021-10-06,138.75,139.2,133.7,134.95,9988184,,131.0,5.96,52.65,126.74,137.38,152.75,152.75,0,,,126.74,,0,,0,,,,,
2021-10-07,136.75,138.45,136.05,137.1,7317664,,131.0,5.78,55.14,128.24,137.8,152.75,152.75,0,,,128.24,,0,,0,,,,,
2021-10-08,138.0,138.0,135.7,136.15,6207969,,131.0,5.53,53.79,127.79,138.15,152.75,152.75,0,,,127.79,,0,,0,,,,,
2021-10-11,137.5,137.5,136.15,136.85,4395523,,131.0,5.23,54.67,128.44,138.55,152.75,152.75,0,,,128.44,,0,,0,,,,,
2021-10-12,137.3,137.75,135.5,136.6,5600652,,131.3,5.02,54.28,128.53,138.65,146.9,152.75,0,,,128.53,,0,,0,,,,,
2021-10-13,137.25,137.4,134.35,135.45,6351349,,133.05,4.88,52.39,128.46,138.68,146.9,146.9,0,,,128.46,,0,,0,,,,,
2021-10-14,135.9,137.3,133.7,135.0,8688177,,133.7,4.79,51.64,128.45,138.76,146.9,146.9,0,,,128.45,,0,,0,,,,,
2021-10-18,136.0,146.15,135.9,144.05,31446800,,133.7,5.24,63.15,133.98,138.98,146.15,146.9,0,,,133.98,,0,,0,,,,,
2021-10-19,144.9,145.1,137.25,138.55,14688300,,133.7,5.43,54.64,130.31,138.6,146.15,146.15,0,,,130.31,,0,,0,,,,,
2021-10-20,138.5,140.4,133.85,137.9,12607290,,133.7,5.51,53.71,129.84,138.4,146.15,146.15,0,,,129.84,,0,,0,,,,,
2021-10-21,139.75,139.9,135.8,138.15,5951873,,133.7,5.41,54.04,130.07,138.34,146.15,146.15,0,,,130.07,,0,,0,,,,,
2021-10-22,138.95,142.0,135.8,137.75,11468450,,133.7,5.47,53.4,129.77,138.22,146.15,146.15,0,,,129.77,,0,,0,,,,,
2021-10-25,138.0,138.95,131.55,132.7,13530510,,131.55,5.6,46.01,125.71,137.92,146.15,146.15,0,,,125.71,,0,,0,,,,,
2021-10-26,133.0,137.35,133.0,135.45,6445894,,131.55,5.54,50.06,127.52,137.67,146.15,146.15,0,,,127.52,,0,,0,,,,,
2021-10-27,136.2,139.25,134.5,134.8,8982174,,131.55,5.48,49.12,127.14,137.36,146.15,146.15,0,,,127.14,,0,,0,,,,,
2021-10-28,135.35,136.5,131.5,135.6,11936370,,131.5,5.45,50.36,127.67,137.12,146.15,146.15,0,,,127.67,,0,,0,,,,,
2021-10-29,135.0,135.0,130.5,131.55,12925870,,130.5,5.42,44.48,124.74,136.77,146.15,146.15,0,,,124.74,,0,,0,,,,,
2021-11-01,133.6,134.3,132.0,132.65,6200243,,130.5,5.23,46.31,125.57,136.6,146.15,146.15,0,,,125.57,,0,,0,,,,,
2021-11-02,132.7,133.6,131.75,132.45,7367792,,130.5,4.99,46.01,125.6,136.54,146.15,146.15,0,,,125.6,,0,,0,,,,,
2021-11-03,132.9,132.9,127.5,128.35,15919920,,127.5,5.02,40.3,121.94,136.36,146.15,146.15,0,,,121.94,,0,,0,,,,,
2021-11-04,130.0,132.4,130.0,131.35,4101820,,127.5,4.95,45.62,123.92,136.34,146.15,146.15,0,,,123.92,,0,,0,,,,,
2021-11-08,132.95,133.6,130.6,131.15,17645790,,127.5,4.81,45.33,123.89,136.14,146.15,146.15,0,,,123.89,,0,,0,,,,,
2021-11-09,133.0,138.9,131.65,137.65,26457360,,127.5,5.02,55.28,127.94,136.17,146.15,146.15,0,,,127.94,,0,,0,,,,,
2021-11-10,136.5,139.15,135.0,136.05,16816040,,127.5,4.96,52.74,126.95,135.91,146.15,146.15,0,,,126.95,,0,,0,,,,,
2021-11-11,142.0,144.0,132.6,140.9,83582030,,127.5,5.42,58.91,129.77,135.98,146.15,146.15,0,,,129.77,,0,,0,,,,,
2021-11-12,142.0,155.2,142.0,153.0,140547700,,127.5,6.05,69.59,137.15,136.46,155.2,146.15,0,,,137.15,,0,,0,,,,,
2021-11-15,149.0,163.3,142.35,160.3,121197500,,127.5,7.12,73.98,141.15,137.25,163.3,155.2,0,,,141.15,,0,,0,,,,,
2021-11-16,161.15,169.0,153.8,157.6,109342700,,127.5,7.69,69.96,139.02,137.9,169.0,163.3,0,,,139.02,,0,,0,,,,,
2021-11-17,155.95,162.25,154.25,156.55,44505150,,127.5,7.72,68.4,138.33,138.49,169.0,169.0,0,,,138.33,,0,,0,,,,,
2021-11-18,158.9,161.85,152.5,154.7,46802080,,127.5,7.83,65.63,137.06,139.04,169.0,169.0,0,,,137.06,,0,,0,,,,,
2021-11-22,158.25,158.25,136.8,149.75,79417840,,127.5,8.8,58.76,133.22,139.54,169.0,169.0,0,,,133.22,,0,,0,,,,,
2021-11-23,150.0,152.0,144.25,148.7,38236580,,127.5,8.73,57.39,132.59,139.92,169.0,169.0,0,,,132.59,,0,,0,,,,,
2021-11-24,151.1,156.4,149.6,155.5,53749970,,127.5,8.66,63.35,137.03,140.57,169.0,169.0,0,,,137.03,,0,,0,,,,,
2021-11-25,157.0,161.3,154.05,159.75,48900470,,127.5,8.56,66.51,139.83,141.33,169.0,169.0,0,,,139.83,,0,,0,,,,,
2021-11-26,158.45,158.45,146.25,148.15,35968150,,130.0,8.91,53.07,132.95,141.72,169.0,169.0,0,,,132.95,,0,,0,,,,,
2021-11-29,148.8,153.9,137.5,149.1,43972440,,130.6,9.44,53.9,133.41,142.17,169.0,169.0,0,,,133.41,,0,,0,,,,,
2021-11-30,149.95,158.0,145.3,152.55,258130100,,131.65,9.68,56.85,135.83,142.76,169.0,169.0,0,,,135.83,,0,,0,,,,,
2021-12-01,153.0,157.9,149.45,151.4,32604850,,132.6,9.59,55.57,135.46,143.0,169.0,169.0,0,,,135.46,,0,,0,,,,,
2021-12-02,151.6,153.8,147.8,150.65,23508260,,132.6,9.33,54.71,135.15,143.41,169.0,169.0,0,,,135.15,,0,,0,,,,,
2021-12-03,152.1,152.8,143.85,144.9,26452890,,136.8,9.31,48.48,132.86,143.64,169.0,169.0,0,,,132.86,,0,,0,,,,,
2021-12-06,146.6,146.85,135.3,138.55,33244500,,135.3,9.47,42.71,128.15,143.65,169.0,169.0,0,,,128.15,,0,,0,,,,,
2021-12-07,141.35,143.8,138.65,139.8,36835410,,135.3,9.16,44.12,129.16,143.72,169.0,169.0,0,,,129.16,,0,,0,,,,,
2021-12-08,141.0,148.6,140.25,147.6,37324360,,135.3,9.14,52.06,134.21,144.22,169.0,169.0,0,,,134.21,,0,,0,,,,,
2021-12-09,148.65,148.65,145.3,146.25,18377890,,135.3,8.72,50.71,133.61,144.58,169.0,169.0,0,,,133.61,,0,,0,,,,,
2021-12-10,144.1,146.4,139.75,140.55,27881030,,135.3,8.58,45.39,130.04,144.77,169.0,169.0,0,,,130.04,,0,,0,,,,,
2021-12-13,142.2,144.45,141.9,142.65,20318220,,135.3,8.24,47.57,131.61,145.0,169.0,169.0,0,,,131.61,,0,,0,,,,,
2021-12-14,144.7,144.95,140.0,140.65,19474410,,135.3,8.01,45.7,130.48,145.31,169.0,169.0,0,,,130.48,,0,,0,,,,,
2021-12-15,140.5,142.0,140.0,140.6,12791660,,135.3,7.58,45.65,130.73,145.57,162.25,169.0,0,,,130.73,,0,,0,,,,,
2021-12-16,141.9,142.85,137.4,138.4,17182100,,135.3,7.43,43.47,129.42,145.77,161.85,162.25,0,,,129.42,,0,,0,,,,,
2021-12-17,138.95,141.0,132.35,135.35,95386200,,132.35,7.51,40.57,126.41,146.0,161.3,161.85,0,,,126.41,,0,,0,,,,,
2021-12-20,135.3,135.75,124.6,126.55,36064410,,124.6,7.77,33.62,117.98,145.84,161.3,161.3,0,,,117.98,,0,,0,,,,,
2021-12-21,128.85,132.85,128.6,131.6,20442770,,124.6,7.67,39.98,121.3,145.86,161.3,161.3,0,,,121.3,,0,,0,,,,,
2021-12-22,133.05,139.75,133.0,138.65,19425710,,124.6,7.7,47.54,125.83,145.89,161.3,161.3,0,,,125.83,,0,,0,,,,,
2021-12-23,140.05,140.75,132.1,133.0,21934780,,124.6,7.77,42.88,122.14,145.79,158.45,161.3,0,,,122.14,,0,,0,,,,,
