Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2022-11-15,359.5,364.8,321.1,324.8,16728869,,,,,,,,0,,
2022-11-16,325.0,348.65,323.5,345.45,3678285,,,,,,,,0,,
2022-11-17,343.0,346.4,334.3,340.45,598178,,,,,,,,0,,
2022-11-18,341.95,344.5,335.0,336.65,382364,,,,,,,,0,,
2022-11-21,336.0,347.0,327.7,342.95,1246319,,,,,,,,0,,
2022-11-22,340.1,347.0,339.0,341.7,399287,,,,,,,,0,,
2022-11-23,341.7,343.9,335.05,337.3,194186,,,,,,,,0,,
2022-11-24,339.9,356.0,338.0,345.65,845293,,,,,,,,0,,
2022-11-25,347.2,365.9,347.2,360.25,1847437,,,,,,,,0,,
2022-11-28,365.0,378.55,363.65,375.35,2421780,,,,,,,,0,,
2022-11-29,386.0,391.0,363.85,366.15,2731172,,,,,,,,0,,
2022-11-30,368.0,370.8,360.25,366.9,719966,,,,,,,,0,,
2022-12-01,371.4,379.0,370.3,373.55,1070080,,,,,,,,0,,
2022-12-02,373.55,382.0,369.0,379.95,1111142,,,26.28,,,,,0,,
2022-12-05,381.85,384.0,376.05,381.95,547728,,321.1,24.97,336.74,,,,0,,
2022-12-06,380.15,387.7,375.0,380.3,430531,,323.5,24.09,337.06,,,,0,,
2022-12-07,379.7,403.2,379.1,389.55,1990339,,327.7,24.09,344.43,,,,0,,
2022-12-08,392.5,394.6,385.5,387.95,408752,,327.7,23.02,344.11,,,,0,,
2022-12-09,390.0,390.75,374.4,376.75,311271,,327.7,22.55,337.21,,,,0,,
2022-12-12,375.95,399.5,374.45,390.0,987898,,335.05,22.73,348.08,,403.2,,0,,
2022-12-13,391.95,398.2,387.3,391.05,542006,,335.05,21.88,349.32,,403.2,403.2,0,,
2022-12-14,392.2,415.8,391.05,404.3,2150470,,338.0,22.09,358.72,,415.8,403.2,0,,
2022-12-15,405.0,409.7,398.5,404.7,516463,,347.2,21.31,362.56,,415.8,415.8,0,,
2022-12-16,399.0,407.45,387.1,391.25,692523,,360.25,21.24,358.28,,415.8,415.8,0,,
2022-12-19,389.0,393.0,386.0,388.7,434771,,360.25,20.22,357.31,,415.8,415.8,0,,
2022-12-20,388.0,393.35,380.25,385.8,555940,,360.25,19.71,355.78,,415.8,415.8,0,,
2022-12-21,387.25,390.7,363.05,369.75,751255,,363.05,20.28,345.98,,415.8,415.8,0,,
2022-12-22,371.7,374.15,355.3,362.35,475783,,355.3,20.18,338.7,,415.8,415.8,0,,
2022-12-23,357.5,363.0,346.5,352.0,815441,,346.5,19.92,329.26,,415.8,415.8,0,,
2022-12-26,353.8,363.85,348.25,351.8,816845,,346.5,19.61,329.34,368.18,415.8,415.8,0,,
2022-12-27,355.0,365.75,352.0,359.0,351296,,346.5,19.2,334.25,369.32,415.8,415.8,0,,
2022-12-28,358.95,378.9,357.45,373.15,570479,,346.5,19.36,343.27,370.24,415.8,415.8,0,,
2022-12-29,373.95,382.8,373.0,376.6,285496,,346.5,18.68,345.95,371.44,415.8,415.8,0,,
2022-12-30,377.45,382.95,361.15,364.2,471607,,346.5,18.9,337.81,372.36,415.8,415.8,0,,
2023-01-02,367.15,376.95,364.25,371.25,199599,,346.5,18.46,342.65,373.31,415.8,415.8,0,,
2023-01-03,371.4,398.0,371.4,396.0,540995,,346.5,19.06,358.22,375.12,415.8,415.8,0,,
2023-01-04,396.0,399.5,383.8,393.15,471932,,346.5,18.82,356.54,376.98,415.8,415.8,0,,
2023-01-05,392.0,394.9,381.25,388.35,371510,,346.5,18.45,353.69,378.4,415.8,415.8,0,,
2023-01-06,390.2,394.5,376.9,385.25,187544,,346.5,18.39,351.73,379.23,415.8,415.8,0,,
2023-01-09,386.95,404.4,386.95,393.4,340898,,346.5,18.44,356.95,379.84,415.8,415.8,0,,
2023-01-10,395.4,398.35,383.55,389.6,380514,,346.5,18.18,354.67,380.62,415.8,415.8,0,,
2023-01-11,393.9,393.9,384.0,386.7,336049,,346.5,17.59,353.2,381.28,409.7,415.8,0,,
2023-01-12,387.0,391.4,377.7,389.45,224874,,346.5,17.31,355.15,381.81,407.45,409.7,0,,
2023-01-13,386.15,396.1,386.15,391.15,194604,,348.25,16.79,357.18,382.18,404.4,407.45,0,,
2023-01-16,391.95,397.5,386.25,389.65,121930,,352.0,16.39,357.73,382.44,404.4,404.4,0,,
2023-01-17,391.3,418.8,387.3,404.1,1183204,,357.45,17.47,368.15,383.23,418.8,404.4,0,,
2023-01-18,406.95,421.9,402.75,409.6,926734,,361.15,17.59,372.85,383.9,421.9,418.8,0,,
2023-01-19,408.95,416.5,401.6,403.1,393360,,361.15,17.4,368.78,384.4,421.9,421.9,0,,
2023-01-20,406.65,413.65,400.6,410.7,261728,,364.25,17.09,374.93,385.54,421.9,421.9,0,,
2023-01-23,413.7,414.5,404.0,408.25,296842,,371.4,16.62,376.04,386.15,421.9,421.9,0,,
2023-01-24,408.3,416.25,406.05,412.8,253670,,376.9,16.16,381.12,386.87,421.9,421.9,0,,
2023-01-25,413.9,414.0,395.05,403.0,306686,,376.9,16.36,374.66,386.83,421.9,421.9,0,,
2023-01-27,401.2,404.45,372.3,375.3,339041,,372.3,17.49,354.51,385.85,421.9,421.9,0,,
2023-01-30,375.3,390.0,370.1,375.45,159970,,370.1,17.66,353.76,385.32,421.9,421.9,0,,
2023-01-31,385.0,414.2,385.0,406.25,743633,,370.1,19.16,372.62,385.9,421.9,421.9,0,,
2023-02-01,412.8,429.95,405.0,412.15,955364,,370.1,19.58,376.15,386.78,429.95,421.9,0,,
2023-02-02,414.75,421.0,406.0,409.55,181202,,370.1,19.25,374.69,388.11,429.95,429.95,0,,
2023-02-03,411.6,418.05,396.0,403.25,199426,,370.1,19.45,370.5,389.47,429.95,429.95,0,,
2023-02-06,401.25,426.95,401.1,421.6,267548,,370.1,19.91,382.03,391.79,429.95,429.95,0,,
2023-02-07,423.75,429.95,413.05,415.15,194791,,370.1,19.69,378.01,393.9,429.95,429.95,0,,
2023-02-08,413.0,444.4,412.8,434.0,657768,,370.1,20.54,389.6,396.4,444.4,429.95,1,434.0,389.6
2023-02-09,435.6,436.8,420.8,429.65,240002,,370.1,20.22,387.01,398.29,444.4,444.4,0,,
2023-02-10,429.1,436.0,404.2,415.25,506615,,370.1,21.05,377.17,399.58,444.4,444.4,0,,
2023-02-13,429.0,429.0,405.0,409.95,327843,,370.1,21.26,373.61,401.1,444.4,444.4,0,,
2023-02-14,410.0,412.6,396.7,401.6,318019,,370.1,20.87,368.48,402.11,444.4,444.4,0,,
2023-02-15,400.0,428.05,398.15,416.55,287780,,370.1,21.52,377.7,402.8,444.4,444.4,0,,
2023-02-16,418.65,420.6,407.0,413.9,163822,,370.1,20.95,376.36,403.49,444.4,444.4,0,,
2023-02-17,414.0,419.65,408.05,416.3,124344,,370.1,20.29,378.36,404.42,444.4,444.4,0,,
2023-02-20,418.3,418.3,406.0,410.0,102280,,385.0,19.72,379.64,405.25,444.4,444.4,0,,
2023-02-21,411.95,423.7,405.0,417.15,191061,,396.0,19.64,387.97,406.04,444.4,444.4,0,,
2023-02-22,412.7,413.8,398.0,400.85,184657,,396.0,19.61,377.48,406.41,444.4,444.4,0,,
2023-02-23,400.1,405.9,396.7,399.05,133401,,396.0,18.86,376.81,406.82,444.4,444.4,0,,
2023-02-24,400.9,412.9,400.9,407.1,141020,,396.7,18.51,382.48,407.41,444.4,444.4,0,,
2023-02-27,407.1,407.1,384.8,395.35,147686,,384.8,18.78,370.75,407.55,444.4,444.4,0,,
2023-02-28,395.35,403.75,388.0,395.1,143717,,384.8,18.56,370.73,407.73,444.4,444.4,0,,
