Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,10.6,10.76,10.5,10.55,522422,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,10.62,10.67,10.36,10.39,249402,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,10.55,10.55,10.12,10.33,252022,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,10.43,10.43,10.12,10.21,177150,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,10.22,10.36,9.97,10.07,173086,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,10.43,10.43,9.74,9.78,189742,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,9.95,9.95,9.52,9.61,236170,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,9.57,9.71,9.01,9.16,418546,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,9.25,9.67,9.23,9.3,253134,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,9.37,9.49,9.18,9.21,116180,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,9.14,9.25,8.85,8.92,125074,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,8.61,8.97,8.61,8.68,136730,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,8.83,10.43,8.83,10.43,2679386,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,10.93,11.1,9.79,9.91,1909708,,,0.52,,,,,,0,,,,,0,,0,,,,,
2006-01-23,9.85,10.98,9.71,10.38,1193114,,8.61,0.57,45.65,9.18,,,,0,,,9.18,,0,,0,,,,,
2006-01-24,10.45,10.77,10.29,10.63,1275336,,8.61,0.57,48.7,9.35,,,,0,,,9.35,,0,,0,,,,,
2006-01-25,10.79,10.79,9.95,10.03,628834,,8.61,0.59,42.53,8.95,,,,0,,,8.95,,0,,0,,,,,
2006-01-27,9.98,9.98,9.45,9.59,621208,,8.61,0.59,38.67,8.66,,,,0,,,8.66,,0,,0,,,,,
2006-01-30,10.26,10.26,9.11,9.16,317324,,8.61,0.63,35.29,8.36,,,,0,,,8.36,,0,,0,,,,,
2006-01-31,9.54,9.54,8.94,9.01,306226,,8.61,0.62,34.17,8.26,,11.1,,0,,,8.26,,0,,0,,,,,
2006-02-01,9.13,9.19,8.25,8.35,582692,,8.25,0.65,29.7,7.7,,11.1,11.1,0,,,7.7,,0,,0,,,,,
2006-02-02,8.54,8.8,8.42,8.47,309010,,8.25,0.63,31.46,7.79,,11.1,11.1,0,,,7.79,,0,,0,,,,,
2006-02-03,8.73,8.87,8.44,8.71,170242,,8.25,0.62,34.96,7.96,,11.1,11.1,0,,,7.96,,0,,0,,,,,
