Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2006-01-02,131.46,131.46,128.2,128.56,855427,,,,,,,,0,,,,,0,,,0,,,,
2006-01-03,128.82,130.11,128.26,129.32,956939,,,,,,,,0,,,,,0,,,0,,,,
2006-01-04,129.32,129.88,128.2,128.53,1652591,,,,,,,,0,,,,,0,,,0,,,,
2006-01-05,129.09,129.68,127.9,128.36,1142455,,,,,,,,0,,,,,0,,,0,,,,
2006-01-06,128.0,128.79,125.37,127.51,1892812,,,,,,,,0,,,,,0,,,0,,,,
2006-01-09,127.51,128.3,125.56,127.34,2006029,,,,,,,,0,,,,,0,,,0,,,,
2006-01-10,126.52,126.52,124.08,124.57,871184,,,,,,,,0,,,,,0,,,0,,,,
2006-01-12,124.54,126.19,122.63,123.68,2038424,,,,,,,,0,,,,,0,,,0,,,,
2006-01-13,124.44,125.43,122.4,122.99,1985644,,,,,,,,0,,,,,0,,,0,,,,
2006-01-16,125.13,125.13,122.33,122.96,1005123,,,,,,,,0,,,,,0,,,0,,,,
2006-01-17,123.88,124.87,121.41,122.6,996234,,,,,,,,0,,,,,0,,,0,,,,
2006-01-18,122.56,122.56,119.3,121.64,1559920,,,,,,,,0,,,,,0,,,0,,,,
2006-01-19,122.56,124.05,120.59,123.65,837862,,,,,,,,0,,,,,0,,,0,,,,
2006-01-20,124.21,124.54,122.0,122.83,608038,,,,,,3.06,,0,,,,,0,,,0,,,,
2006-01-23,122.0,124.54,120.95,123.88,1536513,,,119.3,,,3.1,56.76,0,,117.61,,,0,,,0,,,,
2006-01-24,124.51,125.4,123.26,124.08,1234824,,,119.3,,,3.03,57.52,0,,117.78,,,0,,,0,,,,
2006-01-25,124.21,129.94,124.21,129.29,6759837,,,119.3,,,3.23,71.53,0,,121.01,,,0,,,0,,,,
2006-01-27,129.32,132.48,128.26,128.56,3509648,,,119.3,,,3.3,68.14,0,,120.49,,,0,,,0,,,,
2006-01-30,129.91,130.14,126.06,126.62,1365592,,,119.3,,,3.36,60.0,0,,119.2,,,0,,,0,,,,
2006-01-31,127.57,128.99,126.35,128.66,2632805,,,119.3,132.48,,3.3,64.77,0,,120.55,,,0,,,0,,,,
2006-02-01,127.97,129.68,125.3,126.25,1922016,,,119.3,132.48,132.48,3.38,56.24,0,,118.94,,,0,,,0,,,,
2006-02-02,127.18,131.33,126.25,127.54,4984634,,,119.3,132.48,132.48,3.5,59.32,0,,119.69,,,0,,,0,,,,
2006-02-03,127.77,128.0,124.87,125.4,2316006,,,119.3,132.48,132.48,3.48,52.68,0,,118.33,,,0,,,0,,,,
2006-02-06,125.86,129.15,123.88,128.26,2376792,,,119.3,132.48,132.48,3.6,59.25,0,,120.09,,,0,,,0,,,,
2006-02-07,129.09,130.74,128.2,130.34,2188701,,,119.3,132.48,132.48,3.53,63.24,0,,121.48,,,0,,,0,,,,
2006-02-08,129.85,130.57,125.27,129.94,2114139,,,119.3,132.48,132.48,3.65,61.99,0,,121.14,,,0,,,0,,,,
2006-02-10,130.57,137.98,129.98,137.09,9290620,,,120.59,137.98,132.48,3.97,72.51,0,,125.97,,,0,,,0,,,,
2006-02-13,136.4,138.45,134.03,138.05,4404005,,,120.95,138.45,137.98,4.0,73.57,0,,126.69,,,0,,,0,,,,
2006-02-14,138.38,149.45,135.58,147.9,18132894,,,120.95,149.45,138.45,4.71,81.46,0,,132.58,,,0,,,0,,,,
2006-02-15,149.12,155.97,148.92,155.45,12458318,,128.73,123.26,155.97,149.45,4.95,85.12,0,,138.05,,,0,,,0,,,,
2006-02-16,154.85,158.08,151.89,157.13,6278927,,129.68,123.88,158.08,155.97,5.03,85.8,0,,139.29,,,0,,,0,,,,
2006-02-17,157.36,157.36,151.29,152.02,3513037,,130.44,123.88,158.08,158.08,5.11,74.73,0,,135.94,,,0,,,0,,,,
2006-02-20,153.27,158.81,149.91,157.16,4451097,,131.39,123.88,158.81,158.08,5.38,77.83,0,,139.08,,,0,,,0,,,,
2006-02-21,157.16,160.39,154.29,156.17,4564546,,132.32,123.88,160.39,158.81,5.43,75.9,0,,138.4,,,0,,,0,,,,
2006-02-22,156.04,159.89,155.51,159.14,5658324,,133.37,123.88,160.39,160.39,5.36,77.68,0,,140.37,,,0,,,0,,,,
2006-02-23,159.43,166.48,159.14,162.79,10900196,,134.55,123.88,166.48,160.39,5.5,79.68,0,,142.63,,,0,,,0,,,,
2006-02-24,163.62,164.67,159.24,159.6,2666147,,135.72,123.88,166.48,166.48,5.49,73.49,0,,140.57,,,0,,,0,,,,
2006-02-27,160.72,161.34,156.73,157.26,2944955,,136.84,123.88,166.48,166.48,5.43,69.25,0,,139.11,,,0,,,0,,,,
2006-02-28,158.81,162.37,157.52,160.59,4857106,,138.09,125.27,166.48,166.48,5.41,71.75,0,,141.73,,,0,,,0,,,,
2006-03-01,160.12,163.09,159.8,161.74,3424694,,139.39,125.27,166.48,166.48,5.26,72.58,0,,142.58,,,0,,,0,,,,
2006-03-02,161.44,164.05,160.12,160.92,2257987,,140.66,129.98,166.48,166.48,5.16,70.98,0,,143.68,,,0,,,0,,,,
2006-03-03,161.44,162.73,159.47,160.95,2205740,,141.98,134.03,166.48,166.48,5.03,71.0,0,,145.14,,,0,,,0,,,,
2006-03-06,161.77,163.02,159.96,160.42,2717915,,143.2,135.58,166.48,166.48,4.88,69.85,0,,145.41,,,0,,,0,,,,
2006-03-07,162.04,167.44,162.04,166.25,7592715,,144.65,148.92,167.44,166.48,5.04,74.72,0,,153.51,,,0,,,0,,,,
2006-03-08,164.74,166.65,158.97,159.96,4099375,,145.85,149.91,167.44,167.44,5.23,62.92,0,,149.66,,,0,,,0,,,,
2006-03-09,160.06,162.04,157.09,161.15,3280634,,147.09,149.91,167.44,167.44,5.21,64.07,0,,150.44,,,0,,,0,,,,
2006-03-10,162.56,166.68,161.74,166.06,1891848,,148.31,149.91,167.44,167.44,5.23,68.44,0,,153.59,,,0,,,0,,,,
2006-03-13,166.06,169.22,164.74,166.65,2017250,,149.58,154.29,169.22,167.44,5.18,68.93,0,,155.47,,,0,,,0,,,,
2006-03-14,166.22,171.26,165.26,169.94,2724839,,151.03,155.51,171.26,169.22,5.23,71.58,0,,157.96,,,0,,,0,,,,
2006-03-16,170.34,171.33,167.11,170.31,2406134,,152.41,156.73,171.33,171.26,5.16,71.87,0,,158.65,,,0,,,0,,,,
2006-03-17,170.67,171.2,166.71,167.41,957433,,153.79,156.73,171.33,171.33,5.11,66.17,0,,156.81,,,0,,,0,,,,
2006-03-20,167.7,169.22,165.79,166.48,1689511,,155.08,156.73,171.33,171.33,4.99,64.4,0,,156.29,,,0,,,0,,,,
2006-03-21,169.22,169.22,164.87,166.12,1952787,,156.44,157.09,171.33,171.33,4.95,63.7,0,,156.21,,,0,,,0,,,,
2006-03-22,166.25,169.28,163.52,168.23,3314419,,157.77,157.09,171.33,171.33,5.01,66.05,0,,157.53,,,0,,,0,,,,
2006-03-23,168.76,169.38,166.88,168.2,1979587,,159.04,157.09,171.33,171.33,4.83,65.99,0,,157.63,,,0,,,0,,,,
