Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct,
HINDUNILVR.NS,1,9/4/2006,9/6/2006,164.1,160.47,3,-2.21,
HINDUNILVR.NS,2,9/18/2006,10/9/2006,168.72,163.44,15,-3.13,
HINDUNILVR.NS,3,11/9/2006,11/17/2006,168.79,161.27,7,-4.46,
HINDUNILVR.NS,4,7/12/2007,7/16/2007,140.8,136.76,3,-2.87,
HINDUNILVR.NS,5,9/4/2007,10/16/2007,146.49,147.54,30,0.72,
HINDUNILVR.NS,6,12/14/2007,1/15/2008,154.19,152.88,21,-0.85,
HINDUNILVR.NS,7,2/29/2008,5/22/2008,160.4,166.94,53,4.08,
HINDUNILVR.NS,8,7/22/2008,7/24/2008,166.27,160.05,3,-3.74,
HINDUNILVR.NS,9,8/5/2008,9/15/2008,174.04,170.84,28,-1.84,
HINDUNILVR.NS,10,12/16/2008,1/5/2009,180.1,175.26,13,-2.68,
HINDUNILVR.NS,11,7/1/2009,7/28/2009,201,201.42,20,0.21,
HINDUNILVR.NS,12,10/6/2009,11/3/2009,207.56,198.59,19,-4.32,
HINDUNILVR.NS,13,11/26/2009,12/14/2009,213.49,199.43,13,-6.58,
HINDUNILVR.NS,14,6/15/2010,7/28/2010,193.72,190.73,32,-1.54,
HINDUNILVR.NS,15,8/16/2010,11/18/2010,203.65,225.29,66,10.63,
HINDUNILVR.NS,16,12/30/2010,1/12/2011,235.77,230.13,10,-2.39,
HINDUNILVR.NS,17,3/3/2011,3/4/2011,221.67,219.28,2,-1.08,
HINDUNILVR.NS,18,5/10/2011,8/3/2011,226.59,246.04,62,8.58,
HINDUNILVR.NS,19,9/9/2011,9/26/2011,256.63,251.40,12,-2.04,
HINDUNILVR.NS,20,10/28/2011,1/5/2012,270.42,303.98,47,12.41,
HINDUNILVR.NS,21,3/21/2012,6/4/2012,313.46,320.52,51,2.25,
HINDUNILVR.NS,22,6/13/2012,9/24/2012,347.94,405.61,71,16.57,
HINDUNILVR.NS,23,10/3/2012,10/5/2012,435.81,407.89,3,-6.41,
HINDUNILVR.NS,24,10/9/2012,11/19/2012,446.29,412.97,26,-7.47,
HINDUNILVR.NS,25,11/29/2012,12/13/2012,440.11,415.53,11,-5.58,
HINDUNILVR.NS,26,5/30/2013,7/29/2013,478.17,521.25,43,9.01,
HINDUNILVR.NS,27,9/10/2013,9/27/2013,529.95,500.55,14,-5.55,
HINDUNILVR.NS,28,3/24/2014,3/25/2014,476.52,476.26,2,-0.05,
HINDUNILVR.NS,29,3/27/2014,4/25/2014,490.8,475.67,19,-3.08,
HINDUNILVR.NS,30,6/5/2014,10/10/2014,515.6,598.98,86,16.17,
HINDUNILVR.NS,31,11/7/2014,12/16/2014,635.72,642.53,28,1.07,
HINDUNILVR.NS,32,1/8/2015,3/16/2015,682.09,755.27,45,10.73,
HINDUNILVR.NS,33,6/24/2015,7/21/2015,756.35,742.36,20,-1.85,
HINDUNILVR.NS,34,12/15/2015,1/7/2016,730.38,715.00,17,-2.11,
HINDUNILVR.NS,35,2/22/2016,2/24/2016,732.98,704.93,3,-3.83,
HINDUNILVR.NS,36,3/21/2016,5/3/2016,748.29,725.54,27,-3.04,
HINDUNILVR.NS,37,6/3/2016,9/20/2016,752.71,776.80,74,3.20,
HINDUNILVR.NS,38,3/1/2017,9/26/2017,759.34,1054.99,143,38.94,
HINDUNILVR.NS,39,11/10/2017,2/6/2018,1136.8,1172.85,61,3.17,
HINDUNILVR.NS,40,4/2/2018,7/18/2018,1190.22,1456.51,77,22.37,
HINDUNILVR.NS,41,8/17/2018,9/3/2018,1583.87,1513.96,11,-4.41,
HINDUNILVR.NS,42,11/9/2018,12/26/2018,1492.81,1555.37,32,4.19,
HINDUNILVR.NS,43,2/7/2019,2/18/2019,1641.37,1553.34,7,-5.36,
HINDUNILVR.NS,44,4/24/2019,5/3/2019,1564.21,1529.30,6,-2.23,
HINDUNILVR.NS,45,5/20/2019,7/8/2019,1581.97,1573.60,35,-0.53,
HINDUNILVR.NS,46,8/22/2019,11/15/2019,1682.94,1862.71,56,10.68,
HINDUNILVR.NS,47,1/15/2020,3/9/2020,1826.83,1926.65,38,5.46,
HINDUNILVR.NS,48,4/7/2020,5/4/2020,2209.29,1942.46,17,-12.08,
HINDUNILVR.NS,49,6/23/2020,7/24/2020,1961.48,1983.85,24,1.14,
HINDUNILVR.NS,50,12/7/2020,1/28/2021,2074.77,2119.54,37,2.16,
HINDUNILVR.NS,51,3/19/2021,7/23/2021,2126.17,2197.02,85,3.33,
HINDUNILVR.NS,52,8/20/2021,10/7/2021,2426.24,2472.12,34,1.89,
HINDUNILVR.NS,53,5/18/2022,5/19/2022,2135.47,2116.45,2,-0.89,
HINDUNILVR.NS,54,5/20/2022,5/26/2022,2167.67,2106.53,5,-2.82,
HINDUNILVR.NS,55,7/4/2022,9/16/2022,2233.11,2386.59,52,6.87,
HINDUNILVR.NS,56,9/22/2022,10/25/2022,2531.67,2389.07,23,-5.63,
HINDUNILVR.NS,57,11/29/2022,12/29/2022,2493.24,2428.59,23,-2.59,
HINDUNILVR.NS,58,4/5/2023,4/6/2023,2444.54,2430.77,2,-0.56,
HINDUNILVR.NS,59,5/11/2023,7/21/2023,2453.68,2507.14,51,2.18,
HINDUNILVR.NS,60,10/13/2023,10/16/2023,2451.82,2441.93,2,-0.40,
HINDUNILVR.NS,61,12/29/2023,1/11/2024,2560.63,2451.89,10,-4.25,
HINDUNILVR.NS,62,6/4/2024,10/4/2024,2399.49,2755.23,85,14.83,
HINDUNILVR.NS,63,7/7/2025,9/23/2025,2391.6,2513.39,55,5.09,
,,,,,,1972.00,97.47,sum
,,,,,,31.3015873,1.547170499,Avg
