Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,83.83,87.0,83.83,85.16,56324939,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,85.16,86.8,81.96,86.51,25631985,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,87.16,88.58,86.73,87.54,28841323,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,88.14,88.14,84.8,86.24,12662963,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,86.41,86.98,84.82,85.61,3684637,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,85.73,86.11,83.74,84.33,6832584,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,84.72,84.87,83.03,83.48,5573777,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,83.45,83.73,82.16,82.42,4564934,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,82.59,84.43,82.45,83.3,4631814,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,83.45,83.45,80.59,81.78,3915494,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,81.99,83.29,80.04,80.51,4780369,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,79.88,80.88,77.74,79.76,10644320,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,80.31,81.93,80.31,81.24,8697727,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,83.45,83.45,81.32,82.66,11771523,,,2.79,,,,,,0,,,,,0,,0,,,,,
2006-01-23,82.16,82.58,80.59,81.41,5793199,,77.74,2.73,62.5,76.6,,,,0,,,76.6,,0,,0,,,,,
2006-01-24,81.92,82.45,81.32,81.75,9388269,,77.74,2.62,63.28,76.9,,,,0,,,76.9,,0,,0,,,,,
2006-01-25,81.88,86.42,81.77,85.17,33462792,,77.74,2.77,70.02,79.0,,,,0,,,79.0,,0,,0,,,,,
2006-01-27,86.34,88.64,85.73,88.37,15378374,,77.74,2.82,74.7,81.03,,,,0,,,81.03,,0,,0,,,,,
2006-01-30,85.73,88.44,75.61,87.68,6409738,,75.61,3.53,72.09,79.4,,,,0,,,79.4,,0,,0,,,,,
2006-01-31,88.41,88.41,86.73,86.91,3051284,,75.61,3.4,69.18,78.99,,88.64,,0,,,78.99,,0,,0,,,,,
2006-02-01,88.42,88.42,83.96,84.19,4793129,,75.61,3.48,59.97,77.19,,88.64,88.64,0,,,77.19,,0,,0,,,,,
2006-02-02,86.73,86.73,82.18,82.73,7019892,,75.61,3.55,55.69,76.2,,88.64,88.64,0,,,76.2,,0,,0,,,,,
2006-02-03,82.73,82.73,80.75,81.44,3851045,,75.61,3.44,52.14,75.44,,88.64,88.64,0,,,75.44,,0,,0,,,,,
2006-02-06,82.73,87.35,82.73,86.76,31145774,,75.61,3.62,62.69,78.75,,88.64,88.64,0,,,78.75,,0,,0,,,,,
2006-02-07,86.5,90.58,85.87,89.69,26305323,,75.61,3.69,67.0,80.59,,90.58,88.64,0,,,80.59,,0,,0,,,,,
2006-02-08,88.6,89.87,86.58,88.31,15208583,,75.61,3.67,63.29,79.72,,90.58,90.58,0,,,79.72,,0,,0,,,,,
2006-02-10,88.87,88.87,85.19,86.13,6663134,,75.61,3.67,57.84,78.31,,90.58,90.58,0,,,78.31,,0,,0,,,,,
2006-02-13,86.37,87.58,86.31,86.94,2404468,,75.61,3.51,59.25,78.94,,90.58,90.58,0,,,78.94,,0,,0,,,,,
2006-02-14,86.94,87.16,84.67,85.09,3471842,,75.61,3.44,54.76,77.8,,90.58,90.58,0,,,77.8,,0,,0,,,,,
2006-02-15,73.01,86.44,73.01,85.34,2762991,,73.01,4.15,55.25,76.61,84.62,90.58,90.58,0,,,76.61,,0,,0,,,,,
2006-02-16,82.16,85.86,82.16,85.27,1714861,,73.01,4.12,55.07,76.59,84.62,90.58,90.58,0,,,76.59,,0,,0,,,,,
2006-02-17,85.73,86.19,83.45,83.72,5439241,,73.01,4.02,51.08,75.66,84.53,90.58,90.58,0,,,75.66,,0,,0,,,,,
2006-02-20,84.45,84.86,81.53,84.41,3399918,,73.01,3.97,52.72,76.13,84.42,90.58,90.58,0,,,76.13,,0,,0,,,,,
2006-02-21,84.86,85.46,84.16,84.64,2612780,,73.01,3.78,53.29,76.41,84.37,90.58,90.58,0,,,76.41,,0,,0,,,,,
2006-02-22,84.59,85.16,83.6,84.77,3175155,,73.01,3.62,53.62,76.6,84.34,90.58,90.58,0,,,76.6,,0,,0,,,,,
2006-02-23,85.16,85.87,83.18,83.93,4755921,,73.01,3.55,51.07,76.1,84.33,90.58,90.58,0,,,76.1,,0,,0,,,,,
2006-02-24,83.87,85.02,83.19,84.7,3429019,,73.01,3.43,53.27,76.68,84.37,90.58,90.58,0,,,76.68,,0,,0,,,,,
2006-02-27,84.7,85.34,84.54,85.1,1474269,,73.01,3.24,54.41,77.06,84.46,90.58,90.58,0,,,77.06,,0,,0,,,,,
2006-02-28,85.1,88.3,85.1,87.76,8610684,,73.01,3.24,61.23,78.78,84.61,90.58,90.58,0,,,78.78,,0,,0,,,,,
2006-03-01,85.59,88.44,79.88,87.95,6383509,,73.01,3.62,61.67,78.65,84.81,90.58,90.58,0,,,78.65,,0,,0,,,,,
2006-03-02,88.44,89.7,86.77,88.5,10600375,,73.01,3.57,62.98,79.04,85.08,90.58,90.58,0,,,79.04,,0,,0,,,,,
2006-03-03,88.44,89.0,86.88,87.27,2557016,,73.01,3.47,58.18,78.31,85.33,90.58,90.58,0,,,78.31,,0,,0,,,,,
2006-03-06,87.73,88.28,87.05,87.49,2491681,,73.01,3.31,58.79,78.56,85.54,90.58,90.58,0,,,78.56,,0,,0,,,,,
2006-03-07,87.3,87.54,85.19,85.71,5499109,,73.01,3.24,52.21,77.46,85.64,90.58,90.58,0,,,77.46,,0,,0,,,,,
2006-03-08,84.87,86.01,84.16,84.38,3338764,,79.88,3.14,47.9,78.96,85.74,89.87,90.58,0,,,78.96,,0,,0,,,,,
2006-03-09,85.02,86.23,82.73,85.84,4149381,,79.88,3.17,52.53,79.88,85.87,89.7,89.87,0,,,79.88,,0,,0,,,,,
2006-03-10,86.11,87.87,84.87,87.63,5792638,,79.88,3.15,57.52,81.05,85.96,89.7,89.7,0,,,81.05,,0,,0,,,,,
2006-03-13,87.73,88.15,85.76,86.33,2788115,,79.88,3.1,53.15,80.24,85.89,89.7,89.7,0,,,80.24,,0,,0,,,,,
2006-03-14,86.3,91.29,85.87,86.57,5572149,,79.88,3.26,53.85,80.29,85.85,91.29,89.7,0,,,80.29,,0,,0,,,,,
2006-03-16,87.48,87.48,86.11,87.13,3476638,,79.88,3.13,55.51,80.74,85.86,91.29,91.29,0,,,80.74,,0,,0,,,,,
2006-03-17,86.44,87.37,86.3,86.46,1955629,,79.88,2.98,53.05,80.41,85.93,91.29,91.29,0,,,80.41,,0,,0,,,,,
2006-03-20,86.46,86.87,86.03,86.48,1416112,,79.88,2.83,53.12,80.52,86.06,91.29,91.29,0,,,80.52,,0,,0,,,,,
2006-03-21,86.87,86.87,84.87,85.33,4343823,,79.88,2.77,48.81,79.82,86.19,91.29,91.29,0,,,79.82,,0,,0,,,,,
2006-03-22,85.02,85.3,83.89,84.55,2467459,,79.88,2.68,46.08,79.38,86.11,91.29,91.29,0,,,79.38,,0,,0,,,,,
2006-03-23,85.29,86.14,84.23,84.52,2460348,,82.73,2.62,45.98,80.35,85.94,91.29,91.29,0,,,80.35,,0,,0,,,,,
2006-03-24,84.16,85.59,83.87,85.39,2191150,,82.73,2.56,49.61,80.95,85.84,91.29,91.29,0,,,80.95,,0,,0,,,,,
2006-03-27,85.59,87.01,85.3,85.44,2584329,,82.73,2.5,49.82,81.02,85.82,91.29,91.29,0,,,81.02,,0,,0,,,,,
2006-03-28,85.87,86.16,84.16,84.53,2302861,,82.73,2.46,46.08,80.46,85.74,91.29,91.29,0,,,80.46,,0,,0,,,,,
2006-03-29,84.73,85.77,84.16,85.37,2020623,,82.73,2.4,49.83,81.04,85.75,91.29,91.29,0,,,81.04,,0,,0,,,,,
2006-03-30,85.77,86.27,83.32,83.97,3223192,,82.73,2.44,44.3,80.11,85.7,91.29,91.29,0,,,80.11,,0,,0,,,,,
2006-03-31,84.87,85.44,83.87,84.02,2313729,,83.32,2.38,44.53,80.38,85.66,91.29,91.29,0,,,80.38,,0,,0,,,,,
