TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2006-08-16,33.29,30.735997381158697,2006-09-12,32.785447787593775,TRAILING_STOP|SMA150_BREAK,20,-1.5156269522566073,6.668669270051063,-3.0039050765995796
2,2006-10-16,35.82,33.66615215698554,2006-10-26,33.796942931278345,TRAILING_STOP,7,-5.647842179569111,1.0329424902289153,-5.332216638749313
3,2007-05-21,31.44,29.369335442339874,2007-05-22,31.394133333333333,SMA150_BREAK,2,-0.14588634435963332,0.6679389312977013,-1.812977099236642
4,2007-07-25,31.17,28.48370705709964,2007-08-10,29.7702,TRAILING_STOP|SMA150_BREAK,13,-4.490856592877775,8.437600256657026,-8.373435996150153
5,2007-09-06,32.87,29.97050773175235,2007-10-08,33.40249261533596,TRAILING_STOP,22,1.6199957874534872,11.46942500760573,-2.677213264374807
6,2007-11-16,38.54,34.08090198625133,2007-11-22,34.08090198625133,TRAILING_STOP,5,-11.570051929809736,3.0617540217955366,-11.131292163985467
7,2008-01-01,40.89,36.81727002824149,2008-01-16,38.694982414270235,TRAILING_STOP,12,-5.368103657935351,10.002445585717771,-3.4482758620689746
8,2008-04-30,41.32,38.39658262393238,2008-05-23,39.957923943046346,TRAILING_STOP,16,-3.296408656712619,5.687318489835434,-4.283639883833502
9,2009-01-30,34.62,31.950508159922673,2009-02-02,34.1128,SMA150_BREAK,2,-1.4650491045638288,0.519930675909878,-3.0906990179087246
10,2009-05-04,39.54,36.21369262899885,2009-05-08,36.21369262899885,TRAILING_STOP,5,-8.412512319173368,0.9610520991401177,-7.78958017197774
11,2009-07-07,40.6,37.05703370505157,2009-08-10,43.55152659127185,TRAILING_STOP,25,7.26976992924101,22.01970443349753,-5.738916256157632
12,2009-10-12,50.59,46.30019758787453,2009-12-14,48.96322005582082,TRAILING_STOP,44,-3.2156156239952236,4.902154576003157,-6.424194504842854
13,2010-03-17,51.47,47.33937218348269,2010-05-05,50.28242149448081,TRAILING_STOP|SMA150_BREAK,33,-2.307321751543018,4.177190596463957,-2.5257431513502957
14,2010-06-04,56.96,52.39653054396683,2010-07-22,58.63504861184595,TRAILING_STOP,35,2.940745456190225,9.796348314606739,-4.775280898876402
15,2010-07-28,62.42,57.38750781587286,2010-10-28,67.64891216418286,TRAILING_STOP,66,8.376981999652127,18.31143864146106,-1.3777635373277786
16,2010-12-29,70.76,66.9109181443232,2011-01-11,68.4100311957571,TRAILING_STOP,10,-3.3210412722483116,3.9005087620124232,-3.236291690220472
17,2011-02-28,68.65,63.01143967760772,2011-03-15,68.3548,SMA150_BREAK,11,-0.4300072833212066,4.13692643845592,-8.638018936635115
