Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,25.72,25.85,23.91,25.37,11604273,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,25.53,26.13,25.41,25.92,19518160,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,26.08,26.93,26.08,26.61,38979651,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,26.63,26.93,26.17,26.33,14491269,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,26.44,26.49,25.7,26.34,29840722,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,26.49,26.62,25.97,26.32,20201291,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,26.39,26.53,25.81,25.87,15669323,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,25.9,26.44,25.4,26.19,16169454,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,26.26,26.58,26.02,26.35,25544453,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,26.26,26.44,25.99,26.12,11861679,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,26.12,26.28,25.72,25.8,9281034,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,25.72,25.79,24.64,25.6,11577962,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,25.72,26.13,25.65,25.92,12573901,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,26.13,26.71,26.04,26.63,18981739,,,1.2,,,,,,0,,,,,0,,0,,,,,
2006-01-23,26.61,27.62,26.35,27.51,35218785,,23.91,1.2,85.02,24.91,,,,0,,,24.91,,0,,0,,,,,
2006-01-24,27.62,28.76,27.46,28.02,28205043,,24.64,1.21,86.23,25.48,,,,0,,,25.48,,0,,0,,,,,
2006-01-25,28.1,28.65,27.66,28.57,25043609,,24.64,1.2,87.41,25.84,,,,0,,,25.84,,0,,0,,,,,
2006-01-27,28.57,28.76,28.02,28.15,20144903,,24.64,1.16,81.66,25.59,,,,0,,,25.59,,0,,0,,,,,
2006-01-30,28.15,28.51,27.5,28.12,14515804,,24.64,1.15,81.25,25.58,,,,0,,,25.58,,0,,0,,,,,
2006-01-31,28.25,28.37,27.9,28.04,8126550,,24.64,1.1,80.1,25.56,,28.76,,0,,,25.56,,0,,0,,,,,
2006-02-01,28.07,28.32,27.8,28.08,17572381,,24.64,1.06,80.25,25.62,,28.76,28.76,0,,,25.62,,0,,0,,,,,
2006-02-02,28.07,28.4,27.98,28.2,19182794,,24.64,1.02,80.72,25.72,,28.76,28.76,0,,,25.72,,0,,0,,,,,
2006-02-03,28.15,28.2,27.51,27.61,11485961,,24.64,0.99,71.63,25.36,,28.76,28.76,0,,,25.36,,0,,0,,,,,
2006-02-06,27.61,28.47,27.34,28.38,20230001,,24.64,1.0,75.51,25.85,,28.76,28.76,0,,,25.85,,0,,0,,,,,
2006-02-07,28.52,29.34,28.38,29.14,22985982,,24.64,1.0,78.61,26.34,,29.34,28.76,0,,,26.34,,0,,0,,,,,
2006-02-08,29.16,29.24,28.4,28.83,12638501,,24.64,0.99,74.46,26.15,,29.34,29.34,0,,,26.15,,0,,0,,,,,
2006-02-10,28.84,29.71,28.84,29.54,18429983,,25.65,0.98,77.41,26.95,,29.71,29.34,0,,,26.95,,0,,0,,,,,
2006-02-13,29.52,29.86,28.09,29.52,10847303,,26.04,1.04,77.14,27.03,,29.86,29.71,0,,,27.03,,0,,0,,,,,
2006-02-14,29.52,29.83,29.17,29.62,16888128,,26.35,1.01,77.56,27.21,,29.86,29.86,0,,,27.21,,0,,0,,,,,
2006-02-15,29.72,31.1,29.72,30.94,44483164,,27.34,1.04,82.21,28.37,27.45,31.1,29.86,0,,,28.37,,0,,0,,,,,
2006-02-16,30.99,31.24,30.0,30.12,21242028,,27.34,1.06,72.19,27.84,27.61,31.24,31.1,0,,,27.84,,0,,0,,,,,
2006-02-17,30.43,30.43,29.18,29.3,23005731,,27.34,1.07,63.82,27.3,27.73,31.24,31.24,0,,,27.3,,0,,0,,,,,
2006-02-20,29.25,29.58,28.54,29.49,25354496,,27.34,1.07,64.84,27.42,27.82,31.24,31.24,0,,,27.42,,0,,0,,,,,
2006-02-21,29.57,30.04,29.52,29.75,15353239,,27.34,1.03,66.24,27.61,27.94,31.24,31.24,0,,,27.61,,0,,0,,,,,
2006-02-22,29.7,29.84,29.39,29.63,12768460,,27.34,0.99,64.95,27.56,28.05,31.24,31.24,0,,,27.56,,0,,0,,,,,
2006-02-23,29.7,30.43,29.63,30.06,20856271,,27.34,0.98,67.39,27.85,28.17,31.24,31.24,0,,,27.85,,0,,0,,,,,
2006-02-24,30.06,30.06,29.39,29.61,14772511,,27.34,0.95,62.49,27.58,28.29,31.24,31.24,0,,,27.58,,0,,0,,,,,
2006-02-27,29.86,30.34,29.62,30.08,11539202,,27.34,0.94,65.33,27.89,28.42,31.24,31.24,0,,,27.89,,0,,0,,,,,
2006-02-28,30.34,31.81,29.46,31.23,60658759,,28.09,1.04,71.09,28.81,28.59,31.81,31.24,0,,,28.81,,0,,0,,,,,
2006-03-01,31.24,31.86,31.18,31.49,26362407,,28.09,1.01,72.22,29.0,28.77,31.86,31.81,0,,,29.0,,0,,0,,,,,
2006-03-02,31.51,32.57,31.51,32.0,30503983,,28.09,1.02,74.33,29.32,28.97,32.57,31.86,0,,,29.32,,0,,0,,,,,
2006-03-03,31.88,32.31,31.34,31.56,18614734,,28.09,1.02,69.43,29.04,29.17,32.57,32.57,0,,,29.04,,0,,0,,,,,
2006-03-06,32.04,32.58,31.52,32.31,24737890,,28.54,1.02,72.73,29.67,29.38,32.58,32.57,0,,,29.67,,0,,0,,,,,
2006-03-07,32.42,32.76,31.92,32.21,33191291,,28.54,1.01,71.62,29.62,29.57,32.76,32.58,0,,,29.62,,0,,0,,,,,
2006-03-08,32.33,32.4,31.24,31.49,25047811,,28.54,1.02,64.04,29.15,29.7,32.76,32.76,0,,,29.15,,0,,0,,,,,
2006-03-09,31.49,31.78,30.63,31.36,21289914,,28.54,1.03,62.75,29.06,29.81,32.76,32.76,0,,,29.06,,0,,0,,,,,
2006-03-10,31.68,32.51,31.51,32.24,14379869,,28.54,1.04,67.52,29.62,29.94,32.76,32.76,0,,,29.62,,0,,0,,,,,
2006-03-13,32.24,32.61,31.62,31.71,26359270,,29.39,1.03,62.34,29.56,30.06,32.76,32.76,0,,,29.56,,0,,0,,,,,
2006-03-14,32.02,32.42,31.7,31.86,15650115,,29.39,1.01,63.2,29.67,30.18,32.76,32.76,0,,,29.67,,0,,0,,,,,
2006-03-16,31.91,32.06,31.03,31.44,28989595,,29.39,1.01,59.13,29.4,30.29,32.76,32.76,0,,,29.4,,0,,0,,,,,
2006-03-17,31.69,32.4,31.6,31.79,21372641,,29.39,1.01,61.36,29.63,30.42,32.76,32.76,0,,,29.63,,0,,0,,,,,
2006-03-20,31.76,32.24,31.76,32.09,12866686,,29.46,0.97,63.22,29.87,30.55,32.76,32.76,0,,,29.87,,0,,0,,,,,
2006-03-21,32.24,32.74,32.09,32.34,20384118,,29.46,0.95,64.74,30.05,30.7,32.76,32.76,0,,,30.05,,0,,0,,,,,
2006-03-22,32.24,32.4,31.81,32.04,9642250,,30.63,0.92,61.46,30.26,30.83,32.76,32.76,0,,,30.26,,0,,0,,,,,
2006-03-23,32.23,32.65,32.07,32.4,12335431,,30.63,0.9,63.83,30.51,30.94,32.76,32.76,0,,,30.51,,0,,0,,,,,
2006-03-24,31.89,33.78,31.43,33.61,37525084,,30.63,1.0,70.41,31.22,31.09,33.78,32.76,0,,,31.22,,0,,0,,,,,
2006-03-27,33.69,35.12,33.38,34.95,27296081,,30.63,1.06,75.69,32.05,31.27,35.12,33.78,0,,,32.05,,0,,0,,,,,
2006-03-28,34.59,35.86,34.28,34.95,19881999,,30.63,1.09,75.69,32.02,31.46,35.86,35.12,0,,,32.02,,0,,0,,,,,
2006-03-29,35.48,35.87,34.73,34.99,26489225,,30.63,1.1,75.84,32.05,31.63,35.87,35.86,0,,,32.05,,0,,0,,,,,
2006-03-30,35.39,37.04,35.24,36.33,29641808,,30.63,1.16,80.22,32.87,31.81,37.04,35.87,0,,,32.87,,0,,0,,,,,
2006-03-31,36.49,36.49,35.14,35.34,16419448,,31.03,1.18,70.11,32.35,31.99,37.04,37.04,0,,,32.35,,0,,0,,,,,
2006-04-03,35.43,36.19,35.32,36.09,12306877,,31.03,1.16,72.9,32.85,32.21,37.04,37.04,0,,,32.85,,0,,0,,,,,
2006-04-04,36.04,37.11,35.86,36.96,22129206,,31.03,1.16,75.72,33.41,32.46,37.11,37.04,0,,,33.41,,0,,0,,,,,
2006-04-05,37.04,37.39,36.91,37.31,11937670,,31.03,1.11,76.77,33.67,32.72,37.39,37.11,0,,,33.67,,0,,0,,,,,
2006-04-07,36.95,37.76,34.59,36.16,35996950,,31.43,1.26,66.58,32.96,32.93,37.76,37.39,0,,,32.96,,0,,0,,,,,
2006-04-10,36.58,36.75,35.6,36.06,22821444,,31.43,1.25,65.77,32.9,33.13,37.76,37.76,0,,,32.9,,0,,0,,,,,
