TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2017-12-21,108.97,100.21826635194418,2017-12-22,107.55713333333333,SMA150_BREAK,2,-1.2965648037686273,1.596769753143062,-4.230522162062952
2,2019-09-26,71.44,65.57050816477813,2019-10-01,69.3306,SMA150_BREAK,4,-2.952687569988793,2.799552071668533,-3.5694288913773757
3,2019-11-01,73.71,65.12003404417621,2019-11-14,68.9026,SMA150_BREAK,9,-6.522045855379171,10.704110704110706,-4.965404965404961
4,2019-12-19,72.38,66.5837997072339,2020-02-19,80.19962536982023,TRAILING_STOP|SMA150_BREAK,44,10.803571939513997,23.818734457032342,-4.97374965460071
5,2020-04-21,89.18,74.10147496130023,2020-05-08,85.9848319729313,TRAILING_STOP,13,-3.5828302613463823,17.59363085893698,-12.020632428795707
6,2020-06-15,99.46,90.7220218548352,2020-06-29,99.81634342891728,TRAILING_STOP,11,0.35827813082373283,15.634425899859252,-4.584757691534273
7,2020-07-10,117.21,105.61981691212578,2020-08-31,207.6421623008921,TRAILING_STOP,37,77.15396493549365,108.39518812388023,-5.630918863578188
8,2020-09-14,260.75,229.0028936135476,2020-09-24,249.26446360057957,TRAILING_STOP,9,-4.404807823363538,16.533077660594444,-3.6893576222435303
9,2020-10-06,305.04,266.96939927515183,2020-11-02,297.02850959911024,TRAILING_STOP,20,-2.6263737217708445,10.828088119590863,-4.179779701022817
10,2020-12-01,317.47,276.8722482284848,2020-12-21,310.80950266283304,TRAILING_STOP,15,-2.0979926724310918,9.93794689261976,-3.6853875956783457
11,2021-01-14,360.63,335.30452156237266,2021-01-29,344.03623158158103,TRAILING_STOP,11,-4.601327792590456,5.19368882233869,-5.29074120289493
12,2021-04-06,390.38,352.38657848535496,2021-07-27,626.7448272253745,TRAILING_STOP,77,60.54737108083778,76.23341359700805,-5.169322198883141
13,2021-08-09,693.16,625.0255357137365,2021-08-23,628.993309874786,TRAILING_STOP,10,-9.257125357091295,2.9444861215303946,-3.9904206820935957
14,2022-03-11,570.8,517.6930446113994,2022-04-26,571.1064700980354,TRAILING_STOP,30,0.053691327616581526,8.354940434477937,-4.793272599859829
15,2022-08-04,538.26,494.72616812530674,2022-09-12,540.9950666666666,SMA150_BREAK,25,0.5081311386071091,11.33652881507078,-3.815999702745878
16,2023-06-13,358.28,327.68234066539117,2023-07-13,343.0844924512287,TRAILING_STOP,22,-4.241238011826303,4.666741096349232,-4.70581667969185
17,2023-08-03,382.41,347.54576653813456,2023-09-12,383.0015638189602,TRAILING_STOP,28,0.1546936060668383,8.75500117674746,-5.138463952302511
18,2023-12-07,388.52,366.1576909588122,2024-01-18,399.67705559951224,TRAILING_STOP,30,2.871681148850062,14.009574796664268,-4.347266549984553
19,2024-03-04,415.91,389.3969268499118,2024-03-13,393.68095845696894,TRAILING_STOP|SMA150_BREAK,7,-5.344675901765066,1.9884109542929918,-3.568079632612833
20,2024-04-03,438.12,397.32348247883965,2024-05-30,425.81984912877965,TRAILING_STOP,38,-2.8074844497444427,7.082534465443251,-6.308773851912715
21,2024-07-04,453.09,423.70150878104874,2024-07-19,439.0074618836118,TRAILING_STOP,11,-3.1081105556044384,6.568231477189973,-4.049967997528078
22,2024-08-30,468.74,432.5533306375881,2024-09-19,464.25339336464003,TRAILING_STOP,15,-0.9571631683577199,10.176217092631319,-3.1488671758330824
23,2024-10-28,490.72,446.6885271971235,2025-01-13,570.7884349243519,TRAILING_STOP,53,16.316521626253643,25.947587218780548,-6.633110531463974
24,2025-02-05,629.72,554.1034735608756,2025-02-14,562.2187794138842,TRAILING_STOP,8,-10.719243566365332,2.393127104109753,-7.304833894429271
25,2025-03-19,604.77,547.7622187912187,2025-04-04,573.4643480787576,TRAILING_STOP,12,-5.176455829694334,5.411974800337322,-4.1982902591067655
26,2025-04-21,638.95,568.1584605008229,2025-05-09,578.5114814061134,TRAILING_STOP,14,-9.4590372633049,3.2083887628139913,-9.268330855309495
27,2025-06-09,666.8,613.4731706583573,2025-08-06,829.2801211171642,TRAILING_STOP,43,24.367144738626912,38.23335332933414,-3.941211757648466
28,2025-09-08,894.46,845.4338028963962,2025-09-26,869.7857778965321,TRAILING_STOP,15,-2.758560707406476,5.451333765623951,-1.9374818326140957
29,2025-10-23,933.63,867.9938279054956,2026-01-12,1045.6090534965294,TRAILING_STOP,56,11.993943371199451,22.211154311665222,-3.429624155179244
