Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2016-12-19,94.51,96.08,91.64,92.68,87741675,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-20,93.14,94.43,89.85,91.39,12775220,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-21,91.45,92.6,90.68,91.33,4620385,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-22,91.06,92.2,90.68,91.55,5630110,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-23,91.63,92.22,90.89,91.77,2094665,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-26,91.64,92.03,87.24,87.82,2237565,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-27,88.26,94.8,87.45,92.85,7962865,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-28,93.18,94.53,91.51,93.81,4318655,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-29,94.3,96.25,91.97,92.65,1870740,,,,,,,,,0,,,,,0,,0,,,,,
2016-12-30,93.33,93.47,92.41,92.77,814260,,,,,,,,,0,,,,,0,,0,,,,,
2017-01-02,92.99,94.13,91.82,93.84,903575,,,,,,,,,0,,,,,0,,0,,,,,
2017-01-03,93.76,94.15,91.75,91.9,561355,,,,,,,,,0,,,,,0,,0,,,,,
2017-01-04,92.59,93.33,91.41,91.74,491035,,,,,,,,,0,,,,,0,,0,,,,,
2017-01-05,92.38,93.16,91.74,91.9,455055,,,3.41,,,,,,0,,,,,0,,0,,,,,
2017-01-06,92.39,92.59,90.97,91.21,340570,,87.24,3.28,27.51,85.72,,,,0,,,85.72,,0,,0,,,,,
2017-01-09,92.21,92.6,89.29,91.7,948015,,87.24,3.28,29.74,86.04,,,,0,,,86.04,,0,,0,,,,,
2017-01-10,91.71,92.03,90.39,91.27,370290,,87.24,3.16,28.9,85.84,,,,0,,,85.84,,0,,0,,,,,
2017-01-11,91.45,92.22,91.26,91.65,377015,,87.24,3.01,30.76,86.19,,,,0,,,86.19,,0,,0,,,,,
2017-01-12,91.06,92.71,90.61,91.69,436490,,87.24,2.94,30.97,86.26,,,,0,,,86.26,,0,,0,,,,,
2017-01-13,91.64,96.41,91.3,95.42,2654720,,87.24,3.1,46.77,88.56,,96.41,,0,,,88.56,,0,,0,,,,,
2017-01-16,95.69,96.23,93.38,93.62,2818405,,87.45,3.08,41.79,87.48,,96.41,96.41,0,,,87.48,,0,,0,,,,,
2017-01-17,93.74,94.44,91.64,92.02,2304050,,89.29,3.06,37.93,87.08,,96.41,96.41,0,,,87.08,,0,,0,,,,,
2017-01-18,92.4,93.57,92.03,92.24,317020,,89.29,2.95,38.77,87.29,,96.41,96.41,0,,,87.29,,0,,0,,,,,
2017-01-19,92.34,93.57,92.34,92.77,346810,,89.29,2.84,40.84,87.71,,96.41,96.41,0,,,87.71,,0,,0,,,,,
2017-01-20,92.6,92.99,91.74,92.37,580095,,89.29,2.72,39.75,87.53,,96.41,96.41,0,,,87.53,,0,,0,,,,,
2017-01-23,92.41,92.93,91.71,92.11,737715,,89.29,2.61,39.02,87.43,,96.41,96.41,0,,,87.43,,0,,0,,,,,
2017-01-24,92.22,92.8,91.52,92.12,1472090,,89.29,2.52,39.07,87.5,,96.41,96.41,0,,,87.5,,0,,0,,,,,
2017-01-25,92.54,92.6,91.83,92.14,797325,,89.29,2.39,39.17,87.6,,96.41,96.41,0,,,87.6,,0,,0,,,,,
2017-01-27,91.07,92.6,91.07,91.36,181720,,89.29,2.33,36.65,87.14,,96.41,96.41,0,,,87.14,,0,,0,,,,,
2017-01-30,91.45,92.6,91.1,92.25,542220,,89.29,2.27,41.29,87.75,92.13,96.41,96.41,0,,,87.75,,0,,0,,,,,
2017-01-31,92.41,92.8,91.45,91.59,389600,,90.39,2.21,39.0,87.73,92.1,96.41,96.41,0,,,87.73,,0,,0,,,,,
2017-02-01,90.77,92.69,90.77,91.76,3309870,,90.61,2.19,39.93,87.93,92.11,96.41,96.41,0,,,87.93,,0,,0,,,,,
2017-02-02,91.83,92.6,91.16,91.45,654590,,90.61,2.13,38.78,87.77,92.11,96.41,96.41,0,,,87.77,,0,,0,,,,,
2017-02-03,92.37,97.99,90.1,97.0,3281520,,90.1,2.54,60.63,90.9,92.29,97.99,96.41,0,,,90.9,,0,,0,,,,,
2017-02-06,98.39,112.17,97.81,107.47,13370230,,90.1,3.45,77.18,97.05,92.82,112.17,97.99,0,,,97.05,,0,,0,,,,,
2017-02-07,107.65,112.86,104.66,108.01,7256860,,90.1,3.79,77.7,97.18,93.49,112.86,112.17,0,,,97.18,,0,,0,,,,,
2017-02-08,108.5,109.91,105.38,106.11,2018595,,90.1,3.84,71.52,95.91,93.93,112.86,112.86,0,,,95.91,,0,,0,,,,,
2017-02-09,106.69,109.0,106.69,107.98,1700945,,90.1,3.77,73.73,97.17,94.4,112.86,112.86,0,,,97.17,,0,,0,,,,,
