Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2006-01-02,159.92,160.59,157.41,157.82,980442,,,,,,,,0,,,,,0,,,0,,,,
2006-01-03,158.62,159.48,157.72,158.37,1052703,,,,,,,,0,,,,,0,,,0,,,,
2006-01-04,158.62,161.22,158.62,160.05,1227186,,,,,,,,0,,,,,0,,,0,,,,
2006-01-05,160.05,162.5,159.4,159.88,1992978,,,,,,,,0,,,,,0,,,0,,,,
2006-01-06,159.86,160.44,156.64,159.13,4256775,,,,,,,,0,,,,,0,,,0,,,,
2006-01-09,160.03,161.13,156.9,158.02,1990971,,,,,,,,0,,,,,0,,,0,,,,
2006-01-10,157.74,159.06,154.73,155.84,1483389,,,,,,,,0,,,,,0,,,0,,,,
2006-01-12,156.11,157.33,147.04,154.38,2792349,,,,,,,,0,,,,,0,,,0,,,,
2006-01-13,155.43,157.33,154.3,156.14,1395351,,,,,,,,0,,,,,0,,,0,,,,
2006-01-16,155.86,160.33,155.86,159.54,1428354,,,,,,,,0,,,,,0,,,0,,,,
2006-01-17,159.54,162.08,158.19,160.55,2147895,,,,,,,,0,,,,,0,,,0,,,,
2006-01-18,158.19,162.51,156.29,158.41,2003256,,,,,,,,0,,,,,0,,,0,,,,
2006-01-19,158.94,165.35,157.5,164.52,5931486,,,,,,,,0,,,,,0,,,0,,,,
2006-01-20,165.54,166.4,160.96,161.56,4162005,,,,,,4.32,,0,,,,,0,,,0,,,,
2006-01-23,162.4,165.54,160.37,161.3,3872628,,,147.04,,,4.38,62.73,0,,150.13,,,0,,,0,,,,
2006-01-24,162.77,168.77,161.91,167.83,4105872,,,147.04,,,4.6,72.1,0,,154.19,,,0,,,0,,,,
2006-01-25,168.77,178.07,168.13,176.55,7801650,,,147.04,,,5.01,79.51,0,,159.55,,,0,,,0,,,,
2006-01-27,178.07,186.37,178.07,184.6,5805981,,,147.04,,,5.35,83.79,0,,164.51,,,0,,,0,,,,
2006-01-30,186.37,200.03,179.8,182.03,2825334,,,147.04,,,6.41,78.18,0,,162.15,,,0,,,0,,,,
2006-01-31,182.83,191.46,181.63,187.76,2633769,,,147.04,200.03,,6.66,81.2,0,,165.68,,,0,,,0,,,,
2006-02-01,188.45,206.17,188.45,197.38,13482810,,,147.04,206.17,200.03,7.5,84.97,0,,171.33,,,0,,,0,,,,
2006-02-02,191.46,201.15,191.46,192.83,5144769,,,147.04,206.17,206.17,7.65,77.1,0,,168.29,,,0,,,0,,,,
2006-02-03,192.77,194.56,187.68,190.4,4757499,,,154.3,206.17,206.17,7.6,73.2,0,,169.18,,,0,,,0,,,,
2006-02-06,191.45,200.46,190.18,195.05,6094701,,,155.86,206.17,206.17,7.79,75.73,0,,172.57,,,0,,,0,,,,
2006-02-07,195.36,197.52,194.03,196.78,3301182,,,156.29,206.17,206.17,7.48,76.61,0,,174.03,,,0,,,0,,,,
2006-02-08,196.66,197.09,188.79,190.55,5376609,,,156.29,206.17,206.17,7.54,67.13,0,,169.97,,,0,,,0,,,,
2006-02-10,194.3,200.55,192.34,199.84,7431237,,,157.5,206.17,206.17,7.72,72.58,0,,176.25,,,0,,,0,,,,
2006-02-13,200.55,217.84,199.25,216.0,10589409,,,160.37,217.84,206.17,8.49,79.08,0,,187.11,,,0,,,0,,,,
2006-02-14,216.97,216.97,205.3,207.55,7804539,,,160.37,217.84,217.84,8.72,69.77,0,,181.51,,,0,,,0,,,,
2006-02-15,209.89,213.95,200.32,204.71,7527303,,175.85,161.91,217.84,217.84,9.07,66.91,0,,179.96,,,0,,,0,,,,
2006-02-16,207.46,208.58,201.0,201.92,4140531,,177.32,168.13,217.84,217.84,8.96,64.14,0,,180.31,,,0,,,0,,,,
2006-02-17,203.92,204.85,195.79,197.73,5914350,,178.63,178.07,217.84,217.84,8.97,60.11,0,,180.91,,,0,,,0,,,,
2006-02-20,199.24,199.25,191.47,194.49,4932756,,179.78,179.8,217.84,217.84,8.89,57.12,0,,179.46,,,0,,,0,,,,
2006-02-21,195.75,203.57,194.93,201.91,6702453,,181.18,181.63,217.84,217.84,8.9,61.81,0,,184.84,,,0,,,0,,,,
2006-02-22,201.21,209.19,197.52,199.1,8063802,,182.51,187.68,217.84,217.84,9.1,59.17,0,,184.91,,,0,,,0,,,,
2006-02-23,202.69,204.59,197.52,198.61,4696380,,183.86,187.68,217.84,217.84,8.95,58.7,0,,184.69,,,0,,,0,,,,
2006-02-24,204.69,204.69,198.83,202.62,4380156,,185.42,187.68,217.84,217.84,8.75,61.4,0,,187.42,,,0,,,0,,,,
2006-02-27,203.57,206.55,201.85,205.06,5346702,,187.11,188.79,217.84,217.84,8.46,62.99,0,,189.55,,,0,,,0,,,,
2006-02-28,206.55,210.75,203.62,207.2,8323713,,188.81,188.79,217.84,217.84,8.36,64.37,0,,191.0,,,0,,,0,,,,
2006-03-01,208.76,214.24,207.9,211.75,5453901,,190.55,188.79,217.84,217.84,8.27,67.18,0,,194.0,,,0,,,0,,,,
2006-03-02,213.52,220.34,212.66,213.8,7698447,,192.33,191.47,220.34,217.84,8.29,68.39,0,,196.2,,,0,,,0,,,,
2006-03-03,214.12,216.89,207.57,208.28,5839074,,193.99,191.47,220.34,220.34,8.37,61.79,0,,192.59,,,0,,,0,,,,
2006-03-06,213.34,213.34,207.46,208.69,4177404,,195.46,191.47,220.34,220.34,8.19,62.08,0,,192.97,,,0,,,0,,,,
2006-03-07,208.67,218.27,208.67,216.09,6144741,,197.28,191.47,220.34,220.34,8.29,67.0,0,,197.68,,,0,,,0,,,,
2006-03-08,218.27,220.84,209.65,210.84,8067357,,198.93,191.47,220.84,220.34,8.5,60.96,0,,194.15,,,0,,,0,,,,
2006-03-09,210.84,213.07,205.92,211.37,5047614,,200.38,191.47,220.84,220.84,8.4,61.34,0,,194.56,,,0,,,0,,,,
2006-03-10,214.12,218.7,211.87,217.53,4112802,,201.75,191.47,220.84,220.84,8.32,65.53,0,,198.58,,,0,,,0,,,,
2006-03-13,217.41,222.58,217.41,219.27,4429467,,202.9,194.93,222.58,220.84,8.1,66.62,0,,201.01,,,0,,,0,,,,
2006-03-14,220.43,221.12,216.45,219.75,3305268,,204.16,197.52,222.58,222.58,7.85,66.94,0,,202.34,,,0,,,0,,,,
2006-03-16,220.43,226.05,214.95,216.61,5297247,,205.12,197.52,226.05,222.58,8.09,62.79,0,,200.16,,,0,,,0,,,,
2006-03-17,217.15,220.43,212.22,213.32,3931596,,205.66,198.83,226.05,226.05,8.09,58.68,0,,198.47,,,0,,,0,,,,
2006-03-20,216.11,216.11,209.71,211.52,3571263,,206.28,201.85,226.05,226.05,7.97,56.5,0,,198.4,,,0,,,0,,,,
2006-03-21,214.21,217.41,211.35,212.91,5416173,,207.03,203.62,226.05,226.05,7.84,57.8,0,,199.98,,,0,,,0,,,,
2006-03-22,212.74,213.52,205.3,206.44,4736079,,207.41,205.3,226.05,226.05,7.86,50.26,0,,196.34,,,0,,,0,,,,
2006-03-23,211.61,211.61,206.05,207.57,3224529,,207.77,205.3,226.05,226.05,7.7,51.45,0,,197.18,,,0,,,0,,,,
2006-03-24,208.33,212.45,207.03,211.48,2938401,,208.47,205.3,226.05,226.05,7.54,55.43,0,,199.81,,,0,,,0,,,,
2006-03-27,215.16,215.16,211.48,212.68,2051334,,208.89,205.3,226.05,226.05,7.26,56.61,0,,200.77,,,0,,,0,,,,
2006-03-28,213.17,213.95,207.46,209.22,2990763,,208.67,205.3,226.05,226.05,7.21,52.32,0,,198.58,,,0,,,0,,,,
2006-03-29,209.37,210.92,207.04,208.73,2801025,,208.71,205.3,226.05,226.05,6.97,51.73,0,,198.42,,,0,,,0,,,,
2006-03-30,210.4,216.55,207.69,213.98,2630673,,209.02,205.3,226.05,226.05,7.1,57.34,0,,201.71,,,0,,,0,,,,
2006-03-31,209.58,214.35,208.95,210.29,2954754,,209.29,205.3,226.05,226.05,6.98,52.7,0,,199.42,,,0,,,0,,,,
2006-04-03,212.54,216.97,210.49,215.9,3542121,,209.9,205.3,226.05,226.05,6.96,58.24,0,,203.05,,,0,,,0,,,,
2006-04-04,216.11,223.02,216.11,219.09,3491199,,210.72,205.3,226.05,226.05,6.97,61.03,0,,205.1,,,0,,,0,,,,
2006-04-05,220.43,228.99,218.96,228.37,7346763,,211.6,205.3,228.99,226.05,7.19,67.78,0,,210.94,,,0,,,0,,,,
2006-04-07,229.08,237.29,218.7,228.19,8382015,,212.57,205.3,237.29,228.99,8.0,67.53,0,,210.28,,,0,,,0,,,,
2006-04-10,228.82,231.24,225.62,229.51,3687309,,213.6,205.3,237.29,237.29,7.83,68.43,0,,211.24,,,0,,,0,,,,
2006-04-12,230.8,231.19,219.16,221.07,4843188,,214.22,205.3,237.29,237.29,8.13,57.48,0,,205.6,,,0,,,0,,,,
2006-04-13,222.13,222.99,209.45,215.49,5269707,,214.56,205.3,237.29,237.29,8.52,51.6,0,,201.74,,,0,,,0,,,,
2006-04-17,217.49,221.19,215.24,219.48,2126412,,214.97,206.05,237.29,237.29,8.34,55.13,0,,204.69,,,0,,,0,,,,
2006-04-18,221.19,228.99,221.12,227.67,5472099,,215.5,207.03,237.29,237.29,8.42,61.37,0,,210.24,,,0,,,0,,,,
2006-04-19,228.56,229.98,223.11,228.88,2427939,,216.01,207.04,237.29,237.29,8.31,62.2,0,,211.1,,,0,,,0,,,,
2006-04-20,229.42,230.8,226.5,229.37,1847349,,216.71,207.04,237.29,237.29,8.02,62.56,0,,211.61,,,0,,,0,,,,
2006-04-21,226.48,235.56,226.48,233.9,3340908,,217.55,207.04,237.29,237.29,8.1,65.75,0,,214.48,,,0,,,0,,,,
2006-04-24,235.56,241.07,231.67,238.84,3675177,,218.31,207.69,241.07,237.29,8.19,68.86,0,,217.82,,,0,,,0,,,,
2006-04-25,239.28,239.28,231.67,232.41,2300427,,219.03,208.95,241.07,241.07,8.15,61.08,0,,214.12,,,0,,,0,,,,
2006-04-26,231.67,233.74,227.87,229.97,4652163,,219.65,209.45,241.07,241.07,7.99,58.38,0,,212.82,,,0,,,0,,,,
2006-04-27,232.1,237.01,231.67,234.35,2485260,,220.21,209.45,241.07,241.07,7.92,61.65,0,,215.69,,,0,,,0,,,,
2006-04-28,229.21,236.72,212.22,232.95,2963511,,220.66,209.45,241.07,241.07,9.1,60.03,0,,214.0,,,0,,,0,,,,
2006-05-02,235.56,239.62,233.86,235.55,1778922,,221.19,209.45,241.07,241.07,8.93,62.03,0,,215.79,,,0,,,0,,,,
2006-05-03,236.83,238.39,229.85,232.24,1954098,,221.71,209.45,241.07,241.07,8.9,58.04,0,,213.68,,,0,,,0,,,,
2006-05-04,233.22,235.9,227.1,228.04,2826324,,222.2,209.45,241.07,241.07,8.89,53.36,0,,210.97,,,0,,,0,,,,
2006-05-05,229.08,237.5,229.08,236.34,3150018,,223.03,209.45,241.07,241.07,8.94,60.2,0,,216.3,,,0,,,0,,,,
2006-05-08,237.46,238.14,232.97,235.09,1617696,,223.77,212.22,241.07,241.07,8.67,58.8,0,,216.6,,,0,,,0,,,,
2006-05-09,237.03,241.95,234.09,240.13,3167604,,224.89,212.22,241.95,241.07,8.61,62.57,0,,219.88,,,0,,,0,,,,
2006-05-10,240.31,245.07,240.31,243.25,2545785,,226.08,212.22,245.07,241.95,8.35,64.73,0,,222.07,,,0,,,0,,,,
2006-05-11,240.31,243.68,236.56,238.94,932733,,227.0,212.22,245.07,245.07,8.26,59.62,0,,219.35,,,0,,,0,,,,
