Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,20.14,20.51,19.99,20.35,659958,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,20.75,21.18,20.35,20.88,838669,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,20.91,22.84,20.91,22.63,2480381,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,22.72,23.52,22.1,22.38,2402622,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,22.1,23.02,21.86,21.98,928520,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,21.92,22.35,21.64,21.74,349499,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,21.49,22.53,21.49,22.07,611975,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,21.64,22.29,21.55,21.67,585707,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,21.8,22.26,21.09,21.27,321506,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,21.61,21.61,20.48,20.69,311644,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,20.66,21.0,19.65,19.95,572514,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,20.02,20.63,19.71,20.51,471808,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,20.69,21.09,20.63,20.78,298876,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,21.06,21.15,20.66,20.78,258603,,,0.81,,,,,,0,,,,,0,,0,,,,,
2006-01-23,20.32,21.03,20.26,20.75,135049,,19.65,0.8,69.91,19.4,,,,0,,,19.4,,0,,0,,,,,
2006-01-24,20.88,21.34,20.6,20.66,260500,,19.65,0.8,68.86,19.34,,,,0,,,19.34,,0,,0,,,,,
2006-01-25,20.81,21.0,20.29,20.32,257545,,19.65,0.79,64.87,19.13,,,,0,,,19.13,,0,,0,,,,,
2006-01-27,18.51,21.06,18.51,20.94,364877,,18.51,0.92,68.46,19.06,,,,0,,,19.06,,0,,0,,,,,
2006-01-30,21.31,21.31,19.92,20.11,382647,,18.51,0.95,59.67,18.51,,,,0,,,18.51,,0,,0,,,,,
2006-01-31,20.97,20.97,19.99,20.05,189591,,18.51,0.95,59.08,18.47,,23.52,,0,,,18.47,,0,,0,,,,,
2006-02-01,20.17,20.26,19.86,19.92,248557,,18.51,0.91,57.74,18.41,,23.52,23.52,0,,,18.41,,0,,0,,,,,
2006-02-02,20.17,20.17,19.34,19.46,294474,,18.51,0.91,53.17,18.12,,23.52,23.52,0,,,18.12,,0,,0,,,,,
2006-02-03,19.86,19.86,19.46,19.56,225096,,18.51,0.87,54.02,18.2,,23.52,23.52,0,,,18.2,,0,,0,,,,,
2006-02-06,19.83,19.92,19.28,19.43,275646,,18.51,0.86,52.68,18.13,,23.02,23.52,0,,,18.13,,0,,0,,,,,
2006-02-07,19.43,19.95,19.37,19.56,259848,,18.51,0.84,53.91,18.23,,22.53,23.02,0,,,18.23,,0,,0,,,,,
2006-02-08,19.56,19.65,19.25,19.31,319863,,18.51,0.8,51.15,18.09,,22.53,22.53,0,,,18.09,,0,,0,,,,,
2006-02-10,19.52,19.92,19.28,19.65,736522,,18.51,0.79,54.56,18.32,,22.29,22.53,0,,,18.32,,0,,0,,,,,
2006-02-13,19.92,20.23,19.74,19.83,393209,,18.51,0.78,56.3,18.44,,22.26,22.29,0,,,18.44,,0,,0,,,,,
2006-02-14,20.26,20.26,19.4,19.56,359537,,18.51,0.78,53.02,18.26,,21.61,22.26,0,,,18.26,,0,,0,,,,,
2006-02-15,19.59,19.77,19.4,19.56,240518,,18.51,0.75,53.02,18.28,20.54,21.34,21.61,0,,,18.28,,0,,0,,,,,
