TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2016-09-27,327.8,303.203466173677,2016-11-04,329.68468571409085,TRAILING_STOP,26,0.5749498822729822,12.159853569249545,-6.912751677852357
2,2017-05-31,325.24,297.9041692085927,2017-06-06,321.362,SMA150_BREAK,5,-1.1923502644201163,4.276841716885982,-4.322961505349896
3,2018-02-07,296.93,279.6690173649791,2018-02-08,293.0486666666667,SMA150_BREAK,2,-1.307154323690202,1.7546223015525477,-3.974000606203486
4,2018-02-12,309.51,287.12249981809737,2018-02-26,293.35273333333333,SMA150_BREAK,10,-5.220272904483428,1.9223934606313169,-4.717133533649951
5,2019-05-27,223.3,198.15359486157493,2019-07-09,221.43679852571668,TRAILING_STOP,31,-0.8343938532392875,10.940438871473344,-6.515897895208244
6,2019-08-16,237.1,212.09497062459172,2019-09-20,225.5893600155646,TRAILING_STOP,24,-4.854761697357818,5.369042598059899,-7.207929143821174
7,2019-10-24,241.69,223.2749486320164,2020-02-03,342.11973520607154,TRAILING_STOP,71,41.55311978405045,58.93499937937027,-2.49493152385287
8,2020-07-27,299.37,274.68120812686726,2020-07-28,295.6036666666667,SMA150_BREAK,2,-1.2580864259389073,0.4476066406119434,-6.40344723920233
9,2020-08-10,320.27,284.7320302050033,2020-09-08,303.688785835329,TRAILING_STOP,22,-5.177261112396103,11.075030443063675,-6.372747993880154
10,2020-11-13,358.76,324.1898337294821,2021-01-28,436.5757222135908,TRAILING_STOP,52,21.690189043815028,35.02620136024084,-2.664734084067344
11,2021-02-05,500.66,448.9861736981111,2021-02-23,448.9861736981111,TRAILING_STOP,13,-10.321141353790782,3.808972156753084,-9.86298086525787
12,2021-05-14,429.69,395.9633192145828,2021-07-20,481.55137189084377,TRAILING_STOP,48,12.069485417590302,30.65000349088878,-5.441131978868485
13,2021-08-06,535.24,493.335445671052,2021-08-11,493.335445671052,TRAILING_STOP,4,-7.82911485108512,1.5731260742844255,-6.4513115611688265
14,2021-11-02,545.24,500.992975540376,2021-11-29,526.5046662154774,TRAILING_STOP,18,-3.436162751177939,13.86361969041157,-6.032206001027069
15,2021-12-31,633.51,570.5756422509463,2022-02-22,613.1998083003488,TRAILING_STOP,37,-3.2059780744820485,6.176698078956922,-5.785228331044494
16,2022-02-28,678.98,619.0132844873507,2022-04-25,688.1291734688574,TRAILING_STOP,37,1.3474879184743858,13.364163892898171,-7.776370438009966
17,2022-07-15,660.65,622.7430884576588,2022-07-25,654.3422666666667,SMA150_BREAK,7,-0.9547768611720755,6.598047377582689,-5.465829107696967
18,2022-08-18,713.4,637.8313010860683,2023-01-04,722.6746836217686,TRAILING_STOP,96,1.300067791108585,14.024390243902449,-6.138211382113816
19,2023-02-24,744.16,704.2123401135706,2023-03-24,746.3621869669324,TRAILING_STOP,20,0.2959292312046413,9.52483336916792,-2.293861535153722
20,2023-05-22,824.71,764.604554778828,2023-08-09,984.5966089656844,TRAILING_STOP,57,19.387009853849758,29.542505850541385,-4.00625674479515
21,2023-09-14,1085.96,1013.1478653904019,2023-10-23,1025.443855957754,TRAILING_STOP,26,-5.572594206254924,3.735865041069647,-5.169619507164177
22,2023-11-15,1127.18,1027.56144325055,2024-02-29,1312.1325050170842,TRAILING_STOP,73,16.4084267833961,27.47742152983552,-0.5961780727124352
23,2024-07-29,1270.98,1198.2787255172445,2024-07-31,1252.5867333333333,SMA150_BREAK,3,-1.4471719985103388,1.2864089128074327,-2.429621237155589
24,2024-09-06,1342.64,1233.4107081372706,2024-09-17,1273.5557937988142,TRAILING_STOP,8,-5.145400569116509,3.503545254126196,-4.127688732646135
25,2024-12-06,1336.65,1250.8327280633796,2025-01-13,1274.5623838702263,TRAILING_STOP|SMA150_BREAK,26,-4.645016730615627,4.344443197546099,-5.792092170725326
26,2025-02-25,1462.11,1339.5096104602105,2025-04-07,1552.751441434284,TRAILING_STOP,27,6.1993585594985445,17.65872608764047,-5.325864675024444
27,2025-04-16,1789.09,1586.5163203688098,2025-07-02,1981.071982634872,TRAILING_STOP,54,10.730705701494733,32.16942691535922,-5.091415188727226
28,2025-11-17,2008.2,1826.277841118691,2025-12-15,1847.2706541161042,TRAILING_STOP|SMA150_BREAK,21,-8.013611487097693,4.237625734488604,-8.908475251468982
