Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2016-01-25,311.62,333.25,305.14,324.6,427034,,,,,,,,0,,
2016-01-27,320.47,333.25,319.59,328.29,376817,,,,,,,,0,,
2016-01-28,326.17,330.94,322.14,324.99,146200,,,,,,,,0,,
2016-01-29,322.98,332.27,322.98,327.99,218252,,,,,,,,0,,
2016-02-01,328.34,330.79,322.63,325.09,405909,,,,,,,,0,,
2016-02-02,324.36,329.32,323.03,326.12,700751,,,,,,,,0,,
2016-02-03,324.4,324.5,313.59,315.26,205863,,,,,,,,0,,
2016-02-04,316.24,319.44,312.61,316.44,349485,,,,,,,,0,,
2016-02-05,316.54,319.0,312.61,315.31,63123,,,,,,,,0,,
2016-02-08,318.51,346.03,316.49,322.83,1156009,,,,,,,,0,,
2016-02-09,326.91,333.05,320.47,327.6,715021,,,,,,,,0,,
2016-02-10,321.46,328.34,314.57,315.66,415901,,,,,,,,0,,
2016-02-11,316.54,316.54,277.61,289.51,700722,,,,,,,,0,,
2016-02-12,290.0,294.72,278.84,281.64,396915,,,20.35,,,,,0,,
2016-02-15,286.75,293.44,285.28,289.75,290784,,277.61,19.73,266.27,,,,0,,
2016-02-16,293.93,294.77,283.17,285.57,119220,,277.61,19.15,263.96,,,,0,,
2016-02-17,289.7,289.7,281.74,285.18,127189,,277.61,18.35,264.24,,,,0,,
2016-02-18,289.9,292.95,285.03,285.52,52218,,277.61,17.61,264.96,,,,0,,
2016-02-19,287.64,288.03,285.03,285.28,36470,,277.61,16.57,265.5,,,,0,,
2016-02-22,289.01,289.01,282.13,284.84,334572,,277.61,15.87,265.68,,346.03,,0,,
2016-02-23,284.59,287.34,281.25,283.41,63567,,277.61,15.17,265.22,,346.03,346.03,0,,
2016-02-24,281.35,282.43,279.68,280.41,105402,,277.61,14.36,263.83,,346.03,346.03,0,,
2016-02-25,284.05,284.35,278.69,283.21,36604,,277.61,13.74,266.05,,346.03,346.03,0,,
2016-02-26,282.18,283.95,269.99,279.63,1067007,,269.99,13.75,261.19,,346.03,346.03,0,,
2016-02-29,279.18,281.0,272.3,275.15,50969,,269.99,13.39,258.54,,346.03,346.03,0,,
2016-03-01,272.35,296.88,269.99,290.39,114425,,269.99,14.36,267.73,,346.03,346.03,0,,
2016-03-02,292.95,304.69,291.42,293.68,128958,,269.99,14.35,269.85,,346.03,346.03,0,,
2016-03-03,294.57,301.25,290.0,294.67,104961,,269.99,14.13,270.64,,346.03,346.03,0,,
2016-03-04,294.86,299.83,290.0,291.82,64527,,269.99,13.82,269.01,,346.03,346.03,0,,
2016-03-08,293.93,296.83,292.95,293.78,42958,,269.99,13.19,270.69,300.79,333.05,346.03,0,,
2016-03-09,294.86,300.81,289.01,292.06,56295,,269.99,13.09,269.65,299.7,328.34,333.05,0,,
