Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2011-07-12,3719.53,3719.53,3719.53,3719.53,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-13,3774.28,3774.28,3774.28,3774.28,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-14,3783.65,3783.65,3783.65,3783.65,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-15,3783.65,3783.65,3783.65,3783.65,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-18,3759.19,3759.19,3759.19,3759.19,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-19,3720.54,3720.54,3720.54,3720.54,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-20,3662.65,3662.65,3662.65,3662.65,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-21,3649.78,3649.78,3649.78,3649.78,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-22,3710.97,3710.97,3710.97,3710.97,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-25,3758.66,3758.66,3758.66,3758.66,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-26,3679.16,3679.16,3679.16,3679.16,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-27,3674.04,3674.04,3674.04,3674.04,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-28,3659.89,3659.89,3659.89,3659.89,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-29,3671.16,3671.16,3671.16,3671.16,0,,,,,,19.53,,0,,,,,0,,,0,,,,
2011-08-01,3671.16,3671.16,3671.16,3671.16,0,,,3649.78,,,18.14,72.11,0,,3572.4,,,0,,,0,,,,
2011-08-02,3698.1,3698.1,3698.1,3698.1,0,,,3649.78,,,18.77,73.57,0,,3589.36,,,0,,,0,,,,
2011-08-03,3680.28,3680.28,3680.28,3680.28,0,,,3649.78,,,18.7,70.93,0,,3577.91,,,0,,,0,,,,
2011-08-04,3625.64,3625.64,3625.64,3625.64,0,,,3625.64,,,21.27,63.4,0,,3532.91,,,0,,,0,,,,
2011-08-05,3559.56,3559.56,3559.56,3559.56,0,,,3559.56,,,24.47,55.71,0,,3466.13,,,0,,,0,,,,
2011-08-08,3485.38,3485.38,3485.38,3485.38,0,,,3485.38,3783.65,,28.02,48.58,0,,3391.19,,,0,,,0,,,,
2011-08-09,3475.24,3475.24,3475.24,3475.24,0,,,3475.24,3783.65,3783.65,26.74,47.68,0,,3382.12,,,0,,,0,,,,
2011-08-10,3475.24,3475.24,3475.24,3475.24,0,,,3475.24,3783.65,3783.65,24.83,47.68,0,,3383.39,,,0,,,0,,,,
2011-08-11,3608.07,3608.07,3608.07,3608.07,0,,,3475.24,3783.65,3783.65,32.54,59.15,0,,3463.92,,,0,,,0,,,,
2011-08-12,3608.07,3608.07,3608.07,3608.07,0,,,3475.24,3759.19,3783.65,30.22,59.15,0,,3465.47,,,0,,,0,,,,
2011-08-16,3553.92,3553.92,3553.92,3553.92,0,,,3475.24,3758.66,3759.19,31.93,53.6,0,,3429.41,,,0,,,0,,,,
2011-08-17,3506.09,3506.09,3506.09,3506.09,0,,,3475.24,3758.66,3758.66,33.07,49.2,0,,3397.8,,,0,,,0,,,,
2011-08-18,3455.34,3455.34,3455.34,3455.34,0,,,3455.34,3758.66,3758.66,34.33,44.99,0,,3357.59,,,0,,,0,,,,
2011-08-19,3423.99,3423.99,3423.99,3423.99,0,,,3423.99,3758.66,3758.66,34.12,42.56,0,,3327.06,,,0,,,0,,,,
2011-08-22,3423.99,3423.99,3423.99,3423.99,0,,,3423.99,3758.66,3758.66,31.68,42.56,0,,3328.68,,,0,,,0,,,,
2011-08-23,3469.66,3469.66,3469.66,3469.66,0,,3624.23,3423.99,3698.1,3758.66,32.68,47.36,0,,3357.48,,,0,,,0,,,,
2011-08-24,3479.96,3479.96,3479.96,3479.96,0,,3616.24,3423.99,3698.1,3698.1,31.08,48.4,0,,3365.18,,,0,,,0,,,,
2011-08-25,3403.33,3403.33,3403.33,3403.33,0,,3603.88,3403.33,3698.1,3698.1,34.33,41.75,0,,3306.7,,,0,,,0,,,,
2011-08-26,3394.64,3394.64,3394.64,3394.64,0,,3590.91,3394.64,3698.1,3698.1,32.5,41.06,0,,3299.42,,,0,,,0,,,,
2011-08-29,3366.52,3366.52,3366.52,3366.52,0,,3577.01,3366.52,3698.1,3698.1,32.19,38.83,0,,3272.12,,,0,,,0,,,,
2011-08-30,3469.3,3469.3,3469.3,3469.3,0,,3567.34,3366.52,3698.1,3698.1,37.23,49.62,0,,3335.05,,,0,,,0,,,,
2011-09-02,3513.18,3513.18,3513.18,3513.18,0,,3560.43,3366.52,3680.28,3698.1,37.71,53.39,0,,3363.04,,,0,,,0,,,,
