Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2007-09-17,6897.92,6977.12,6842.92,6897.02,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-18,6921.07,7078.87,6883.52,7059.57,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-19,7110.92,7419.26,7110.92,7401.76,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-20,7404.86,7462.81,7343.51,7390.06,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-21,7378.21,7506.26,7367.06,7464.41,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-24,7514.31,7660.96,7514.31,7650.81,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-25,7658.41,7694.16,7490.11,7629.06,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-26,7647.01,7829.76,7591.71,7755.81,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-27,7804.46,7866.41,7747.01,7833.56,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-28,7838.16,8082.76,7835.96,8042.11,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-01,8008.46,8085.06,7913.21,7987.41,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-03,8029.71,8235.7,7820.16,8097.81,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-04,8083.21,8086.61,7828.56,8035.81,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-05,8038.01,8066.46,7789.61,7845.16,0,,,,,,196.99,,0,,,,,0,,,0,,,,
2007-10-08,7853.06,7935.36,7516.36,7626.31,0,,,6842.92,,,212.85,74.7,0,,7058.04,,,0,,,0,,,,
2007-10-09,7580.81,7916.36,7534.96,7895.76,0,,,6883.52,,,224.89,77.9,0,,7237.35,,,0,,,0,,,,
2007-10-10,7960.56,8080.96,7907.26,8030.56,0,,,7110.92,,,222.05,79.31,0,,7401.98,,,0,,,0,,,,
2007-10-11,8054.21,8177.66,8005.41,8158.71,0,,,7343.51,,,218.5,80.58,0,,7564.54,,,0,,,0,,,,
2007-10-12,8093.56,8132.01,7889.71,7933.91,0,,,7367.06,,,222.1,72.22,0,,7424.99,,,0,,,0,,,,
2007-10-15,7962.46,8306.25,7962.46,8286.2,0,,,7490.11,8306.25,,232.83,76.36,0,,7686.08,,,0,,,0,,,,
2007-10-16,8361.3,8491.55,8240.2,8452.1,0,,,7490.11,8491.55,8306.25,234.16,78.02,0,,7792.2,,,0,,,0,,,,
2007-10-17,8071.46,8218.0,7641.41,8099.81,0,,,7516.36,8491.55,8491.55,275.34,67.22,0,,7546.27,,,0,,,0,,,,
2007-10-18,8055.06,8192.36,7519.61,7608.66,0,,,7516.36,8491.55,8491.55,303.72,55.65,0,,7210.56,,,0,,,0,,,,
2007-10-19,7637.31,7718.81,7279.22,7423.71,0,,,7279.22,8491.55,8491.55,313.43,52.02,0,,7005.75,,,0,,,0,,,,
2007-10-22,7374.26,7621.56,7289.12,7567.91,0,,,7279.22,8491.55,8491.55,314.79,54.51,0,,7097.85,,,0,,,0,,,,
2007-10-23,7620.96,8118.66,7620.96,8101.01,0,,,7279.22,8491.55,8491.55,331.64,62.3,0,,7430.46,,,0,,,0,,,,
2007-10-24,8167.86,8276.55,8058.46,8228.55,0,,,7279.22,8491.55,8491.55,323.53,63.9,0,,7518.13,,,0,,,0,,,,
2007-10-25,8228.1,8528.15,8185.45,8428.55,0,,,7279.22,8528.15,8491.55,324.9,66.3,0,,7646.22,,,0,,,0,,,,
2007-10-26,8426.3,8804.8,8256.95,8749.8,0,,,7279.22,8804.8,8528.15,340.82,69.79,0,,7842.81,,,0,,,0,,,,
2007-10-29,8917.95,9122.24,8865.55,9000.65,0,,7889.42,7279.22,9122.24,8804.8,343.08,72.2,0,,8003.1,,,0,,,0,,,,
2007-10-30,9024.45,9237.69,8832.4,8934.05,0,,7957.32,7279.22,9237.69,9122.24,347.53,70.59,0,,7957.18,,,0,,,0,,,,
2007-10-31,8906.2,9116.69,8839.3,9013.05,0,,8022.44,7279.22,9237.69,9237.69,342.52,71.41,0,,8011.48,,,0,,,0,,,,
2007-11-01,9220.29,9357.89,9032.6,9198.49,0,,8082.33,7279.22,9357.89,9237.69,342.68,73.28,0,,8130.98,,,0,,,0,,,,
2007-11-02,8953.3,9610.59,8898.1,9560.59,0,,8154.68,7279.22,9610.59,9357.89,369.1,76.52,0,,8346.92,,,0,,,0,,,,
2007-11-05,9549.69,9692.39,9346.14,9397.44,0,,8219.11,7279.22,9692.39,9610.59,367.47,72.27,0,,8242.78,,,0,,,0,,,,
2007-11-06,9383.44,9550.54,9129.74,9216.19,0,,8271.29,7279.22,9692.39,9692.39,371.28,67.77,0,,8123.33,,,0,,,0,,,,
2007-11-07,9215.29,9387.94,9049.55,9090.09,0,,8319.99,7279.22,9692.39,9692.39,368.93,64.74,0,,8043.56,,,0,,,0,,,,
