Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2011-01-31,8688.4,8852.75,8639.0,8788.0,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-01,8838.85,8843.5,8580.1,8611.05,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-02,8703.65,8796.95,8675.45,8718.7,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-03,8745.5,8888.3,8652.75,8869.7,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-04,8885.6,8903.35,8638.75,8677.5,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-07,8729.6,8786.75,8660.15,8734.05,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-08,8806.55,8806.55,8559.5,8571.2,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-09,8539.65,8685.25,8436.8,8497.25,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-10,8489.15,8545.4,8366.05,8426.65,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-11,8433.2,8550.2,8325.85,8520.55,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-14,8529.45,8635.55,8483.65,8619.95,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-15,8626.95,8824.95,8611.1,8788.3,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-16,8764.1,8839.6,8764.1,8796.65,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-17,8823.4,8835.9,8705.15,8828.1,0,,,,,,196.73,,0,,,,,0,,,0,,,,
2011-02-18,8844.05,8881.4,8621.6,8645.65,0,,,8325.85,,,201.24,24.34,0,,8217.57,,,0,,,0,,,,
2011-02-21,8644.85,8795.05,8606.7,8769.6,0,,,8325.85,,,200.32,29.44,0,,8298.13,,,0,,,0,,,,
2011-02-22,8934.75,9008.95,8823.3,8868.3,0,,,8325.85,,,203.11,33.29,0,,8359.93,,,0,,,0,,,,
2011-02-23,8875.6,8949.85,8866.2,8891.95,0,,,8325.85,,,194.57,34.22,0,,8380.88,,,0,,,0,,,,
2011-02-24,8862.55,8900.75,8643.95,8675.8,0,,,8325.85,,,199.02,30.1,0,,8238.5,,,0,,,0,,,,
