Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2011-01-31,8707.95,8709.95,8500.65,8595.7,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-01,8625.6,8665.5,8352.75,8449.5,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-02,8491.25,8555.25,8411.95,8440.05,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-03,8411.1,8551.15,8405.25,8491.3,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-04,8495.85,8524.0,8188.75,8230.05,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-07,8332.6,8396.0,8240.15,8331.45,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-08,8356.05,8378.7,8239.8,8260.8,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-09,8248.4,8263.2,8111.9,8181.1,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-10,8167.65,8284.2,8162.9,8194.75,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-11,8214.95,8230.2,8118.55,8186.75,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-14,8191.35,8443.4,8191.35,8393.15,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-15,8430.1,8440.4,8328.75,8376.35,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-16,8345.15,8459.0,8345.15,8412.75,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-17,8427.6,8486.4,8342.5,8474.35,0,,,,,,181.52,,0,,,,,0,,,0,,,,
2011-02-18,8466.75,8574.8,8389.85,8410.0,0,,,8111.9,,,181.76,23.17,0,,8007.24,,,0,,,0,,,,
2011-02-21,8413.35,8494.9,8348.55,8473.5,0,,,8111.9,,,179.23,26.74,0,,8049.89,,,0,,,0,,,,
2011-02-22,8459.6,8466.85,8368.25,8422.9,0,,,8111.9,,,173.95,25.71,0,,8020.77,,,0,,,0,,,,
2011-02-23,8421.35,8443.7,8366.05,8384.8,0,,,8111.9,,,167.07,24.94,0,,8000.78,,,0,,,0,,,,
2011-02-24,8332.4,8385.6,8104.65,8157.45,0,,,8104.65,,,175.2,20.89,0,,7846.3,,,0,,,0,,,,
2011-02-25,8202.55,8375.05,8176.65,8357.85,0,,,8104.65,8709.95,,178.23,31.45,0,,7973.54,,,0,,,0,,,,
2011-02-28,8348.25,8810.5,8310.8,8730.35,0,,,8104.65,8810.5,8709.95,201.19,45.9,0,,8198.5,,,0,,,0,,,,
2011-03-01,8789.95,8962.6,8789.95,8943.1,0,,,8104.65,8962.6,8810.5,203.41,52.11,0,,8334.24,,,0,,,0,,,,
2011-03-03,8895.05,9047.55,8895.05,8976.55,0,,,8104.65,9047.55,8962.6,199.78,53.02,0,,8358.24,,,0,,,0,,,,
2011-03-04,9000.5,9019.1,8902.25,8926.15,0,,,8104.65,9047.55,9047.55,193.85,51.43,0,,8329.68,,,0,,,0,,,,
2011-03-07,8882.8,8917.75,8738.0,8883.25,0,,,8104.65,9047.55,9047.55,193.44,50.05,0,,8302.28,,,0,,,0,,,,
2011-03-08,8911.15,8966.25,8861.25,8881.8,0,,,8104.65,9047.55,9047.55,187.13,50.01,0,,8305.56,,,0,,,0,,,,
2011-03-09,8903.85,8942.15,8823.85,8855.65,0,,,8104.65,9047.55,9047.55,182.21,49.08,0,,8291.97,,,0,,,0,,,,
2011-03-10,8842.65,8852.95,8774.9,8828.45,0,,,8104.65,9047.55,9047.55,174.96,48.08,0,,8279.26,,,0,,,0,,,,
2011-03-11,8804.4,8912.35,8783.65,8838.75,0,,,8104.65,9047.55,9047.55,171.66,48.51,0,,8288.1,,,0,,,0,,,,
2011-03-14,8850.15,8922.2,8830.35,8910.95,10885000,,8533.32,8104.65,9047.55,9047.55,165.96,51.52,0,,8338.47,,,0,,,0,,,,
2011-03-15,8828.4,8891.65,8684.95,8775.4,13803000,,8539.31,8104.65,9047.55,9047.55,170.25,46.07,0,,8248.18,,,0,,,0,,,,
2011-03-16,8798.6,8844.8,8784.55,8803.1,11659000,,8551.09,8104.65,9047.55,9047.55,163.04,47.3,0,,8270.85,,,0,,,0,,,,
2011-03-17,8749.1,8801.85,8654.7,8674.8,14224000,,8558.92,8104.65,9047.55,9047.55,162.0,42.47,0,,8188.8,,,0,,,0,,,,
2011-03-18,8726.75,8742.8,8575.8,8649.55,12635000,,8564.2,8176.65,9047.55,9047.55,162.36,41.58,0,,8196.27,,,0,,,0,,,,
2011-03-21,8672.3,8705.5,8611.55,8623.45,8377000,,8577.31,8310.8,9047.55,9047.55,157.47,40.62,0,,8227.41,,,0,,,0,,,,
2011-03-22,8653.7,8723.65,8618.75,8686.15,8503000,,8589.13,8575.8,9047.55,9047.55,153.71,43.95,0,,8358.69,,,0,,,0,,,,
2011-03-23,8683.05,8778.95,8664.65,8756.0,8944000,,8605.64,8575.8,9047.55,9047.55,150.9,47.49,0,,8405.62,,,0,,,0,,,,
2011-03-24,8787.2,8814.05,8765.6,8790.05,9961000,,8625.94,8575.8,9047.55,9047.55,144.27,49.18,0,,8432.0,,,0,,,0,,,,
2011-03-25,8851.15,8948.8,8821.05,8930.0,19141000,,8650.44,8575.8,9047.55,9047.55,145.3,55.5,0,,8521.58,,,0,,,0,,,,
