TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2011-07-07,3174.25,2986.103981037162,2011-07-12,3063.807666666667,SMA150_BREAK,4,-3.479320574413892,0.5009057257619939,-2.243049539261237
2,2012-02-06,2654.0,2446.605596916182,2012-02-07,2631.462,SMA150_BREAK,2,-0.849208741522231,0.8383571966842501,-0.8100979653353428
3,2012-02-15,2707.95,2531.300566288131,2012-02-27,2591.5769999999998,TRAILING_STOP|SMA150_BREAK,8,-4.297457486290369,4.721283627836569,-2.9930390147528474
4,2012-06-29,2415.9,2282.81840950051,2012-07-17,2395.1433333333334,SMA150_BREAK,13,-0.8591691157194693,3.5638892338258996,-2.3138374932737316
5,2012-09-17,2419.45,2270.420048900551,2012-10-05,2395.6766482035605,TRAILING_STOP|SMA150_BREAK,13,-0.9825932255859525,7.109053710554051,-2.2319122114530163
6,2012-11-29,2594.85,2471.7404594855684,2013-02-04,2530.0308505059415,TRAILING_STOP,47,-2.4979921573138473,3.460701003911601,-2.5145962194346496
7,2013-05-07,2504.4,2315.230208651799,2013-05-08,2473.945,SMA150_BREAK,2,-1.2160597348666318,0.2256029388276669,-0.9782782303146461
8,2013-05-17,2554.85,2415.5576910693976,2013-05-22,2470.5843333333337,SMA150_BREAK,4,-3.2982627812461094,0.8180519404270346,-2.491340000391416
9,2013-09-19,2273.75,2053.0743101159446,2013-09-20,2264.265,SMA150_BREAK,2,-0.4171522814733426,0.4661902144035144,-2.00109950522265
10,2013-10-18,2300.65,2157.155766377721,2013-11-13,2268.344920372991,TRAILING_STOP,18,-1.4041718482606669,4.7530045856605705,-2.479733988220728
11,2013-11-29,2427.6,2289.679615910362,2013-12-13,2401.9989602183555,TRAILING_STOP,11,-1.0545822945149297,6.920415224913495,-1.4726478826824847
12,2014-03-06,2374.55,2249.1261795101223,2014-04-30,2606.704600567468,TRAILING_STOP,35,9.776782993302634,16.49786275294266,-1.956160114548031
13,2014-05-13,2819.1,2636.382270014608,2014-06-16,3232.252464315274,TRAILING_STOP,25,14.655473885824351,25.00620765492534,-1.4206661700542629
14,2014-10-30,3209.55,3014.416577797508,2014-12-08,3159.5783333333334,TRAILING_STOP|SMA150_BREAK,26,-1.5569680069376333,4.042622797588447,-1.2197971678272683
15,2015-03-02,3371.55,3141.655641673547,2015-03-25,3183.471133615402,TRAILING_STOP,17,-5.578409526318706,1.7959098930758768,-5.377348697186759
