Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2010-07-19,3475.2,3510.35,3474.0,3500.6,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-20,3515.45,3526.95,3487.85,3499.5,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-21,3507.05,3513.15,3494.1,3500.4,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-22,3493.35,3534.95,3482.8,3530.3,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-23,3547.8,3554.55,3525.6,3541.85,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-26,3545.7,3547.45,3517.8,3527.95,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-27,3530.65,3536.15,3492.85,3516.75,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-28,3522.9,3529.6,3490.65,3496.35,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-29,3483.55,3488.85,3468.2,3474.2,0,,,,,,,,0,,,,,0,,,0,,,,
2010-07-30,3473.7,3473.7,3427.85,3432.55,0,,,,,,,,0,,,,,0,,,0,,,,
2010-08-02,3450.7,3471.25,3449.25,3460.25,0,,,,,,,,0,,,,,0,,,0,,,,
2010-08-03,3470.75,3473.95,3452.7,3469.45,0,,,,,,,,0,,,,,0,,,0,,,,
2010-08-04,3473.05,3499.45,3463.3,3491.25,0,,,,,,,,0,,,,,0,,,0,,,,
2010-08-05,3492.35,3502.8,3472.45,3478.35,0,,,,,,35.19,,0,,,,,0,,,0,,,,
2010-08-06,3485.05,3494.35,3457.9,3465.35,0,,,3427.85,,,35.28,39.88,0,,3354.25,,,0,,,0,,,,
2010-08-09,3465.55,3512.95,3465.55,3510.0,974100,,,3427.85,,,36.16,53.44,0,,3382.46,,,0,,,0,,,,
2010-08-10,3512.9,3516.8,3482.9,3492.85,1095300,,,3427.85,,,36.0,48.88,0,,3371.51,,,0,,,0,,,,
2010-08-11,3491.85,3518.25,3468.1,3471.75,915700,,,3427.85,,,37.01,43.92,0,,3357.22,,,0,,,0,,,,
2010-08-12,3449.75,3476.8,3442.55,3463.65,982400,,,3427.85,,,36.81,42.15,0,,3352.13,,,0,,,0,,,,
2010-08-13,3467.0,3494.8,3467.0,3477.95,954400,,,3427.85,3554.55,,36.41,46.26,0,,3361.62,,,0,,,0,,,,
2010-08-16,3472.95,3482.8,3436.15,3453.9,1012200,,,3427.85,3554.55,3554.55,37.14,40.98,0,,3345.62,,,0,,,0,,,,
2010-08-17,3449.95,3469.1,3438.7,3443.0,768700,,,3427.85,3554.55,3554.55,36.66,38.82,0,,3338.91,,,0,,,0,,,,
2010-08-18,3454.6,3454.6,3428.85,3450.55,878000,,,3427.85,3554.55,3554.55,35.88,41.14,0,,3344.3,,,0,,,0,,,,
2010-08-19,3455.15,3463.7,3450.35,3459.9,1031900,,,3427.85,3554.55,3554.55,34.27,43.97,0,,3351.41,,,0,,,0,,,,
2010-08-20,3451.9,3473.05,3445.75,3468.05,870600,,,3428.85,3547.45,3554.55,33.77,46.39,0,,3357.33,,,0,,,0,,,,
2010-08-23,3470.75,3500.45,3470.75,3495.65,717400,,,3428.85,3536.15,3547.45,33.67,53.68,0,,3375.2,,,0,,,0,,,,
2010-08-24,3506.2,3506.6,3464.35,3467.3,742800,,,3428.85,3529.6,3536.15,34.29,46.66,0,,3356.5,,,0,,,0,,,,
2010-08-25,3465.85,3468.2,3428.75,3433.3,868800,,,3428.75,3518.25,3529.6,34.66,39.91,0,,3334.29,,,0,,,0,,,,
2010-08-26,3439.9,3468.35,3427.7,3459.15,1073700,,,3427.7,3518.25,3518.25,35.08,46.27,0,,3350.33,,,0,,,0,,,,
2010-08-27,3459.9,3472.05,3396.7,3411.85,902300,,3478.13,3396.7,3518.25,3518.25,37.96,38.29,0,,3307.57,,,0,,,0,,,,
2010-08-30,3438.05,3446.8,3399.75,3411.35,731800,,3475.16,3396.7,3518.25,3518.25,38.61,38.21,0,,3306.81,,,0,,,0,,,,
2010-08-31,3404.0,3409.3,3364.75,3391.8,930700,,3471.57,3364.75,3518.25,3518.25,39.18,35.3,0,,3283.17,,,0,,,0,,,,
2010-09-01,3396.6,3454.0,3396.6,3449.3,759400,,3469.86,3364.75,3518.25,3518.25,40.82,47.89,0,,3319.17,,,0,,,0,,,,
2010-09-02,3462.6,3475.25,3443.75,3446.7,1071100,,3467.08,3364.75,3518.25,3518.25,40.16,47.44,0,,3317.93,,,0,,,0,,,,
2010-09-03,3456.55,3466.65,3445.6,3455.35,1068200,,3464.19,3364.75,3518.25,3518.25,38.79,49.15,0,,3324.42,,,0,,,0,,,,
