TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2008-05-02,4458.5,4042.200003956772,2008-06-09,4368.128683580208,TRAILING_STOP,26,-2.0269444077557828,7.068520802960629,-3.8432208141751794
2,2008-09-02,4047.9,3806.95152314538,2008-09-04,4020.5393333333336,SMA150_BREAK,2,-0.6759224947915332,0.4063835569060456,-2.813804688851011
3,2009-04-23,2640.5,2390.184658273095,2009-07-08,3348.76275841974,TRAILING_STOP,53,26.823054664637,40.90891876538534,-5.411853815565237
4,2009-07-15,3628.55,3379.807121258387,2009-10-09,4827.531444399454,TRAILING_STOP,60,33.04299084756869,43.728210993372,-2.0187127089333203
5,2009-11-11,5259.0,4912.600415749107,2010-01-25,5778.689010583222,TRAILING_STOP,51,9.881897900422548,17.719148127020354,-3.612854154782278
6,2010-03-09,5925.1,5636.517049133926,2010-03-31,5875.027587770782,TRAILING_STOP,16,-0.8450897407506806,5.036201920642683,-0.7535737793455054
7,2010-06-18,6006.95,5688.669737586781,2010-07-02,5816.149333333334,SMA150_BREAK,11,-3.1763318600398884,1.0787504473984333,-2.82922281690375
8,2010-07-09,6108.4,5812.685881899306,2010-08-27,6019.702610635985,TRAILING_STOP,36,-1.452056010805027,3.8627136402331335,-2.8133390085783425
9,2010-09-08,6287.7,5963.272650031337,2010-10-29,6588.873470670679,TRAILING_STOP,37,4.7898829567358385,12.178539052435708,-1.5379232469742483
10,2010-12-15,7024.65,6641.462877223853,2011-01-11,7151.372266889693,TRAILING_STOP,19,1.803965562550347,8.075135415999373,-1.483347924807639
11,2011-03-31,7148.1,6686.6622668645605,2011-04-15,6882.034333333333,SMA150_BREAK,10,-3.7221872478933884,2.7531791664917846,-1.7717994991676187
12,2012-01-03,6356.15,6004.074999873107,2012-01-12,6032.580666666667,TRAILING_STOP|SMA150_BREAK,8,-5.090649738180077,0.5663805920250466,-2.04211669013474
13,2012-02-09,6492.55,6064.2317414359895,2012-03-19,6364.479734773066,TRAILING_STOP,26,-1.9725726444453067,4.909473165397263,-2.673833855726954
14,2012-08-23,6207.6,5826.199835519859,2012-08-29,6102.25,SMA150_BREAK,4,-1.6971132160577416,0.0958502480829921,-1.7317481796507506
15,2012-09-06,6233.35,5921.5546894690815,2012-10-05,6206.928043269796,TRAILING_STOP|SMA150_BREAK,20,-0.4238805254029427,6.584741752027398,-2.2604217635781807
16,2012-11-27,6252.3,5962.023080499014,2012-12-06,6038.846,SMA150_BREAK,7,-3.4140076451865813,0.758121011467774,-1.7881419637573404
17,2013-01-07,6175.45,5883.979565850509,2013-04-05,7025.92856621867,TRAILING_STOP,63,13.77192862412732,20.1604741354881,-1.9107919260944548
18,2013-07-10,6690.95,6324.551867363953,2013-08-21,7580.932988154658,TRAILING_STOP,29,13.301294855807596,20.046480694071846,-0.5537330274475252
19,2013-08-28,8175.3,7687.830749123961,2014-02-04,9587.332782318746,TRAILING_STOP,108,17.271938428176902,24.348953555221208,-2.7723753256761285
20,2014-02-25,10162.9,9644.999466729621,2014-03-11,9780.002396482852,TRAILING_STOP,10,-3.7676018018198274,2.314792037705773,-3.6495488492457824
21,2014-06-17,9620.05,9027.780502433843,2014-10-17,10919.593376054156,TRAILING_STOP,82,13.508696691328595,20.931284140934824,-1.3082052588084112
22,2014-11-13,11539.6,10860.129156133109,2014-12-08,11422.865451076597,TRAILING_STOP,18,-1.0115996128410263,4.110194460813194,-1.2210128600644705
23,2015-01-14,11614.3,10989.551787477867,2015-03-23,12218.368011308516,TRAILING_STOP,43,5.201071190760669,11.139715695306657,-0.8033200451167893
24,2015-07-21,11655.45,10979.99507424567,2015-07-22,11618.389333333333,SMA150_BREAK,2,-0.31796856120242556,1.224748937192472,-2.4782397934013733
25,2015-08-12,12006.8,11385.0433866682,2015-08-24,11665.776333333333,TRAILING_STOP|SMA150_BREAK,9,-2.8402544113890964,2.561881600426428,-2.291201652396963
26,2015-09-30,12032.1,11371.252127042637,2015-10-07,11681.774000000001,SMA150_BREAK,4,-2.911594817197323,0.3810639871676629,-1.386707224840222
27,2017-03-14,10879.25,10411.967537154782,2017-03-15,10823.21,SMA150_BREAK,2,-0.5151090378472861,0.4416664751706163,-0.5317462141232195
28,2017-05-18,10545.6,10018.12796012394,2017-05-19,10496.541333333334,SMA150_BREAK,2,-0.4652050776311057,1.5200652404794348,-1.6490289789106323
29,2017-05-25,10738.35,10178.05785620754,2017-06-09,10401.126,TRAILING_STOP|SMA150_BREAK,12,-3.1403707273463817,2.586524000428371,-2.523665181336052
30,2017-07-21,10711.55,10122.341144239079,2017-08-21,10432.123000000001,SMA150_BREAK,21,-2.608651408993077,1.8078616073304188,-2.211164584023774
31,2017-10-10,10726.2,10335.51431738778,2018-02-19,12279.16017012392,TRAILING_STOP,89,14.478195168129615,26.363017657697974,-0.13191997165819633
32,2018-04-12,13168.2,12450.264814416458,2018-10-04,15513.13004011602,TRAILING_STOP,120,17.807521454078916,24.2432526844975,-3.0493917164077176
33,2019-01-18,14893.0,14100.155904306926,2019-03-14,15253.39374917375,TRAILING_STOP,38,2.419886854050565,8.560061773987782,-1.2324582018397856
34,2019-04-02,15988.4,15224.378930521629,2019-05-14,15899.654987550499,TRAILING_STOP,27,-0.5550587453997948,4.578319281479084,-1.8600985714643095
35,2019-06-03,16360.55,15562.122930275245,2019-07-05,15685.37145677128,TRAILING_STOP,23,-4.126869470945168,0.7829810122520465,-2.8978243396462746
36,2019-08-30,16010.4,15247.656704515219,2019-09-11,15795.212333333335,SMA150_BREAK,7,-1.344049284631645,1.301653924948781,-1.7251286663668548
37,2019-12-17,15637.15,14869.192008019012,2020-02-28,16035.654025986374,TRAILING_STOP|SMA150_BREAK,51,2.548444096183604,7.963727405569436,-1.5984370553457563
38,2020-06-08,14894.6,13744.576577330148,2020-06-09,14759.750666666667,SMA150_BREAK,2,-0.9053571988058328,0.6421790447544723,-1.2162125871121052
39,2020-06-26,14994.65,14168.976261108366,2021-01-29,24947.857760354924,TRAILING_STOP,150,66.3783933626655,81.2413094003528,-3.45589927073989
40,2021-03-16,26363.85,24718.246118381463,2021-04-13,25626.333231836034,TRAILING_STOP,19,-2.7974547274543173,4.402809149649994,-5.125768808425168
41,2021-05-26,26857.35,25537.634956233378,2021-09-28,35011.51822993442,TRAILING_STOP,87,30.361030518403435,40.829791472353016,-1.775491625197566
42,2021-12-23,37362.85,35216.6517715843,2022-01-20,37190.11807226654,TRAILING_STOP,21,-0.4623092931440212,5.577331493716349,-0.7385678555035204
43,2022-03-14,36028.0,33528.70515447096,2022-03-15,35499.515999999996,SMA150_BREAK,2,-1.4668702120573,0.12046186299545202,-1.887559675807713
44,2022-03-24,36516.75,34189.788755748465,2022-03-28,35688.907,SMA150_BREAK,3,-2.2670226676799023,0.5305784331847714,-1.817385172557803
45,2022-11-11,29591.95,28044.284760093447,2022-12-09,29420.14748781572,TRAILING_STOP,21,-0.5805717845031511,5.527347809116999,-1.931606399713443
46,2023-01-23,30086.0,28410.435069121926,2023-02-27,29794.790102095347,TRAILING_STOP,25,-0.9679249415164968,4.990194774978391,-1.9294688559462874
47,2023-05-26,29355.9,27911.058698515,2023-06-06,29122.214333333337,SMA150_BREAK,8,-0.796043271256083,1.0345450148011033,-1.2942883713325113
48,2023-07-04,29729.85,28431.142558032025,2023-07-12,29047.353666666666,SMA150_BREAK,7,-2.2956601978595,0.6992971710250858,-2.1431322391468433
49,2023-07-14,30945.5,29148.700396470307,2023-07-28,29489.077977725432,TRAILING_STOP,11,-4.706409727664986,2.3027580746796743,-4.120146709537735
50,2023-09-01,31514.35,30256.194989952335,2023-10-03,31506.599884142644,TRAILING_STOP,21,-0.024592339227539527,5.992190859084834,-1.1585198488942292
51,2023-11-16,32273.35,30547.612328045783,2024-03-06,36440.67585094111,TRAILING_STOP,74,12.91259150643212,19.34475348855946,-2.6084989627664887
52,2024-06-07,35169.9,32689.20703040306,2024-06-10,34584.827333333335,SMA150_BREAK,2,-1.6635607910931418,0.22234922476321253,-2.5976758534997213
53,2024-06-27,36123.7,34030.102119034425,2024-08-05,38338.95457364155,TRAILING_STOP,27,6.132413273395461,14.553880139631328,-2.818094491981719
54,2024-08-20,41572.8,38936.42922028801,2024-10-22,41443.9475172362,TRAILING_STOP,45,-0.30994420092897995,4.986673979140203,-1.3068641034522643
55,2024-11-22,43332.1,40724.95759986979,2024-12-24,43448.13130886143,TRAILING_STOP,23,0.2677721801192068,6.362027226928774,-3.1121270374618257
56,2025-11-12,36855.4,35004.70031671519,2025-11-14,36223.37033333334,SMA150_BREAK,3,-1.7148902648367996,0.22913874221958544,-1.5319329053544353
57,2025-11-19,37044.65,35105.49986902246,2026-01-05,37604.147190588505,TRAILING_STOP,32,1.5103319658533774,6.70974081277593,-2.75397392066062
