Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2007-09-17,4645.85,4673.25,4562.7,4573.55,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-18,4577.7,4593.35,4558.6,4576.75,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-19,4674.1,4700.75,4650.25,4667.3,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-20,4666.0,4666.0,4558.2,4566.05,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-21,4559.15,4632.1,4476.85,4603.85,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-24,4605.7,4631.75,4539.95,4560.25,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-25,4581.6,4592.7,4520.95,4540.6,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-26,4608.15,4725.05,4570.75,4703.4,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-27,4754.25,4841.0,4745.55,4816.2,0,,,,,,,,0,,,,,0,,,0,,,,
2007-09-28,4790.65,4882.85,4769.45,4804.2,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-01,4813.35,4813.35,4696.0,4766.95,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-03,4735.85,4943.65,4735.85,4920.1,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-04,4917.3,4922.55,4843.35,4908.0,0,,,,,,,,0,,,,,0,,,0,,,,
2007-10-05,4908.9,4912.55,4842.7,4868.45,0,,,,,,114.21,,0,,,,,0,,,0,,,,
2007-10-08,4887.25,4943.9,4846.55,4895.9,0,,,4476.85,,,113.01,70.84,0,,4574.8,,,0,,,0,,,,
2007-10-09,4896.85,5025.35,4880.6,5015.4,0,,,4476.85,,,115.27,76.35,0,,4650.37,,,0,,,0,,,,
2007-10-10,5027.05,5187.35,5027.05,5171.6,0,,,4476.85,,,119.32,81.31,0,,4748.42,,,0,,,0,,,,
2007-10-11,5109.75,5109.75,4899.95,4947.3,0,,,4476.85,,,130.2,61.38,0,,4596.49,,,0,,,0,,,,
2007-10-12,4898.9,4903.2,4802.2,4877.85,0,,,4476.85,,,131.27,56.74,0,,4550.99,,,0,,,0,,,,
2007-10-15,4891.75,4967.0,4863.0,4912.55,0,,,4520.95,5187.35,,129.32,58.43,0,,4589.37,,,0,,,0,,,,
2007-10-16,4912.7,4955.35,4815.1,4836.45,0,,,4520.95,5187.35,5187.35,130.1,53.5,0,,4539.76,,,0,,,0,,,,
2007-10-17,4742.55,4897.65,4572.2,4882.9,0,,,4570.75,5187.35,5187.35,144.05,55.94,0,,4577.02,,,0,,,0,,,,
2007-10-18,4939.1,5037.5,4846.7,4904.3,0,,,4572.2,5187.35,5187.35,147.39,57.06,0,,4589.08,,,0,,,0,,,,
2007-10-19,4959.35,4979.7,4818.05,4894.05,0,,,4572.2,5187.35,5187.35,148.41,56.32,0,,4581.79,,,0,,,0,,,,
2007-10-22,4824.1,4858.85,4779.4,4807.0,0,,,4572.2,5187.35,5187.35,146.0,50.36,0,,4527.25,,,0,,,0,,,,
2007-10-23,4839.9,4890.25,4797.25,4807.25,0,,,4572.2,5187.35,5187.35,142.21,50.38,0,,4529.93,,,0,,,0,,,,
2007-10-24,4860.7,4884.4,4739.85,4756.85,0,,,4572.2,5187.35,5187.35,142.38,47.03,0,,4497.31,,,0,,,0,,,,
2007-10-25,4757.9,4789.45,4719.75,4766.2,0,,,4572.2,5187.35,5187.35,137.19,47.73,0,,4506.81,,,0,,,0,,,,
2007-10-26,4766.75,4844.65,4742.65,4824.65,0,,,4572.2,5187.35,5187.35,134.68,51.96,0,,4546.18,,,0,,,0,,,,
2007-10-29,4838.0,4900.9,4836.45,4860.8,0,,4801.22,4572.2,5187.35,5187.35,130.5,54.42,0,,4572.28,,,0,,,0,,,,
2007-10-30,4869.85,4888.35,4801.6,4824.45,0,,4809.59,4572.2,5187.35,5187.35,127.38,51.56,0,,4550.92,,,0,,,0,,,,
2007-10-31,4828.35,4833.25,4759.45,4793.65,0,,4816.82,4572.2,5187.35,5187.35,123.55,49.2,0,,4533.6,,,0,,,0,,,,
2007-11-01,4811.95,4836.2,4738.65,4751.8,0,,4819.63,4572.2,5187.35,5187.35,121.69,46.12,0,,4507.85,,,0,,,0,,,,
2007-11-02,4686.8,4758.75,4655.3,4745.05,0,,4825.6,4572.2,5187.35,5187.35,120.39,45.62,0,,4504.36,,,0,,,0,,,,
2007-11-05,4743.5,4769.0,4667.15,4680.2,0,,4828.15,4572.2,5187.35,5187.35,119.07,41.04,0,,4463.42,,,0,,,0,,,,
2007-11-06,4679.2,4716.95,4646.7,4654.7,0,,4831.29,4572.2,5187.35,5187.35,115.58,39.37,0,,4449.3,,,0,,,0,,,,
2007-11-07,4597.75,4633.75,4489.5,4511.6,0,,4830.33,4489.5,5109.75,5187.35,119.12,31.59,0,,4327.07,,,0,,,0,,,,
2007-11-08,4493.45,4493.45,4431.4,4461.35,0,,4822.26,4431.4,5037.5,5109.75,116.34,29.4,0,,4277.14,,,0,,,0,,,,
2007-11-12,4395.6,4395.6,4297.0,4331.35,0,,4806.1,4297.0,5037.5,5037.5,119.77,24.63,0,,4146.21,,,0,,,0,,,,
2007-11-13,4320.1,4369.5,4270.0,4281.2,0,,4788.66,4270.0,5037.5,5037.5,118.32,23.07,0,,4105.82,,,0,,,0,,,,
2007-11-14,4376.05,4473.7,4375.75,4466.6,0,,4778.65,4270.0,5037.5,5037.5,123.62,38.53,0,,4221.88,,,0,,,0,,,,
2007-11-15,4465.8,4465.8,4369.9,4386.0,0,,4760.85,4270.0,5037.5,5037.5,121.7,35.22,0,,4171.17,,,0,,,0,,,,
2007-11-16,4382.35,4398.95,4336.9,4374.6,0,,4743.07,4270.0,4979.7,5037.5,117.44,34.76,0,,4166.66,,,0,,,0,,,,
2007-11-19,4365.2,4436.95,4356.35,4390.85,0,,4727.15,4270.0,4900.9,4979.7,114.81,36.03,0,,4178.89,,,0,,,0,,,,
2007-11-20,4385.7,4385.7,4268.65,4280.6,0,,4706.64,4268.65,4900.9,4900.9,115.34,31.54,0,,4106.98,,,0,,,0,,,,
2007-11-21,4268.2,4300.7,4179.95,4201.25,0,,4679.5,4179.95,4900.9,4900.9,115.72,28.77,0,,4025.97,,,0,,,0,,,,
2007-11-22,4232.85,4232.85,4141.2,4172.75,0,,4646.21,4141.2,4900.9,4900.9,114.0,27.82,0,,3995.82,,,0,,,0,,,,
2007-11-23,4177.7,4271.1,4177.7,4238.6,0,,4622.58,4141.2,4900.9,4900.9,112.88,33.29,0,,4039.04,,,0,,,0,,,,
2007-11-26,4255.5,4353.3,4255.5,4332.2,0,,4604.39,4141.2,4900.9,4900.9,113.01,40.21,0,,4099.33,,,0,,,0,,,,
2007-11-27,4338.0,4363.35,4284.9,4355.95,0,,4585.84,4141.2,4888.35,4900.9,110.55,41.86,0,,4116.29,,,0,,,0,,,,
2007-11-28,4367.25,4393.0,4300.65,4312.4,0,,4568.37,4141.2,4836.2,4888.35,109.25,39.7,0,,4089.07,,,0,,,0,,,,
2007-11-29,4342.35,4400.55,4258.55,4284.7,0,,4548.43,4141.2,4836.2,4836.2,111.59,38.34,0,,4069.64,,,0,,,0,,,,
2007-11-30,4303.3,4452.4,4303.3,4431.15,0,,4532.66,4141.2,4769.0,4836.2,115.59,48.39,0,,4161.43,,,0,,,0,,,,
2007-12-03,4434.6,4562.4,4434.6,4539.0,0,,4520.82,4141.2,4769.0,4769.0,116.71,54.29,0,,4230.25,,,0,,,0,,,,
2007-12-04,4538.9,4558.0,4505.3,4530.55,0,,4511.61,4141.2,4716.95,4769.0,112.14,53.77,0,,4227.85,,,0,,,0,,,,
2007-12-05,4530.15,4550.4,4499.4,4527.65,0,,4502.29,4141.2,4633.75,4716.95,107.77,53.59,0,,4228.89,,,0,,,0,,,,
2007-12-06,4529.75,4594.55,4529.75,4555.8,0,,4495.59,4141.2,4594.55,4633.75,104.85,55.23,0,,4248.99,,,0,,,0,,,,
2007-12-07,4644.3,4723.45,4493.15,4711.45,0,,4493.76,4141.2,4723.45,4594.55,113.81,63.05,0,,4343.41,,,0,,,0,,,,
