Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2011-07-12,3795.9,3795.9,3795.9,3795.9,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-13,3837.31,3837.31,3837.31,3837.31,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-14,3868.91,3868.91,3868.91,3868.91,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-15,3868.91,3868.91,3868.91,3868.91,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-18,3831.68,3831.68,3831.68,3831.68,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-19,3854.3,3854.3,3854.3,3854.3,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-20,3845.38,3845.38,3845.38,3845.38,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-21,3824.44,3824.44,3824.44,3824.44,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-22,3824.44,3824.44,3824.44,3824.44,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-25,3824.44,3824.44,3824.44,3824.44,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-26,3824.44,3824.44,3824.44,3824.44,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-27,3824.44,3824.44,3824.44,3824.44,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-28,3880.4,3880.4,3880.4,3880.4,0,,,,,,,,0,,,,,0,,,0,,,,
2011-07-29,3793.06,3793.06,3793.06,3793.06,0,,,,,,15.76,,0,,,,,0,,,0,,,,
2011-08-01,3718.06,3718.06,3718.06,3718.06,0,,,3718.06,,,19.99,60.59,0,,3624.17,,,0,,,0,,,,
2011-08-02,3680.52,3680.52,3680.52,3680.52,0,,,3680.52,,,21.25,55.93,0,,3586.61,,,0,,,0,,,,
2011-08-03,3629.35,3629.35,3629.35,3629.35,0,,,3629.35,,,23.38,50.26,0,,3535.13,,,0,,,0,,,,
2011-08-04,3629.26,3629.26,3629.26,3629.26,0,,,3629.26,,,21.72,50.25,0,,3536.15,,,0,,,0,,,,
2011-08-05,3578.49,3578.49,3578.49,3578.49,0,,,3578.49,,,23.79,45.0,0,,3485.09,,,0,,,0,,,,
2011-08-08,3486.23,3486.23,3486.23,3486.23,0,,,3486.23,3880.4,,28.68,37.36,0,,3391.57,,,0,,,0,,,,
2011-08-09,3264.2,3264.2,3264.2,3264.2,0,,,3264.2,3880.4,3880.4,42.5,25.94,0,,3165.15,,,0,,,0,,,,
2011-08-10,3264.2,3264.2,3264.2,3264.2,0,,,3264.2,3880.4,3880.4,39.46,25.94,0,,3167.17,,,0,,,0,,,,
2011-08-11,3317.65,3317.65,3317.65,3317.65,0,,,3264.2,3880.4,3880.4,40.46,31.77,0,,3200.98,,,0,,,0,,,,
2011-08-12,3317.65,3317.65,3317.65,3317.65,0,,,3264.2,3880.4,3880.4,37.57,31.77,0,,3202.9,,,0,,,0,,,,
2011-08-16,3217.85,3217.85,3217.85,3217.85,0,,,3217.85,3880.4,3880.4,42.01,27.14,0,,3120.12,,,0,,,0,,,,
2011-08-17,3241.47,3241.47,3241.47,3241.47,0,,,3217.85,3880.4,3880.4,40.7,29.75,0,,3136.23,,,0,,,0,,,,
2011-08-18,3150.91,3150.91,3150.91,3150.91,0,,,3150.91,3880.4,3880.4,44.26,25.92,0,,3053.13,,,0,,,0,,,,
2011-08-19,3141.73,3141.73,3141.73,3141.73,0,,,3141.73,3880.4,3880.4,41.76,25.56,0,,3045.82,,,0,,,0,,,,
2011-08-22,3141.73,3141.73,3141.73,3141.73,0,,,3141.73,3880.4,3880.4,38.77,25.56,0,,3047.81,,,0,,,0,,,,
2011-08-23,3202.63,3202.63,3202.63,3202.63,0,,3589.33,3141.73,3880.4,3880.4,40.35,32.73,0,,3086.04,,,0,,,0,,,,
2011-08-24,3220.54,3220.54,3220.54,3220.54,0,,3570.15,3141.73,3880.4,3880.4,38.75,34.72,0,,3098.66,,,0,,,0,,,,
2011-08-25,3144.2,3144.2,3144.2,3144.2,0,,3547.05,3141.73,3880.4,3880.4,41.44,30.57,0,,3047.63,,,0,,,0,,,,
2011-08-26,3083.89,3083.89,3083.89,3083.89,0,,3520.88,3083.89,3793.06,3880.4,42.78,27.75,0,,2988.55,,,0,,,0,,,,
2011-08-29,2972.57,2972.57,2972.57,2972.57,0,,3491.0,2972.57,3718.06,3793.06,47.68,23.44,0,,2876.38,,,0,,,0,,,,
2011-08-30,3107.26,3107.26,3107.26,3107.26,0,,3466.86,2972.57,3680.52,3718.06,53.89,36.31,0,,2959.11,,,0,,,0,,,,
2011-09-02,3226.05,3226.05,3226.05,3226.05,0,,3445.92,2972.57,3629.35,3680.52,58.53,45.08,0,,3032.64,,,0,,,0,,,,
2011-09-05,3321.34,3321.34,3321.34,3321.34,0,,3428.45,2972.57,3629.26,3629.35,61.16,50.92,0,,3092.35,,,0,,,0,,,,
2011-09-06,3354.07,3354.07,3354.07,3354.07,0,,3412.77,2972.57,3578.49,3629.26,59.13,52.78,0,,3114.82,,,0,,,0,,,,
2011-09-07,3423.46,3423.46,3423.46,3423.46,0,,3399.4,2972.57,3486.23,3578.49,59.86,56.53,0,,3159.08,,,0,,,0,,,,
2011-09-08,3391.13,3391.13,3391.13,3391.13,0,,3384.96,2972.57,3423.46,3486.23,57.89,54.36,0,,3139.54,,,0,,,0,,,,
2011-09-09,3391.13,3391.13,3391.13,3391.13,0,,3370.52,2972.57,3423.46,3423.46,53.76,54.36,0,,3142.3,,,0,,,0,,,,
2011-09-12,3275.68,3275.68,3275.68,3275.68,0,,3352.22,2972.57,3423.46,3423.46,58.16,46.91,0,,3064.89,,,0,,,0,,,,
2011-09-13,3161.12,3161.12,3161.12,3161.12,0,,3328.25,2972.57,3423.46,3423.46,62.19,40.91,0,,2988.32,,,0,,,0,,,,
2011-09-14,3168.43,3168.43,3168.43,3168.43,0,,3307.43,2972.57,3423.46,3423.46,58.27,41.43,0,,2995.65,,,0,,,0,,,,
2011-09-15,3236.51,3236.51,3236.51,3236.51,0,,3291.38,2972.57,3423.46,3423.46,58.97,46.13,0,,3039.09,,,0,,,0,,,,
2011-09-16,3242.84,3242.84,3242.84,3242.84,0,,3276.79,2972.57,3423.46,3423.46,55.21,46.56,0,,3045.68,,,0,,,0,,,,
2011-09-19,3207.6,3207.6,3207.6,3207.6,0,,3262.73,2972.57,3423.46,3423.46,53.79,44.44,0,,3023.9,,,0,,,0,,,,
2011-09-20,3268.89,3268.89,3268.89,3268.89,0,,3250.71,2972.57,3423.46,3423.46,54.32,48.81,0,,3063.08,,,0,,,0,,,,
2011-09-21,3261.8,3261.8,3261.8,3261.8,0,,3240.16,3107.26,3423.46,3423.46,50.95,48.34,0,,3105.65,,,0,,,0,,,,
2011-09-22,3126.02,3126.02,3126.02,3126.02,0,,3228.15,3126.02,3423.46,3423.46,57.01,40.27,0,,3020.28,,,0,,,0,,,,
2011-09-23,3056.74,3056.74,3056.74,3056.74,0,,3221.24,3056.74,3423.46,3423.46,57.88,36.89,0,,2951.92,,,0,,,0,,,,
2011-09-26,2977.55,2977.55,2977.55,2977.55,0,,3211.68,2977.55,3423.46,3423.46,59.41,33.43,0,,2873.43,,,0,,,0,,,,
2011-09-27,3052.08,3052.08,3052.08,3052.08,0,,3202.83,2977.55,3423.46,3423.46,60.49,39.2,0,,2920.78,,,0,,,0,,,,
2011-09-28,2996.5,2996.5,2996.5,2996.5,0,,3192.12,2977.55,3423.46,3423.46,60.14,36.65,0,,2885.17,,,0,,,0,,,,
2011-09-29,3006.06,3006.06,3006.06,3006.06,0,,3185.06,2977.55,3423.46,3423.46,56.52,37.41,0,,2893.74,,,0,,,0,,,,
2011-09-30,2921.39,2921.39,2921.39,2921.39,0,,3174.4,2921.39,3423.46,3423.46,58.53,33.59,0,,2819.07,,,0,,,0,,,,
2011-10-03,2877.75,2877.75,2798.5,2804.7,0,,3162.85,2798.5,3423.46,3423.46,63.13,29.17,0,,2699.78,,,0,,,0,,,,
2011-10-04,2789.0,2835.4,2726.6,2760.45,0,,3150.15,2726.6,3423.46,3423.46,66.39,27.68,0,,2645.1,,,0,,,0,,,,
2011-10-05,2782.1,2808.3,2738.85,2745.3,0,,3136.93,2726.6,3391.13,3423.46,66.61,27.17,0,,2635.18,,,0,,,0,,,,
2011-10-07,2832.5,2895.8,2832.5,2889.55,0,,3126.5,2726.6,3391.13,3391.13,72.6,38.76,0,,2724.22,,,0,,,0,,,,
2011-10-10,2886.45,2951.9,2876.35,2943.7,0,,3117.27,2726.6,3275.68,3391.13,72.81,42.46,0,,2759.01,,,0,,,0,,,,
2011-10-11,2975.45,2999.2,2949.5,2972.85,0,,3111.56,2726.6,3268.89,3275.68,71.58,44.41,0,,2778.64,,,0,,,0,,,,
2011-10-12,2985.95,3046.05,2972.8,3037.75,0,,3110.02,2726.6,3268.89,3268.89,71.7,48.58,0,,2820.42,,,0,,,0,,,,
2011-10-13,3050.75,3051.0,2996.5,3013.95,0,,3111.4,2726.6,3268.89,3268.89,70.47,47.18,0,,2805.89,,,0,,,0,,,,
2011-10-14,2987.1,2998.3,2943.4,2987.9,0,,3107.42,2726.6,3268.89,3268.89,70.47,45.63,0,,2789.08,,,0,,,0,,,,
2011-10-17,3005.85,3011.1,2958.85,2983.75,0,,3099.34,2726.6,3268.89,3268.89,69.17,45.38,0,,2787.27,,,0,,,0,,,,
2011-10-18,2934.75,2948.2,2909.75,2941.1,0,,3086.67,2726.6,3268.89,3268.89,69.52,42.73,0,,2759.53,,,0,,,0,,,,
2011-10-19,2974.6,2997.15,2971.0,2988.7,0,,3074.49,2726.6,3261.8,3268.89,68.56,46.48,0,,2790.87,,,0,,,0,,,,
2011-10-20,2955.8,2978.6,2919.65,2972.05,0,,3059.44,2726.6,3126.02,3261.8,68.59,45.36,0,,2780.11,,,0,,,0,,,,
2011-10-21,2984.4,2991.25,2924.15,2932.85,0,,3044.16,2726.6,3056.74,3126.02,68.48,42.75,0,,2754.9,,,0,,,0,,,,
2011-10-24,2976.05,2995.65,2925.95,2942.95,0,,3029.23,2726.6,3052.08,3056.74,68.57,43.65,0,,2761.36,,,0,,,0,,,,
2011-10-25,2962.0,3014.6,2938.85,3004.8,0,,3020.2,2726.6,3052.08,3052.08,69.08,48.95,0,,2800.91,,,0,,,0,,,,
2011-10-28,3126.0,3256.45,3126.0,3220.05,0,,3022.16,2738.85,3256.45,3052.08,82.12,62.24,0,,2935.13,,,0,,,0,,,,
2011-10-31,3214.95,3214.95,3148.9,3157.15,0,,3021.78,2832.5,3256.45,3256.45,81.34,57.53,0,,2926.3,,,0,,,0,,,,
2011-11-01,3130.0,3132.4,3082.5,3112.65,0,,3017.66,2876.35,3256.45,3256.45,80.86,54.39,0,,2912.53,,,0,,,0,,,,
2011-11-02,3070.35,3129.35,3059.75,3105.2,0,,3013.07,2909.75,3256.45,3256.45,80.06,53.86,0,,2919.4,,,0,,,0,,,,
2011-11-03,3095.0,3107.05,3052.85,3096.35,0,,3009.36,2909.75,3256.45,3256.45,78.21,53.2,0,,2914.92,,,0,,,0,,,,
2011-11-04,3135.7,3172.45,3134.0,3145.85,0,,3005.26,2909.75,3256.45,3256.45,78.06,56.43,0,,2946.95,,,0,,,0,,,,
2011-11-08,3165.55,3172.5,3127.7,3148.75,0,,3001.49,2909.75,3256.45,3256.45,75.68,56.62,0,,2950.4,,,0,,,0,,,,
2011-11-09,3160.1,3174.8,3052.2,3062.8,0,,2999.38,2909.75,3256.45,3256.45,79.04,49.73,0,,2892.73,,,0,,,0,,,,
2011-11-11,3025.55,3025.55,2967.6,2989.7,0,,2997.15,2909.75,3256.45,3256.45,80.19,44.75,0,,2844.81,,,0,,,0,,,,
2011-11-14,3019.5,3028.15,2914.25,2922.55,0,,2995.31,2914.25,3256.45,3256.45,82.6,40.71,0,,2801.4,,,0,,,0,,,,
2011-11-15,2920.45,2944.15,2852.4,2866.4,0,,2989.12,2852.4,3256.45,3256.45,83.25,37.66,0,,2744.13,,,0,,,0,,,,
2011-11-16,2861.6,2910.0,2809.2,2868.45,0,,2984.86,2809.2,3256.45,3256.45,84.51,37.84,0,,2730.21,,,0,,,0,,,,
2011-11-17,2871.4,2879.5,2793.05,2806.3,0,,2978.2,2793.05,3256.45,3256.45,84.64,34.52,0,,2684.65,,,0,,,0,,,,
2011-11-18,2784.8,2784.8,2728.5,2768.9,0,,2973.12,2728.5,3256.45,3256.45,84.16,32.66,0,,2639.34,,,0,,,0,,,,
2011-11-21,2748.05,2749.15,2661.5,2671.85,0,,2968.69,2661.5,3256.45,3256.45,85.82,28.4,0,,2553.3,,,0,,,0,,,,
2011-11-22,2717.05,2746.85,2679.75,2711.35,0,,2967.05,2661.5,3256.45,3256.45,85.04,32.27,0,,2579.29,,,0,,,0,,,,
2011-11-23,2691.55,2691.55,2621.25,2659.0,0,,2964.17,2621.25,3256.45,3256.45,85.4,29.96,0,,2531.87,,,0,,,0,,,,
2011-11-24,2656.65,2675.1,2599.3,2667.4,0,,2956.77,2599.3,3256.45,3256.45,84.72,30.82,0,,2530.43,,,0,,,0,,,,
2011-11-25,2648.8,2662.15,2606.4,2615.2,0,,2945.82,2599.3,3256.45,3256.45,83.02,28.48,0,,2497.89,,,0,,,0,,,,
2011-11-28,2653.1,2754.35,2653.1,2745.2,0,,2938.23,2599.3,3256.45,3256.45,87.03,40.56,0,,2579.07,,,0,,,0,,,,
2011-11-29,2761.8,2764.8,2696.9,2706.8,0,,2927.2,2599.3,3214.95,3256.45,85.67,38.49,0,,2555.21,,,0,,,0,,,,
2011-11-30,2689.55,2722.45,2663.8,2710.3,0,,2917.08,2599.3,3174.8,3214.95,83.74,38.8,0,,2558.75,,,0,,,0,,,,
2011-12-01,2814.2,2867.65,2798.9,2818.9,0,,2911.44,2599.3,3174.8,3174.8,88.99,47.53,0,,2625.29,,,0,,,0,,,,
2011-12-02,2816.9,2907.55,2790.65,2894.05,0,,2908.45,2599.3,3174.8,3174.8,90.99,52.57,0,,2672.44,,,0,,,0,,,,
2011-12-05,2884.65,2894.1,2850.75,2865.3,0,,2905.93,2599.3,3174.8,3174.8,87.59,50.57,0,,2656.16,,,0,,,0,,,,
2011-12-07,2871.95,2900.9,2862.0,2877.3,0,,2902.21,2599.3,3174.8,3174.8,84.11,51.4,0,,2666.22,,,0,,,0,,,,
2011-12-08,2859.8,2862.7,2776.3,2786.85,0,,2896.04,2599.3,3174.8,3174.8,85.31,45.22,0,,2607.08,,,0,,,0,,,,
