Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2011-01-31,4633.3,4700.6,4593.9,4689.8,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-01,4705.8,4723.95,4598.1,4629.25,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-02,4643.65,4672.3,4603.25,4630.2,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-03,4618.95,4662.35,4605.4,4640.9,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-04,4637.85,4679.55,4557.1,4573.25,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-07,4550.4,4558.6,4490.0,4500.2,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-08,4541.7,4541.7,4411.45,4427.6,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-09,4422.9,4466.6,4354.7,4373.25,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-10,4358.45,4419.5,4356.8,4393.4,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-11,4387.8,4437.45,4367.85,4428.7,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-14,4436.65,4525.25,4432.35,4515.2,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-15,4520.95,4553.25,4449.55,4498.35,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-16,4485.7,4552.2,4433.25,4451.35,0,,,,,,,,0,,,,,0,,,0,,,,
2011-02-17,4458.75,4500.85,4437.6,4477.45,0,,,,,,98.07,,0,,,,,0,,,0,,,,
2011-02-18,4479.85,4518.1,4456.95,4463.25,0,,,4354.7,,,95.44,19.7,0,,4266.74,,,0,,,0,,,,
2011-02-21,4460.6,4507.4,4427.0,4497.3,0,,,4354.7,,,94.36,23.89,0,,4289.42,,,0,,,0,,,,
2011-02-22,4489.45,4489.45,4432.65,4458.95,0,,,4354.7,,,92.24,22.47,0,,4266.1,,,0,,,0,,,,
2011-02-23,4459.85,4472.7,4418.95,4426.4,0,,,4354.7,,,89.49,21.31,0,,4246.93,,,0,,,0,,,,
2011-02-24,4412.9,4422.9,4274.25,4300.25,0,,,4274.25,,,93.97,17.53,0,,4135.77,,,0,,,0,,,,
2011-02-25,4337.3,4368.8,4300.8,4328.1,0,,,4274.25,4723.95,,92.15,20.87,0,,4154.94,,,0,,,0,,,,
2011-02-28,4338.45,4404.75,4317.8,4331.05,0,,,4274.25,4723.95,4723.95,91.78,21.23,0,,4157.09,,,0,,,0,,,,
2011-03-01,4334.6,4481.55,4334.6,4473.65,0,,,4274.25,4679.55,4723.95,95.97,36.44,0,,4246.27,,,0,,,0,,,,
2011-03-03,4458.9,4485.55,4425.0,4456.4,0,,,4274.25,4679.55,4679.55,93.44,35.54,0,,4236.83,,,0,,,0,,,,
2011-03-04,4481.85,4499.7,4438.1,4446.75,0,,,4274.25,4679.55,4679.55,91.17,35.03,0,,4232.12,,,0,,,0,,,,
2011-03-07,4433.65,4438.4,4375.35,4427.35,0,,,4274.25,4558.6,4679.55,89.76,33.95,0,,4220.55,,,0,,,0,,,,
2011-03-08,4440.95,4472.25,4432.45,4447.2,0,,,4274.25,4553.25,4558.6,86.55,36.11,0,,4235.49,,,0,,,0,,,,
2011-03-09,4451.75,4466.85,4394.3,4425.05,0,,,4274.25,4553.25,4553.25,85.55,34.75,0,,4221.87,,,0,,,0,,,,
2011-03-10,4424.2,4424.2,4386.25,4395.65,0,,,4274.25,4553.25,4553.25,82.21,32.97,0,,4205.14,,,0,,,0,,,,
2011-03-11,4384.9,4429.35,4345.2,4386.85,0,,,4274.25,4553.25,4553.25,82.35,32.44,0,,4199.37,,,0,,,0,,,,
2011-03-14,4381.0,4428.75,4364.7,4419.85,3765000,,4463.77,4274.25,4553.25,4553.25,81.04,36.59,0,,4221.52,,,0,,,0,,,,
2011-03-15,4379.95,4401.1,4307.3,4346.2,6075000,,4452.31,4274.25,4553.25,4553.25,83.29,31.88,0,,4172.52,,,0,,,0,,,,
2011-03-16,4359.45,4426.0,4359.45,4408.95,4313000,,4444.97,4274.25,4552.2,4553.25,83.04,39.07,0,,4213.16,,,0,,,0,,,,
2011-03-17,4377.85,4417.95,4363.65,4385.5,4368000,,4436.81,4274.25,4518.1,4552.2,80.99,37.48,0,,4199.4,,,0,,,0,,,,
2011-03-18,4405.8,4417.05,4331.15,4340.0,4930000,,4426.78,4300.8,4518.1,4518.1,81.34,34.54,0,,4178.67,,,0,,,0,,,,
2011-03-21,4352.4,4368.05,4336.35,4344.8,6084000,,4419.17,4307.3,4507.4,4518.1,77.8,35.12,0,,4186.3,,,0,,,0,,,,
2011-03-22,4347.2,4397.65,4347.2,4389.75,6560000,,4415.48,4307.3,4499.7,4507.4,76.01,40.43,0,,4216.48,,,0,,,0,,,,
2011-03-23,4396.9,4473.85,4393.55,4462.3,4686000,,4416.64,4307.3,4499.7,4499.7,76.59,47.85,0,,4262.89,,,0,,,0,,,,
2011-03-24,4469.25,4495.5,4454.45,4463.05,3923000,,4419.63,4307.3,4499.7,4499.7,74.05,47.92,0,,4265.07,,,0,,,0,,,,
2011-03-25,4501.55,4501.55,4468.55,4480.4,5661000,,4422.54,4307.3,4501.55,4499.7,71.51,49.65,0,,4277.95,,,0,,,0,,,,
2011-03-28,4477.6,4500.3,4426.85,4441.45,7870000,,4422.96,4307.3,4501.55,4501.55,71.65,45.95,0,,4252.73,,,0,,,0,,,,
2011-03-29,4433.4,4481.45,4422.35,4469.3,6425000,,4421.43,4307.3,4501.55,4501.55,70.76,48.89,0,,4271.29,,,0,,,0,,,,
2011-03-30,4491.3,4568.0,4490.75,4561.0,6990000,,4423.52,4307.3,4568.0,4501.55,72.75,57.14,0,,4329.11,,,0,,,0,,,,
2011-03-31,4569.25,4591.85,4503.65,4535.85,12172000,,4426.34,4307.3,4591.85,4568.0,73.86,54.54,0,,4312.15,,,0,,,0,,,,
2011-04-01,4541.5,4564.35,4524.95,4550.95,5868000,,4428.79,4307.3,4591.85,4591.85,71.39,55.84,0,,4323.53,,,0,,,0,,,,
2011-04-04,4573.45,4580.55,4552.15,4570.45,5086000,,4432.36,4307.3,4591.85,4591.85,68.41,57.53,0,,4338.1,,,0,,,0,,,,
2011-04-05,4583.5,4602.65,4558.0,4590.8,4311000,,4435.48,4331.15,4602.65,4591.85,66.71,59.28,0,,4360.31,,,0,,,0,,,,
2011-04-06,4588.75,4606.6,4567.4,4577.1,5392000,,4439.41,4331.15,4606.6,4602.65,64.75,57.56,0,,4352.78,,,0,,,0,,,,
2011-04-07,4581.8,4600.05,4575.8,4583.6,6075000,,4444.65,4331.15,4606.6,4606.6,61.85,58.18,0,,4358.9,,,0,,,0,,,,
2011-04-08,4592.2,4611.7,4571.2,4587.95,5238000,,4454.24,4336.35,4611.7,4606.6,60.33,58.62,0,,4364.46,,,0,,,0,,,,
2011-04-11,4608.25,4618.25,4575.35,4588.2,5284000,,4462.91,4347.2,4618.25,4611.7,59.08,58.64,0,,4369.07,,,0,,,0,,,,
2011-04-13,4589.75,4626.55,4555.25,4619.0,5041000,,4472.51,4393.55,4626.55,4618.25,59.96,61.9,0,,4403.8,,,0,,,0,,,,
2011-04-15,4621.15,4623.0,4577.7,4593.8,2723000,,4476.52,4422.35,4626.55,4626.55,58.91,57.88,0,,4397.84,,,0,,,0,,,,
2011-04-18,4597.85,4628.8,4540.75,4563.95,4328000,,4480.1,4422.35,4628.8,4626.55,60.99,53.46,0,,4377.2,,,0,,,0,,,,
2011-04-19,4555.25,4567.25,4526.6,4546.5,3166000,,4483.43,4422.35,4628.8,4628.8,59.54,51.0,0,,4366.92,,,0,,,0,,,,
2011-04-20,4560.65,4624.9,4548.2,4619.0,3515000,,4489.81,4422.35,4628.8,4628.8,60.89,59.35,0,,4412.78,,,0,,,0,,,,
2011-04-21,4622.95,4643.1,4598.9,4610.3,3111000,,4495.25,4490.75,4643.1,4628.8,59.69,58.07,0,,4430.76,,,0,,,0,,,,
2011-04-25,4613.2,4632.8,4603.9,4619.55,2944000,,4501.73,4503.65,4643.1,4643.1,57.49,59.08,0,,4442.5,,,0,,,0,,,,
2011-04-26,4622.6,4654.3,4567.3,4640.95,3491000,,4509.91,4524.95,4654.3,4643.1,59.6,61.4,0,,4462.0,,,0,,,0,,,,
2011-04-27,4640.2,4663.45,4631.05,4654.9,3436000,,4518.85,4526.6,4663.45,4654.3,57.66,62.88,0,,4472.84,,,0,,,0,,,,
2011-04-28,4649.6,4674.0,4624.35,4647.55,7940000,,4526.44,4526.6,4674.0,4663.45,57.09,61.54,0,,4468.48,,,0,,,0,,,,
2011-04-29,4662.7,4701.45,4656.75,4685.55,6370000,,4537.75,4526.6,4701.45,4674.0,56.86,65.61,0,,4493.14,,,0,,,0,,,,
