Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2006-01-02,49.94,49.96,49.1,49.32,522862,,,,,,,,0,,,,,0,,,0,,,,
2006-01-03,49.32,49.94,49.1,49.81,665920,,,,,,,,0,,,,,0,,,0,,,,
2006-01-04,49.94,51.45,49.87,51.14,4677666,,,,,,,,0,,,,,0,,,0,,,,
2006-01-05,51.1,52.03,50.25,50.67,3172017,,,,,,,,0,,,,,0,,,0,,,,
2006-01-06,50.87,51.21,50.47,50.76,1085485,,,,,,,,0,,,,,0,,,0,,,,
2006-01-09,52.43,52.43,50.56,50.76,6709496,,,,,,,,0,,,,,0,,,0,,,,
2006-01-10,50.87,52.1,50.65,51.5,3637624,,,,,,,,0,,,,,0,,,0,,,,
2006-01-12,52.03,52.34,50.79,51.74,4185153,,,,,,,,0,,,,,0,,,0,,,,
2006-01-13,51.94,52.21,51.14,51.36,3293721,,,,,,,,0,,,,,0,,,0,,,,
2006-01-16,51.54,51.61,50.32,50.52,1356850,,,,,,,,0,,,,,0,,,0,,,,
2006-01-17,50.76,50.94,49.1,49.41,3988780,,,,,,,,0,,,,,0,,,0,,,,
2006-01-18,49.32,49.76,48.54,48.96,2886445,,,,,,,,0,,,,,0,,,0,,,,
2006-01-19,48.96,50.43,48.96,50.21,1563042,,,,,,,,0,,,,,0,,,0,,,,
2006-01-20,50.3,50.74,49.85,49.96,1540024,,,,,,1.16,,0,,,,,0,,,0,,,,
2006-01-23,49.87,50.3,49.67,49.76,1015195,,,48.54,,,1.12,64.61,0,,47.53,,,0,,,0,,,,
2006-01-24,50.3,50.5,49.76,50.25,2481194,,,48.54,,,1.1,66.94,0,,47.86,,,0,,,0,,,,
2006-01-25,50.3,50.61,49.3,49.74,1897899,,,48.54,,,1.11,62.34,0,,47.52,,,0,,,0,,,,
2006-01-27,50.21,51.43,50.14,50.65,5665734,,,48.54,,,1.15,66.73,0,,48.08,,,0,,,0,,,,
2006-01-30,51.54,51.54,50.01,50.19,2396570,,,48.54,,,1.18,62.75,0,,47.77,,,0,,,0,,,,
2006-01-31,50.7,51.94,50.43,50.87,13209134,,,48.54,52.43,,1.22,65.98,0,,48.18,,,0,,,0,,,,
2006-02-01,51.23,52.21,50.94,51.5,4431958,,,48.54,52.43,52.43,1.23,68.69,0,,48.58,,,0,,,0,,,,
2006-02-02,51.19,51.83,50.92,51.14,1040521,,,48.54,52.43,52.43,1.21,65.48,0,,48.36,,,0,,,0,,,,
2006-02-03,51.05,52.74,51.05,52.36,4787193,,,48.54,52.74,52.43,1.24,70.51,0,,49.13,,,0,,,0,,,,
2006-02-06,52.43,53.38,52.43,52.61,3867030,,,48.54,53.38,52.74,1.23,71.43,0,,49.3,,,0,,,0,,,,
2006-02-07,52.87,53.41,52.83,53.27,2730688,,,48.54,53.41,53.38,1.19,73.76,0,,49.74,,,0,,,0,,,,
2006-02-08,53.27,54.54,52.87,54.32,5610171,,,48.54,54.54,53.41,1.23,76.97,0,,50.4,,,0,,,0,,,,
2006-02-10,54.32,54.61,53.61,53.85,3879676,,,48.96,54.61,54.54,1.21,72.68,0,,50.25,,,0,,,0,,,,
2006-02-13,54.69,54.69,52.02,54.19,2563257,,,49.3,54.69,54.61,1.32,73.82,0,,50.51,,,0,,,0,,,,
2006-02-14,54.1,54.26,53.31,53.54,3149287,,,49.3,54.69,54.69,1.29,68.0,0,,50.11,,,0,,,0,,,,
2006-02-15,53.54,56.38,53.54,56.06,12139212,,51.35,49.3,56.38,54.69,1.4,75.92,0,,51.66,,,0,,,0,,,,
2006-02-16,53.54,56.9,53.54,56.25,4806898,,51.58,49.3,56.9,56.38,1.54,76.4,0,,51.69,,,0,,,0,,,,
2006-02-17,56.36,56.77,54.71,55.09,4818618,,51.75,50.01,56.9,56.9,1.58,67.63,0,,51.15,,,0,,,0,,,,
2006-02-20,55.12,55.66,54.66,55.48,3287932,,51.9,50.01,56.9,56.9,1.54,68.92,0,,51.43,,,0,,,0,,,,
2006-02-21,55.57,56.31,55.36,55.52,2677657,,52.06,50.43,56.9,56.9,1.49,69.06,0,,51.62,,,0,,,0,,,,
2006-02-22,55.57,59.14,55.46,58.57,6971108,,52.32,50.92,59.14,56.9,1.65,77.25,0,,53.65,,,0,,,0,,,,
2006-02-23,58.59,60.9,58.01,59.27,13658602,,52.6,50.92,60.9,59.14,1.74,78.65,0,,54.04,,,0,,,0,,,,
2006-02-24,59.18,60.67,59.18,59.95,4217091,,52.89,51.05,60.9,60.9,1.72,79.94,0,,54.54,,,0,,,0,,,,
2006-02-27,60.31,60.56,59.72,60.38,4846699,,53.17,52.02,60.9,60.9,1.66,80.73,0,,55.18,,,0,,,0,,,,
2006-02-28,60.56,60.99,58.73,59.25,6984183,,53.44,52.02,60.99,60.9,1.7,72.61,0,,54.42,,,0,,,0,,,,
2006-03-01,59.86,60.31,58.98,60.09,4073925,,53.76,52.02,60.99,60.99,1.67,74.66,0,,54.98,,,0,,,0,,,,
2006-03-02,60.31,61.33,59.3,59.79,6956978,,54.1,52.02,61.33,60.99,1.7,72.58,0,,54.77,,,0,,,0,,,,
2006-03-03,59.63,60.38,59.02,59.23,3389964,,54.44,52.02,61.33,61.33,1.68,68.73,0,,54.43,,,0,,,0,,,,
2006-03-06,59.63,61.96,59.63,61.49,8753725,,54.82,53.31,61.96,61.33,1.75,74.58,0,,56.26,,,0,,,0,,,,
2006-03-07,61.67,63.16,61.67,62.34,8789065,,55.23,53.54,63.16,61.96,1.75,76.38,0,,56.89,,,0,,,0,,,,
2006-03-08,62.07,62.59,60.11,60.58,7486602,,55.59,53.54,63.16,63.16,1.8,66.0,0,,55.72,,,0,,,0,,,,
2006-03-09,60.76,61.67,60.09,61.35,2590677,,55.96,54.66,63.16,63.16,1.78,68.04,0,,56.6,,,0,,,0,,,,
2006-03-10,61.8,62.5,61.49,61.87,2657442,,56.37,54.66,63.16,63.16,1.74,69.38,0,,56.97,,,0,,,0,,,,
2006-03-13,62.3,64.15,61.92,62.98,5114572,,56.78,55.36,64.15,63.16,1.78,72.08,0,,57.89,,,0,,,0,,,,
2006-03-14,63.29,63.81,61.89,62.3,3052716,,57.18,55.46,64.15,64.15,1.79,68.12,0,,57.48,,,0,,,0,,,,
2006-03-16,63.25,63.25,61.06,61.42,5191208,,57.53,58.01,64.15,64.15,1.82,63.29,0,,57.74,,,0,,,0,,,,
2006-03-17,61.03,62.75,61.03,62.01,2741082,,57.89,58.73,64.15,64.15,1.81,65.08,0,,58.37,,,0,,,0,,,,
2006-03-20,62.34,62.75,61.96,62.21,3491366,,58.25,58.73,64.15,64.15,1.74,65.69,0,,58.55,,,0,,,0,,,,
2006-03-21,62.46,63.61,62.23,62.41,4907133,,58.59,58.73,64.15,64.15,1.71,66.32,0,,58.69,,,0,,,0,,,,
2006-03-22,62.34,62.48,61.6,61.89,5786082,,58.9,58.98,64.15,64.15,1.65,63.06,0,,58.48,,,0,,,0,,,,
2006-03-23,62.34,62.34,60.94,61.33,6070077,,59.17,59.02,64.15,64.15,1.63,59.66,0,,58.14,,,0,,,0,,,,
2006-03-24,61.67,62.01,61.01,61.24,4524266,,59.4,59.02,64.15,64.15,1.59,59.1,0,,58.11,,,0,,,0,,,,
2006-03-27,62.05,62.3,61.44,61.83,3314450,,59.66,59.63,64.15,64.15,1.55,61.61,0,,58.72,,,0,,,0,,,,
2006-03-28,62.25,62.25,61.12,61.35,3482277,,59.9,60.09,64.15,64.15,1.52,58.47,0,,58.59,,,0,,,0,,,,
2006-03-29,61.44,61.67,60.85,61.1,1860073,,60.15,60.09,64.15,64.15,1.47,56.84,0,,58.46,,,0,,,0,,,,
2006-03-30,61.22,61.64,59.86,60.11,4624676,,60.29,59.86,64.15,64.15,1.49,50.82,0,,57.73,,,0,,,0,,,,
2006-03-31,60.36,61.37,60.31,60.58,5407134,,60.43,59.86,64.15,64.15,1.48,53.35,0,,58.04,,,0,,,0,,,,
2006-04-03,61.37,62.01,60.99,61.17,4955148,,60.64,59.86,64.15,64.15,1.47,56.38,0,,58.43,,,0,,,0,,,,
