Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct
NTPC.NS,1,8/11/2006,9/11/2006,56.16,55.78,21,-0.68
NTPC.NS,2,9/13/2006,9/20/2006,58.78,56.00,6,-4.73
NTPC.NS,3,10/3/2006,12/12/2006,60.58,63.20,49,4.32
NTPC.NS,4,3/30/2007,4/17/2007,69.45,67.82,12,-2.35
NTPC.NS,5,5/25/2007,6/8/2007,75.67,70.29,11,-7.11
NTPC.NS,6,7/24/2007,8/17/2007,75.65,74.25,18,-1.85
NTPC.NS,7,9/3/2007,10/9/2007,86.09,93.16,26,8.21
NTPC.NS,8,10/16/2007,10/17/2007,107.53,95.29,2,-11.38
NTPC.NS,9,11/12/2007,11/21/2007,117.73,112.30,8,-4.61
NTPC.NS,10,1/1/2008,1/16/2008,119.58,117.29,12,-1.91
NTPC.NS,11,12/16/2008,1/9/2009,82.59,79.15,16,-4.16
NTPC.NS,12,1/27/2009,2/18/2009,89.89,82.22,17,-8.54
NTPC.NS,13,4/8/2009,6/18/2009,94.49,98.33,49,4.07
NTPC.NS,14,10/15/2009,11/3/2009,104.52,98.97,12,-5.31
NTPC.NS,15,12/23/2009,1/22/2010,110.71,106.44,20,-3.86
NTPC.NS,16,4/5/2010,4/6/2010,102.19,101.98,2,-0.20
NTPC.NS,17,9/9/2010,10/14/2010,99.49,101.18,25,1.70
NTPC.NS,18,12/30/2010,1/3/2011,99.29,97.39,3,-1.91
NTPC.NS,19,3/31/2011,4/1/2011,96.38,94.65,2,-1.80
NTPC.NS,20,6/24/2011,6/27/2011,90.92,90.52,2,-0.45
NTPC.NS,21,6/30/2011,7/25/2011,93.29,90.68,18,-2.80
NTPC.NS,22,10/11/2011,10/12/2011,88.47,88.30,2,-0.20
NTPC.NS,23,1/19/2012,3/6/2012,85.99,89.12,32,3.64
NTPC.NS,24,8/2/2012,9/18/2012,83.7,84.78,32,1.29
NTPC.NS,25,1/18/2013,1/21/2013,84.47,83.25,2,-1.45
NTPC.NS,26,4/25/2013,4/26/2013,81.75,80.89,2,-1.05
NTPC.NS,27,5/2/2013,5/13/2013,84.38,80.69,8,-4.37
NTPC.NS,28,9/16/2013,9/17/2013,76.45,76.26,2,-0.25
NTPC.NS,29,9/19/2013,9/23/2013,78.67,76.31,3,-3.00
NTPC.NS,30,11/6/2013,12/3/2013,81.61,77.69,19,-4.80
NTPC.NS,31,5/16/2014,7/9/2014,72.65,83.24,39,14.58
NTPC.NS,32,10/21/2014,11/14/2014,82.48,78.59,15,-4.71
NTPC.NS,33,2/26/2015,3/20/2015,86.18,83.03,16,-3.65
