Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2006-01-02,57.17,57.87,56.35,57.59,7484517,,,,,,,,0,,,,,0,,,0,,,,
2006-01-03,57.55,58.71,56.65,58.51,7469487,,,,,,,,0,,,,,0,,,0,,,,
2006-01-04,58.42,58.75,56.8,57.3,7433424,,,,,,,,0,,,,,0,,,0,,,,
2006-01-05,57.93,57.93,56.78,57.02,9862749,,,,,,,,0,,,,,0,,,0,,,,
2006-01-06,57.36,58.38,56.88,58.14,12618468,,,,,,,,0,,,,,0,,,0,,,,
2006-01-09,57.99,59.44,57.55,58.95,13599828,,,,,,,,0,,,,,0,,,0,,,,
2006-01-10,59.15,59.15,57.99,58.39,9504657,,,,,,,,0,,,,,0,,,0,,,,
2006-01-12,57.99,58.18,57.02,57.4,6731694,,,,,,,,0,,,,,0,,,0,,,,
2006-01-13,57.43,59.39,57.07,58.81,11871216,,,,,,,,0,,,,,0,,,0,,,,
2006-01-16,58.26,59.44,57.99,59.14,6379263,,,,,,,,0,,,,,0,,,0,,,,
2006-01-17,59.14,59.73,58.38,59.13,8243586,,,,,,,,0,,,,,0,,,0,,,,
2006-01-18,58.91,59.18,57.02,57.73,7873695,,,,,,,,0,,,,,0,,,0,,,,
2006-01-19,57.89,58.6,57.56,58.07,5894019,,,,,,,,0,,,,,0,,,0,,,,
2006-01-20,58.6,61.66,58.33,60.2,14088213,,,,,,1.71,,0,,,,,0,,,0,,,,
2006-01-23,60.4,61.37,59.68,60.57,12833613,,,56.35,,,1.71,78.44,0,,56.71,,,0,,,0,,,,
2006-01-24,60.89,61.12,59.92,60.32,6785235,,,56.65,,,1.67,76.76,0,,56.67,,,0,,,0,,,,
2006-01-25,60.41,62.72,50.74,61.73,15636996,,,50.74,,,2.41,79.44,0,,55.12,,,0,,,0,,,,
2006-01-27,61.61,62.12,59.78,61.16,11666169,,,50.74,,,2.4,75.64,0,,54.76,,,0,,,0,,,,
2006-01-30,62.1,62.1,59.53,59.76,12102462,,,50.74,,,2.42,67.16,0,,53.85,,,0,,,0,,,,
