Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct,
ONGC.NS,1,8/16/2006,8/21/2006,60.01,57.56,4,-4.09,
ONGC.NS,2,10/30/2006,12/12/2006,59.35,60.7,32,2.28,
ONGC.NS,3,12/27/2006,2/12/2007,65.77,65.19,31,-0.88,
ONGC.NS,4,3/29/2007,4/2/2007,65.79,62.01,3,-5.74,
ONGC.NS,5,4/16/2007,5/10/2007,67.7,66.57,17,-1.67,
ONGC.NS,6,7/26/2007,8/1/2007,71.4,66.57,5,-6.76,
ONGC.NS,7,9/19/2007,10/17/2007,69.03,79.5,20,15.17,
ONGC.NS,8,10/29/2007,11/12/2007,94.4,89.29,10,-5.42,
ONGC.NS,9,1/2/2008,1/18/2008,98.35,93.54,13,-4.89,
ONGC.NS,10,3/25/2008,3/26/2008,83.23,82.27,2,-1.15,
ONGC.NS,11,8/11/2008,8/22/2008,85.66,77.08,9,-10.01,
ONGC.NS,12,4/2/2009,5/15/2009,70.19,66.09,27,-5.85,
ONGC.NS,13,5/18/2009,6/18/2009,76.31,83.32,24,9.18,
ONGC.NS,14,7/31/2009,9/25/2009,93.77,90.37,40,-3.63,
ONGC.NS,15,10/12/2009,11/3/2009,101.62,91.41,15,-10.05,
ONGC.NS,16,1/5/2010,1/20/2010,100.03,96.1,12,-3.93,
ONGC.NS,17,5/31/2010,8/6/2010,96.67,100.19,50,3.64,
ONGC.NS,18,8/27/2010,10/5/2010,109.13,113.95,27,4.41,
ONGC.NS,19,4/27/2011,4/29/2011,106.85,104.6,3,-2.11,
ONGC.NS,20,10/28/2011,10/31/2011,97.99,95.32,2,-2.72,
ONGC.NS,21,1/18/2012,1/27/2012,94.55,92.39,7,-2.28,
ONGC.NS,22,2/7/2012,3/16/2012,100.89,97.08,27,-3.78,
ONGC.NS,23,6/13/2012,6/18/2012,95.23,93.37,4,-1.95,
ONGC.NS,24,6/21/2012,8/31/2012,97.54,96.71,50,-0.85,
ONGC.NS,25,9/21/2012,10/29/2012,105.12,97.78,24,-6.99,
ONGC.NS,26,12/31/2012,1/1/2013,97.53,96.81,2,-0.73,
ONGC.NS,27,1/2/2013,2/11/2013,99.93,112.37,29,12.45,
ONGC.NS,28,4/16/2013,5/22/2013,122.42,117.71,24,-3.85,
ONGC.NS,29,12/9/2013,12/11/2013,112.72,108.21,3,-4,
ONGC.NS,30,2/28/2014,6/13/2014,109.45,155.86,71,42.4,
ONGC.NS,31,8/18/2014,9/15/2014,164.17,160.71,20,-2.11,
ONGC.NS,32,7/1/2016,11/4/2016,90.22,109.87,84,21.78,
ONGC.NS,33,11/30/2016,12/26/2016,119.36,118.97,19,-0.33,
ONGC.NS,34,5/2/2017,5/4/2017,120.6,118.16,3,-2.02,
ONGC.NS,35,10/24/2017,11/15/2017,110.85,115.88,17,4.53,
ONGC.NS,36,12/20/2017,2/1/2018,120.33,125.91,30,4.64,
ONGC.NS,37,5/10/2018,5/16/2018,121.98,118.79,5,-2.61,
ONGC.NS,38,3/5/2019,3/8/2019,104.95,101.37,4,-3.41,
ONGC.NS,39,4/23/2019,6/10/2019,111.57,112.32,32,0.67,
ONGC.NS,40,11/23/2020,11/24/2020,56.34,56.19,2,-0.27,
ONGC.NS,41,11/25/2020,12/21/2020,59.51,65.94,18,10.8,
ONGC.NS,42,2/16/2021,3/18/2021,76.41,80.58,22,5.46,
ONGC.NS,43,5/11/2021,7/15/2021,88.47,87.33,47,-1.29,
ONGC.NS,44,8/30/2021,10/28/2021,90.01,115.17,42,27.95,
ONGC.NS,45,1/7/2022,2/15/2022,123.91,127.73,27,3.08,
ONGC.NS,46,3/7/2022,3/10/2022,149.06,133.39,4,-10.51,
ONGC.NS,47,11/15/2022,12/23/2022,116.2,119.46,29,2.8,
ONGC.NS,48,1/19/2023,1/30/2023,130.07,123.96,7,-4.69,
ONGC.NS,49,2/16/2023,3/28/2023,133.63,129.81,28,-2.86,
ONGC.NS,50,5/2/2023,5/29/2023,144.52,139.46,20,-3.5,
ONGC.NS,51,7/3/2023,10/5/2023,143.33,160.19,66,11.76,
ONGC.NS,52,11/3/2023,3/13/2024,167.65,241.95,88,44.32,
ONGC.NS,53,4/15/2024,5/9/2024,258.04,247.22,17,-4.19,
ONGC.NS,54,7/5/2024,8/5/2024,265.74,287.36,21,8.14,
ONGC.NS,55,6/16/2025,6/25/2025,249.34,236.29,8,-5.23,
ONGC.NS,56,10/1/2025,12/8/2025,237.23,237.99,46,0.32,
ONGC.NS,57,1/14/2026,2/2/2026,248.23,250.47,13,0.9,
,,,,,,1306,100.31,Sum
,,,,,,22.9122807,1.76,AVG
