Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,54.9,55.45,54.72,55.2,51281633,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,55.3,56.8,55.08,56.56,68687753,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,56.62,57.54,56.56,57.17,60512596,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,57.36,57.54,56.56,56.66,74344078,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,56.66,57.26,56.14,56.6,89054027,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,56.74,56.9,55.71,55.95,87383441,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,55.88,55.95,54.61,54.97,134444371,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,53.06,55.15,53.06,54.52,275574236,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,54.71,55.15,54.29,54.42,141888428,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,54.59,54.59,53.13,53.67,215346951,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,53.81,57.61,53.61,57.08,632289604,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,57.08,71.58,57.08,68.26,533724706,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,68.88,71.8,68.03,69.32,89000074,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,69.57,69.81,69.08,69.29,33771785,,,2.18,,,,,,0,,,,,0,,0,,,,,
2006-01-23,69.08,69.47,68.29,69.11,36528785,,53.06,2.11,90.1,60.86,,,,0,,,60.86,,0,,0,,,,,
2006-01-24,69.86,70.26,67.79,68.24,98982821,,53.06,2.13,86.44,60.28,,,,0,,,60.28,,0,,0,,,,,
2006-01-25,68.49,68.86,67.4,67.74,117047947,,53.06,2.08,84.32,59.99,,,,0,,,59.99,,0,,0,,,,,
2006-01-27,68.38,69.2,68.37,68.75,54941663,,53.06,2.04,85.11,60.67,,,,0,,,60.67,,0,,0,,,,,
2006-01-30,68.88,70.67,68.88,69.97,63495319,,53.06,2.03,86.03,61.46,,,,0,,,61.46,,0,,0,,,,,
2006-01-31,69.71,70.83,69.71,70.25,54326385,,53.06,1.97,86.25,61.69,,71.8,,0,,,61.69,,0,,0,,,,,
2006-02-01,70.32,70.73,68.98,69.35,43206477,,53.06,1.95,81.97,61.12,,71.8,71.8,0,,,61.12,,0,,0,,,,,
2006-02-02,69.85,70.45,68.98,69.73,43943959,,53.06,1.92,82.37,61.38,,71.8,71.8,0,,,61.38,,0,,0,,,,,
2006-02-03,69.57,69.57,68.39,68.55,30004832,,53.13,1.88,76.72,60.67,,71.8,71.8,0,,,60.67,,0,,0,,,,,
2006-02-06,68.39,71.12,67.26,70.88,83346920,,53.13,2.02,79.68,62.08,,71.8,71.8,0,,,62.08,,0,,0,,,,,
2006-02-07,70.9,71.19,69.52,70.9,59512226,,53.61,1.99,79.7,62.27,,71.8,71.8,0,,,62.27,,0,,0,,,,,
2006-02-08,70.84,71.05,70.26,70.5,59064976,,57.08,1.91,77.74,63.23,,71.8,71.8,0,,,63.23,,0,,0,,,,,
2006-02-10,70.36,71.2,70.36,70.81,45202538,,67.26,1.83,78.19,66.87,,71.8,71.8,0,,,66.87,,0,,0,,,,,
2006-02-13,70.36,70.95,70.36,70.53,27743423,,67.26,1.74,76.68,66.75,,71.8,71.8,0,,,66.75,,0,,0,,,,,
2006-02-14,70.36,71.28,70.07,70.28,57810973,,67.26,1.7,75.28,66.61,,71.8,71.8,0,,,66.61,,0,,0,,,,,
2006-02-15,70.07,70.74,68.54,69.06,67014266,,67.26,1.74,68.72,65.8,64.48,71.8,71.8,0,,,65.8,,0,,0,,,,,
2006-02-16,69.06,69.81,68.3,68.59,35513864,,67.26,1.72,66.31,65.51,64.92,71.8,71.8,0,,,65.51,,0,,0,,,,,
2006-02-17,69.18,69.62,67.9,68.21,40528581,,67.26,1.72,64.36,65.27,65.31,71.8,71.8,0,,,65.27,,0,,0,,,,,
2006-02-20,68.29,69.22,67.8,69.08,28227011,,67.26,1.7,66.78,65.84,65.71,71.28,71.8,0,,,65.84,,0,,0,,,,,
2006-02-21,69.08,69.47,68.32,68.66,29401892,,67.26,1.66,64.5,65.6,66.11,71.28,71.28,0,,,65.6,,0,,0,,,,,
2006-02-22,68.81,69.42,68.68,69.27,25688530,,67.26,1.6,66.3,66.03,66.53,71.28,71.28,0,,,66.03,,0,,0,,,,,
2006-02-23,69.37,69.55,68.39,68.92,54348189,,67.26,1.57,64.29,65.83,66.96,71.28,71.28,0,,,65.83,,0,,0,,,,,
2006-02-24,69.08,69.61,68.78,69.16,21010408,,67.26,1.51,65.07,66.02,67.44,71.28,71.28,0,,,66.02,,0,,0,,,,,
