Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,66.79,67.17,66.03,66.23,21240601,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,66.47,66.97,66.31,66.76,17462401,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,67.02,67.56,67.02,67.18,19420938,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,67.45,69.2,67.28,68.9,42574671,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,68.87,69.53,68.15,68.81,23846595,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,69.37,69.37,67.48,67.85,22970843,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,67.63,68.35,66.47,66.69,27809666,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,66.68,68.5,66.17,68.29,33539820,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,68.44,68.65,67.41,67.62,21138282,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,67.78,68.03,66.17,67.15,24173308,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,67.04,67.85,66.28,66.45,17349516,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,66.31,66.31,64.6,65.36,26612014,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,65.87,66.97,65.87,66.44,20332545,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,66.79,67.1,66.06,66.38,19838109,,,1.41,,,,,,0,,,,,0,,0,,,,,
2006-01-23,66.36,66.94,65.67,66.06,14207857,,64.6,1.4,60.43,63.21,,,,0,,,63.21,,0,,0,,,,,
2006-01-24,66.24,67.08,65.88,66.02,24233455,,64.6,1.38,60.15,63.19,,,,0,,,63.19,,0,,0,,,,,
2006-01-25,66.31,66.61,64.44,64.79,39929027,,64.44,1.44,52.22,62.31,,,,0,,,62.31,,0,,0,,,,,
2006-01-27,65.87,67.26,65.51,66.88,23000350,,64.44,1.51,61.51,63.61,,,,0,,,63.61,,0,,0,,,,,
2006-01-30,66.24,66.73,64.5,64.68,34126697,,64.44,1.58,50.4,62.15,,,,0,,,62.15,,0,,0,,,,,
