TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2017-06-21,843.49,765.5589229607708,2017-08-04,981.5224571187051,TRAILING_STOP,32,16.364444998601655,37.94591518571648,-1.4440005216422322
2,2017-10-31,943.09,863.6265593943235,2017-11-13,927.9425732286185,TRAILING_STOP,10,-1.6061485935999278,14.814068646682705,-1.289378532271584
3,2020-12-01,289.52,258.7132380105575,2020-12-18,275.84453333333335,SMA150_BREAK,14,-4.723496361794225,11.391268306161932,-3.9202818458137494
4,2021-01-18,308.6,279.0478425490797,2021-03-18,354.29276272411363,TRAILING_STOP,42,14.80646880236993,42.624756966947494,-7.689565780946214
5,2021-03-23,404.7,364.48824087136836,2021-04-05,364.48824087136836,TRAILING_STOP,8,-9.936189554887974,2.2041018038052917,-8.75463306152706
6,2021-05-10,399.88,359.42090813030126,2021-05-17,359.42090813030126,TRAILING_STOP,5,-10.11780830991766,4.99649894968491,-7.762328698609588
7,2021-06-17,399.91,365.79935838956317,2021-07-19,426.77040296367085,TRAILING_STOP,23,6.716611978612893,26.428446400440098,-0.00750168787978034
8,2021-07-28,487.02,442.12259967945516,2021-08-04,472.7452369685098,TRAILING_STOP,6,-2.9310424687877665,10.243932487372179,-4.954621986776723
9,2022-07-25,360.3,333.0679546111597,2022-07-26,356.60339999999997,SMA150_BREAK,2,-1.025978351373868,0.6633361087982199,-2.320288648348602
10,2022-08-05,383.91,350.6586018231631,2022-08-24,378.40816775588775,TRAILING_STOP,12,-1.4331046974843789,15.748482717303528,-0.052095543226288836
11,2022-11-03,418.05,379.9570161954962,2022-12-27,527.1655054128373,TRAILING_STOP,38,26.101065760755244,49.0778614998206,0.0
12,2023-01-04,651.21,553.386992352949,2023-01-19,581.9037988515479,TRAILING_STOP,12,-10.642680724874026,6.360467437539344,-8.875785077010498
13,2023-04-10,573.8,515.1116526354085,2023-08-10,1274.540474892509,TRAILING_STOP,86,122.12277359576669,169.76646915301504,-7.941791565005218
14,2023-10-18,1090.97,995.7582647610067,2023-10-25,1030.294430373316,TRAILING_STOP,5,-5.561616692180733,10.090103302565598,-4.9011430195147465
15,2023-12-21,1202.68,1071.487924568299,2024-02-28,1606.3684130031213,TRAILING_STOP,47,33.565737602946854,53.449795456813106,0.0
16,2024-03-22,1923.74,1643.667517000291,2024-05-06,1917.0455884080193,TRAILING_STOP,27,-0.34798941603234973,13.670246499007133,-9.568340836079717
17,2024-07-31,2016.05,1847.0630479919846,2024-08-05,1847.0630479919846,TRAILING_STOP,4,-8.382081397188331,4.409612856823981,-4.611492770516605
18,2024-09-02,2172.68,1965.463283770979,2024-10-03,2116.734786769945,TRAILING_STOP,23,-2.574940314729037,9.736362464790028,-3.7805843474418634
19,2024-12-10,2234.25,2033.8116375824736,2024-12-20,2033.8116375824736,TRAILING_STOP|SMA150_BREAK,9,-8.971169851964927,1.4188206333221356,-5.520420722837647
20,2025-05-08,2113.66,1886.2944230983314,2025-06-19,2334.1547012895057,TRAILING_STOP,31,10.431890715134218,22.13080627915559,-7.565076691615485
21,2025-08-19,2597.92,2379.8173260924227,2025-11-06,2576.427296926878,TRAILING_STOP,54,-0.8273042693047477,7.024850649750569,-4.769199975364911
22,2025-12-05,2833.23,2625.837308289097,2026-01-12,3083.3763703843347,TRAILING_STOP,26,8.82901742478848,20.060496323983585,-6.360231961400939
