Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2016-06-09,178.15,178.15,178.15,178.15,10,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-10,187.06,187.06,187.06,187.06,8,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-13,196.41,196.41,196.41,196.41,32,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-14,206.22,206.22,206.22,206.22,18,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-15,216.51,216.51,216.51,216.51,18,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-16,227.32,227.32,227.32,227.32,60,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-17,238.68,238.68,238.68,238.68,34,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-20,250.6,250.6,250.6,250.6,26,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-21,263.12,263.12,263.12,263.12,34,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-22,276.27,276.27,276.27,276.27,66,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-23,290.08,290.08,290.08,290.08,18,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-24,304.58,304.58,304.58,304.58,54,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-27,319.79,319.79,319.79,319.79,124,,,,,,,,,0,,,,,0,,0,,,,,
2016-06-28,335.78,335.78,335.78,335.78,58,,,7.87,,,,,,0,,,,,0,,0,,,,,
2016-06-29,352.56,352.56,352.56,352.56,350,,178.15,8.51,100.0,281.11,,,,0,,,281.11,,0,,0,,,,,
2016-06-30,370.17,370.17,370.17,370.17,42,,187.06,9.16,100.0,295.01,,,,0,,,295.01,,0,,0,,,,,
2016-07-01,388.67,388.67,388.67,388.67,232,,196.41,9.83,100.0,309.61,,,,0,,,309.61,,0,,0,,,,,
2016-07-04,408.09,408.09,408.09,408.09,18,,206.22,10.51,100.0,324.95,,,,0,,,324.95,,0,,0,,,,,
2016-07-05,428.49,428.49,428.49,428.49,20,,216.51,11.22,100.0,341.07,,,,0,,,341.07,,0,,0,,,,,
2016-07-07,449.92,449.92,449.92,449.92,16,,227.32,11.95,100.0,358.01,,449.92,,0,,,358.01,,0,,0,,,,,
2016-07-08,472.41,472.41,472.41,472.41,40,,238.68,12.7,100.0,375.8,,472.41,449.92,0,,,375.8,,0,,0,,,,,
2016-07-11,496.02,496.02,496.02,496.02,18,,250.6,13.48,100.0,394.48,,496.02,472.41,0,,,394.48,,0,,0,,,,,
2016-07-12,520.81,520.81,520.81,520.81,1002,,263.12,14.29,100.0,414.1,,520.81,496.02,0,,,414.1,,0,,0,,,,,
2016-07-13,546.83,546.83,495.5,546.83,2426,,276.27,16.93,100.0,433.51,,546.83,520.81,0,,,433.51,,0,,0,,,,,
2016-07-14,574.16,574.16,519.55,574.16,1526,,290.08,19.62,100.0,453.94,,574.16,546.83,0,,,453.94,,0,,0,,,,,
2016-07-15,602.85,602.85,594.84,602.85,1598,,304.58,20.27,100.0,476.85,,602.85,574.16,0,,,476.85,,0,,0,,,,,
2016-07-18,632.99,632.99,619.03,632.99,1178,,319.79,20.98,100.0,500.89,,632.99,602.85,0,,,500.89,,0,,0,,,,,
2016-07-19,664.64,664.64,664.64,664.64,1074,,335.78,21.74,100.0,526.13,,664.64,632.99,0,,,526.13,,0,,0,,,,,
2016-07-20,697.87,697.87,697.87,697.87,1478,,352.56,22.56,100.0,552.61,,697.87,664.64,0,,,552.61,,0,,0,,,,,
2016-07-21,732.74,732.74,732.74,732.74,1060,,370.17,23.44,100.0,580.38,394.33,732.74,697.87,0,,,580.38,,0,,0,,,,,
2016-07-22,769.36,769.36,769.36,769.36,2078,,388.67,24.38,100.0,609.54,414.03,769.36,732.74,0,,,609.54,,0,,0,,,,,
2016-07-25,807.82,807.82,743.55,807.82,3954,,408.09,27.23,100.0,638.92,434.73,807.82,769.36,0,,,638.92,,0,,0,,,,,
2016-07-26,845.78,848.2,801.68,848.2,1074,,428.49,28.61,100.0,670.85,456.45,848.2,807.82,0,,,670.85,,0,,0,,,,,
2016-07-27,890.49,890.61,890.49,890.61,524,,449.92,29.59,100.0,704.69,479.26,890.61,848.2,0,,,704.69,,0,,0,,,,,
2016-07-28,935.13,935.13,935.13,935.13,204,,472.41,30.66,100.0,740.19,503.22,935.13,890.61,0,,,740.19,,0,,0,,,,,
2016-07-29,981.88,981.88,981.88,981.88,2082,,495.5,31.81,100.0,777.27,528.37,981.88,935.13,0,,,777.27,,0,,0,,,,,
2016-08-01,1030.95,1030.95,1030.74,1030.95,5022,,495.5,33.04,100.0,808.1,554.78,1030.95,981.88,0,,,808.1,,0,,0,,,,,
2016-08-02,1082.49,1082.49,1082.49,1082.49,1362,,495.5,34.36,100.0,840.46,582.51,1082.49,1030.95,0,,,840.46,,0,,0,,,,,
2016-08-03,1136.6,1136.6,1136.6,1136.6,1480,,519.55,35.77,100.0,882.44,611.63,1136.6,1082.49,0,,,882.44,,0,,0,,,,,
2016-08-04,1193.42,1193.42,1193.42,1193.42,1020,,594.84,37.28,100.0,943.18,642.2,1193.42,1136.6,0,,,943.18,,0,,0,,,,,
2016-08-05,1253.09,1253.09,1253.09,1253.09,1966,,619.03,38.88,100.0,988.67,674.3,1253.09,1193.42,0,,,988.67,,0,,0,,,,,
2016-08-08,1315.73,1315.73,1315.73,1315.73,2540,,664.64,40.57,100.0,1043.14,708.0,1315.73,1253.09,0,,,1043.14,,0,,0,,,,,
2016-08-09,1381.51,1381.51,1249.95,1249.95,4842,,697.87,47.07,88.48,1007.46,739.01,1381.51,1315.73,0,,,1007.46,,0,,0,,,,,
2016-08-10,1187.47,1187.47,1187.47,1187.47,202,,732.74,48.17,79.15,978.05,767.4,1381.51,1381.51,0,,,978.05,,0,,0,,,,,
