Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2006-01-02,16.65,17.07,16.65,16.85,157186,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-03,17.22,17.52,16.96,17.41,293579,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-04,17.66,18.66,17.52,18.17,626831,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-05,18.25,18.68,17.69,17.72,474638,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-06,17.75,17.9,17.3,17.54,142063,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-09,17.58,17.73,17.23,17.33,133036,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-10,17.37,18.52,17.22,17.79,510046,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-12,17.59,18.03,17.37,17.49,224056,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-13,17.66,17.85,16.86,16.95,430208,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-16,17.15,17.15,16.27,16.57,468531,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-17,16.78,16.91,16.63,16.72,140287,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-18,16.49,16.49,16.13,16.26,121029,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-19,16.66,17.58,16.53,17.33,358956,,,,,,,,,0,,,,,0,,0,,,,,
2006-01-20,17.73,17.74,17.0,17.16,130163,,,0.67,,,,,,0,,,,,0,,0,,,,,
2006-01-23,16.93,17.03,16.71,16.89,95653,,16.13,0.66,69.92,15.83,,,,0,,,15.83,,0,,0,,,,,
2006-01-24,16.89,17.07,16.78,16.91,85087,,16.13,0.63,70.02,15.86,,,,0,,,15.86,,0,,0,,,,,
2006-01-25,17.07,17.66,16.93,17.55,311375,,16.13,0.64,73.05,16.27,,,,0,,,16.27,,0,,0,,,,,
2006-01-27,17.96,18.03,17.12,17.23,196905,,16.13,0.66,69.27,16.05,,,,0,,,16.05,,0,,0,,,,,
2006-01-30,17.07,17.4,16.93,17.25,140575,,16.13,0.64,69.38,16.07,,,,0,,,16.07,,0,,0,,,,,
2006-01-31,17.3,17.35,16.78,17.02,263523,,16.13,0.64,66.52,15.93,,18.68,,0,,,15.93,,0,,0,,,,,
