Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2022-08-26,257.88,309.46,254.31,307.97,59961608,,,,,,,,0,,
2022-08-29,306.48,340.01,299.64,323.59,26916230,,,,,,,,0,,
2022-08-30,326.07,332.17,295.03,307.23,14738635,,,,,,,,0,,
2022-09-01,304.5,320.12,300.08,308.02,6675246,,,,,,,,0,,
2022-09-02,312.28,315.16,304.65,306.09,3200134,,,,,,,,0,,
2022-09-05,307.18,308.61,293.79,295.52,2385633,,,,,,,,0,,
2022-09-06,295.52,299.24,283.32,290.07,3059543,,,,,,,,0,,
2022-09-07,287.69,301.52,287.69,296.17,2129454,,,,,,,,0,,
2022-09-08,301.52,315.01,298.55,302.76,3704362,,,,,,,,0,,
2022-09-09,305.49,309.46,300.28,301.23,1348278,,,,,,,,0,,
2022-09-12,302.02,305.44,297.56,298.3,1008692,,,,,,,,0,,
2022-09-13,300.13,306.48,298.05,300.33,1412597,,,,,,,,0,,
2022-09-14,294.58,301.52,292.6,294.23,828216,,,,,,,,0,,
2022-09-15,297.31,299.54,292.6,293.24,696342,,,29.84,,,,,0,,
2022-09-16,293.59,297.26,282.68,284.91,895009,,254.31,28.75,249.37,,,,0,,
2022-09-19,286.65,293.09,285.75,289.08,503976,,282.68,27.28,262.5,,,,0,,
2022-09-20,289.08,304.3,288.63,301.77,1551226,,282.68,26.45,271.23,,,,0,,
2022-09-21,303.51,309.36,297.56,298.55,1467410,,282.68,25.41,269.85,,,,0,,
2022-09-22,297.56,302.22,290.96,294.58,589415,,282.68,24.39,267.97,,,,0,,
2022-09-23,295.57,297.46,284.17,286.35,527352,,282.68,23.6,263.19,,340.01,,0,,
2022-09-26,285.16,285.16,268.69,270.48,778954,,268.69,23.18,248.57,,340.01,340.01,0,,
2022-09-27,276.73,279.7,269.98,272.02,876305,,268.69,22.22,250.21,,332.17,340.01,0,,
2022-09-28,267.8,273.75,267.5,272.56,330342,,267.5,21.08,250.92,,320.12,332.17,0,,
2022-09-29,275.73,283.67,273.6,276.28,628845,,267.5,20.36,253.79,,315.16,320.12,0,,
2022-09-30,277.72,283.62,273.8,279.9,377671,,267.5,19.61,256.63,,315.01,315.16,0,,
2022-10-03,279.7,298.45,277.92,287.24,1094337,,267.5,19.68,261.32,,315.01,315.01,0,,
2022-10-04,293.39,296.86,288.18,291.8,472956,,267.5,18.96,264.74,,315.01,315.01,0,,
2022-10-06,293.09,303.36,292.74,300.73,1724316,,267.5,18.43,270.85,,315.01,315.01,0,,
2022-10-07,302.17,307.72,297.9,299.04,703871,,267.5,17.81,270.17,,309.46,315.01,0,,
2022-10-10,294.58,300.13,293.09,294.88,292804,,267.5,17.04,268.0,294.16,309.36,309.46,0,,
2022-10-11,297.56,299.54,287.74,289.17,471211,,267.5,16.67,264.57,293.54,309.36,309.36,0,,
2022-10-12,290.61,293.14,285.7,290.61,224818,,267.5,16.01,265.94,292.44,309.36,309.36,0,,
2022-10-13,290.17,290.17,280.74,282.83,215455,,267.5,15.57,261.21,291.62,309.36,309.36,0,,
2022-10-14,288.78,294.53,283.17,285.26,293417,,267.5,15.3,262.96,290.87,309.36,309.36,0,,
2022-10-17,287.54,287.54,279.5,280.69,317836,,267.5,14.78,260.36,290.02,309.36,309.36,0,,
2022-10-18,282.78,289.47,276.73,277.57,557666,,267.5,14.63,258.44,289.42,309.36,309.36,0,,
2022-10-19,279.7,282.08,277.62,279.16,262682,,267.5,13.91,259.95,289.06,309.36,309.36,0,,
2022-10-20,277.72,278.71,274.54,275.93,191623,,273.6,13.25,260.34,288.38,307.72,309.36,0,,
2022-10-21,278.61,279.35,266.31,271.02,359130,,266.31,13.23,254.76,287.32,307.72,307.72,0,,
2022-10-24,272.76,273.65,270.28,271.02,117471,,266.31,12.53,255.23,286.32,307.72,307.72,0,,
2022-10-25,271.87,277.72,269.19,276.58,279243,,266.31,12.24,259.0,285.59,307.72,307.72,0,,
2022-10-27,277.72,278.41,272.02,273.5,167308,,266.31,11.82,257.3,284.7,307.72,307.72,0,,
2022-10-28,275.19,277.72,270.68,275.49,281734,,266.31,11.48,258.81,284.07,307.72,307.72,0,,
2022-10-31,274.3,277.07,268.89,272.51,304743,,266.31,11.25,257.04,283.38,307.72,307.72,0,,
2022-11-01,276.18,292.6,276.18,282.88,903885,,266.31,11.88,263.31,283.32,307.72,307.72,0,,
2022-11-02,280.05,287.24,279.9,283.07,266298,,266.31,11.55,263.65,283.12,307.72,307.72,0,,
2022-11-03,282.18,286.35,280.2,281.88,217089,,266.31,11.17,263.14,282.45,307.72,307.72,0,,
2022-11-04,283.37,287.24,280.74,283.07,264036,,266.31,10.83,264.13,281.94,307.72,307.72,0,,
2022-11-07,286.65,294.08,284.07,286.0,507607,,266.31,10.85,266.01,281.65,300.13,307.72,0,,
2022-11-09,287.59,291.6,282.13,286.5,273028,,266.31,10.75,266.4,281.66,299.54,300.13,0,,
2022-11-10,287.29,287.29,281.34,283.52,194794,,266.31,10.41,264.7,282.09,294.53,299.54,0,,
2022-11-11,287.59,295.72,283.42,284.21,756714,,266.31,10.54,265.06,282.5,295.72,294.53,0,,
2022-11-14,287.44,287.44,274.74,275.93,400970,,266.31,10.7,259.61,282.61,295.72,295.72,0,,
2022-11-15,297.56,306.48,286.25,303.31,3613436,,268.89,12.11,277.19,283.51,306.48,295.72,1,303.31,277.19
2022-11-16,306.48,314.96,299.69,307.82,2452899,,268.89,12.34,279.95,284.44,314.96,306.48,0,,
2022-11-17,307.47,307.47,294.98,297.7,771828,,268.89,12.37,273.4,284.79,314.96,314.96,0,,
2022-11-18,299.94,303.51,279.8,290.31,724776,,268.89,13.18,268.09,284.74,314.96,314.96,0,,
2022-11-21,290.46,300.04,288.78,298.8,555283,,268.89,13.05,273.66,284.68,314.96,314.96,0,,
2022-11-22,305.29,305.29,282.83,285.16,1724629,,274.74,13.72,266.36,284.21,314.96,314.96,0,,
2022-11-23,286.1,287.49,280.2,282.38,369393,,274.74,13.26,264.88,283.8,314.96,314.96,0,,
2022-11-24,282.68,283.97,279.8,280.4,369729,,274.74,12.61,264.03,283.5,314.96,314.96,0,,
2022-11-25,281.83,283.07,275.73,280.25,562366,,274.74,12.23,264.19,283.16,314.96,314.96,0,,
2022-11-28,281.69,287.04,279.26,282.43,488700,,274.74,11.92,265.8,283.14,314.96,314.96,0,,
2022-11-29,281.69,286.65,280.0,283.92,289105,,274.74,11.54,267.02,283.1,314.96,314.96,0,,
2022-11-30,282.78,283.77,278.21,279.11,385831,,274.74,11.12,264.19,283.05,314.96,314.96,0,,
2022-12-01,280.59,285.26,280.0,282.38,390147,,274.74,10.77,266.54,283.21,314.96,314.96,0,,
2022-12-02,282.38,282.68,277.22,280.1,342158,,274.74,10.39,265.32,283.24,314.96,314.96,0,,
2022-12-05,280.4,282.23,276.53,276.97,291609,,275.73,10.05,263.85,283.27,314.96,314.96,0,,
2022-12-06,277.22,278.12,274.0,277.02,271878,,274.0,9.63,263.59,283.47,314.96,314.96,0,,
2022-12-07,277.47,281.64,272.76,276.23,292919,,272.76,9.58,262.7,283.65,314.96,314.96,0,,
2022-12-08,277.62,283.67,275.29,281.04,353518,,272.76,9.49,265.86,283.8,314.96,314.96,0,,
2022-12-09,278.96,282.88,275.44,277.97,304037,,272.76,9.34,263.98,283.95,314.96,314.96,0,,
2022-12-12,277.62,282.68,274.05,281.14,349818,,272.76,9.29,266.06,284.13,314.96,314.96,0,,
2022-12-13,281.69,291.36,279.5,283.47,513303,,272.76,9.48,267.44,284.5,314.96,314.96,0,,
2022-12-14,283.77,305.49,283.77,294.58,2012107,,272.76,10.37,274.01,284.89,307.47,314.96,0,,
2022-12-15,295.92,298.55,288.53,290.41,593139,,272.76,10.35,271.34,285.13,305.49,307.47,0,,
2022-12-16,289.52,291.21,281.19,282.08,402334,,272.76,10.32,265.98,285.14,305.49,305.49,0,,
2022-12-19,283.47,283.62,278.26,279.31,251717,,272.76,9.97,264.43,285.02,305.49,305.49,0,,
2022-12-20,280.69,281.88,276.18,280.79,255727,,272.76,9.66,265.59,284.84,305.49,305.49,0,,
2022-12-21,281.34,285.85,272.81,274.69,547863,,272.76,9.91,261.49,284.45,305.49,305.49,0,,
2022-12-22,275.64,277.72,261.35,265.82,594673,,261.35,10.37,251.66,283.86,305.49,305.49,0,,
2022-12-23,262.34,266.21,247.12,252.08,940384,,247.12,10.99,237.64,282.79,305.49,305.49,0,,
2022-12-26,253.17,268.94,252.92,265.57,395719,,247.12,11.41,246.06,282.44,305.49,305.49,0,,
2022-12-27,267.16,275.73,267.16,271.07,289935,,247.12,11.32,249.67,281.37,305.49,305.49,0,,
2022-12-28,270.97,273.75,265.82,271.27,192557,,247.12,11.08,249.96,280.15,305.49,305.49,0,,
2022-12-29,269.78,270.48,266.26,267.01,143032,,247.12,10.64,247.5,279.13,305.49,305.49,0,,
2022-12-30,270.83,282.68,270.83,278.56,321265,,247.12,11.0,254.71,278.73,305.49,305.49,0,,
2023-01-02,278.56,278.71,273.55,274.25,154868,,247.12,10.59,252.21,277.92,305.49,305.49,0,,
2023-01-03,274.74,277.62,273.5,275.64,166635,,247.12,10.12,253.41,277.6,305.49,305.49,0,,
2023-01-04,274.74,276.48,269.14,273.45,204555,,247.12,9.93,252.13,277.3,305.49,305.49,0,,
2023-01-05,272.76,274.64,267.3,269.39,160103,,247.12,9.74,249.64,276.93,305.49,305.49,0,,
2023-01-06,269.78,272.46,266.76,267.95,220496,,247.12,9.45,248.9,276.52,305.49,305.49,0,,
2023-01-09,269.78,273.26,268.1,271.82,141630,,247.12,9.16,251.59,276.17,305.49,305.49,0,,
2023-01-10,269.83,271.17,267.8,268.59,131269,,247.12,8.79,249.75,275.66,305.49,305.49,0,,
2023-01-11,268.79,270.92,267.2,270.28,105729,,247.12,8.43,251.09,275.36,298.55,305.49,0,,
2023-01-12,270.78,273.55,268.05,272.16,100915,,247.12,8.22,252.44,275.02,291.21,298.55,0,,
2023-01-13,271.77,271.82,269.78,270.73,54049,,252.92,7.8,253.73,274.71,285.85,291.21,0,,
2023-01-16,271.57,271.77,267.8,268.39,66265,,265.82,7.53,256.7,274.43,285.85,285.85,0,,
2023-01-17,269.24,270.08,263.34,264.28,111377,,263.34,7.47,253.26,274.0,285.85,285.85,0,,
2023-01-18,264.28,267.7,262.89,263.83,68689,,262.89,7.28,252.95,273.59,282.68,285.85,0,,
2023-01-19,264.33,267.7,262.2,266.71,179445,,262.2,7.15,254.66,273.11,282.68,282.68,0,,
2023-01-20,267.8,269.78,264.43,269.09,129117,,262.2,7.03,256.28,272.81,282.68,282.68,0,,
2023-01-23,272.76,274.69,264.13,265.82,194585,,262.2,7.28,254.0,272.3,282.68,282.68,0,,
2023-01-24,263.93,268.1,261.9,263.14,145200,,261.9,7.2,252.22,271.63,282.68,282.68,0,,
2023-01-25,262.84,263.73,257.58,259.47,125206,,257.58,7.13,248.47,270.46,282.68,282.68,0,,
2023-01-27,259.47,261.3,248.95,257.44,464459,,248.95,7.5,244.03,269.36,282.68,282.68,0,,
2023-01-30,257.58,258.97,246.08,250.1,312901,,246.08,7.88,238.09,268.29,278.71,282.68,0,,
2023-01-31,252.38,255.15,249.45,253.47,233618,,246.08,7.73,240.36,267.43,277.62,278.71,0,,
2023-02-01,253.96,269.49,251.58,255.9,630417,,246.08,8.46,241.45,266.6,276.48,277.62,0,,
2023-02-02,255.95,258.67,251.63,252.38,175442,,246.08,8.35,239.24,265.86,274.69,276.48,0,,
2023-02-03,252.87,256.39,247.02,251.14,209805,,246.08,8.43,238.39,265.37,274.69,274.69,0,,
2023-02-06,252.43,258.77,248.31,256.34,240722,,246.08,8.57,241.65,265.51,274.69,274.69,0,,
2023-02-07,258.38,268.35,258.38,265.52,374176,,246.08,8.82,247.41,265.51,274.69,274.69,0,,
2023-02-08,265.77,266.81,257.53,260.91,323026,,246.08,8.85,244.41,265.17,274.69,274.69,0,,
2023-02-09,265.96,272.71,260.06,263.24,914899,,246.08,9.12,245.74,264.9,274.69,274.69,0,,
2023-02-10,263.24,278.71,260.21,274.54,786270,,246.08,9.79,252.58,265.15,278.71,274.69,0,,
2023-02-13,275.73,278.66,260.51,265.72,565375,,246.08,10.39,246.49,264.72,278.71,278.71,0,,
2023-02-14,267.06,269.49,262.84,264.77,196260,,246.08,10.12,246.06,264.41,278.71,278.71,0,,
2023-02-15,264.77,267.35,260.56,261.7,197852,,246.08,9.88,244.23,263.94,278.71,278.71,0,,
2023-02-16,260.41,266.06,260.41,261.65,197890,,246.08,9.58,244.4,263.55,278.71,278.71,0,,
2023-02-17,261.65,264.63,257.98,258.82,304498,,246.08,9.37,242.72,263.2,278.71,278.71,0,,
2023-02-20,259.82,261.4,254.91,256.15,167898,,247.02,9.17,241.45,262.8,278.71,278.71,0,,
2023-02-21,256.2,264.73,254.71,263.24,313877,,247.02,9.23,245.98,262.52,278.71,278.71,0,,
2023-02-22,262.59,264.82,259.32,262.74,186439,,247.02,8.96,245.83,262.32,278.71,278.71,0,,
2023-02-23,261.6,281.64,259.72,276.48,771556,,247.02,9.89,254.08,262.53,281.64,278.71,0,,
2023-02-24,277.72,284.96,271.77,274.79,1020161,,248.31,10.12,253.26,262.62,284.96,281.64,0,,
2023-02-27,274.84,280.5,263.09,265.22,422566,,254.71,10.64,248.87,262.43,284.96,284.96,0,,
2023-02-28,265.22,266.81,260.91,263.24,170172,,254.71,10.3,247.82,262.26,284.96,284.96,0,,
2023-03-01,264.68,276.68,261.65,273.16,508172,,254.71,10.64,254.0,262.56,284.96,284.96,0,,
2023-03-02,270.38,275.59,263.34,264.28,151215,,254.71,10.76,248.19,262.57,284.96,284.96,0,,
2023-03-03,268.25,270.23,265.02,267.4,141522,,254.71,10.41,250.43,262.6,284.96,284.96,0,,
