Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2021-07-29,2101.18,2521.4,2101.18,2300.52,7860870,,,,,,,,,0,,
2021-07-30,2311.27,2367.98,2238.64,2256.4,1432655,,,,,,,,,0,,
2021-08-02,2267.49,2276.14,2236.64,2251.82,493438,,,,,,,,,0,,
2021-08-03,2253.51,2268.63,2238.63,2256.74,329279,,,,,,,,,0,,
2021-08-04,2256.74,2262.51,2197.59,2201.92,349040,,,,,,,,,0,,
2021-08-05,2201.08,2203.81,2109.39,2120.88,303604,,,,,,,,,0,,
2021-08-06,2120.88,2177.94,2099.34,2123.62,236079,,,,,,,,,0,,
2021-08-09,2133.42,2145.81,2050.44,2068.7,211519,,,,,,,,,0,,
2021-08-10,2059.54,2067.5,2007.66,2033.53,193101,,,,,,,,,0,,
2021-08-11,2033.68,2047.6,1990.89,2000.99,132078,,,,,,,,,0,,
2021-08-12,2023.73,2153.92,2006.86,2113.62,382918,,,,,,,,,0,,
2021-08-13,2123.22,2185.21,2120.29,2147.55,182102,,,,,,,,,0,,
2021-08-16,2119.24,2157.05,2050.59,2117.9,99656,,,,,,,,,0,,
2021-08-17,2151.73,2173.96,2117.25,2159.59,153911,,,210.52,,,,,,0,,
2021-08-18,2163.02,2218.74,2137.55,2191.38,170423,,1990.89,201.29,31.18,1942.88,,,,0,,
2021-08-20,2168.99,2246.59,2146.45,2188.89,188841,,1990.89,194.06,31.04,1946.09,,,,0,,
2021-08-23,2233.06,2233.06,2118.54,2172.32,87957,,1990.89,188.38,30.07,1939.19,,,,0,,
2021-08-24,2172.67,2173.96,2109.29,2133.42,60029,,1990.89,179.54,27.87,1919.99,,,,0,,
2021-08-25,2079.44,2210.78,2042.88,2180.48,290102,,1990.89,178.71,34.15,1950.9,,,,0,,
2021-08-26,2169.98,2169.98,2100.34,2127.75,209220,,1990.89,171.67,30.9,1921.58,,2521.4,,0,,
2021-08-27,2109.29,2137.7,2069.49,2074.72,221377,,1990.89,164.28,28.02,1892.3,,2367.98,2521.4,0,,
2021-08-30,2077.45,2117.25,2060.54,2066.76,109506,,1990.89,156.6,27.6,1892.29,,2276.14,2367.98,0,,
2021-08-31,2077.45,2089.39,2040.64,2050.39,71756,,1990.89,148.89,26.72,1886.87,,2268.63,2276.14,0,,
2021-09-01,2063.52,2068.4,2033.68,2040.09,62935,,1990.89,140.74,26.16,1885.66,,2262.51,2268.63,0,,
2021-09-02,2043.63,2070.14,2015.77,2028.6,78604,,2006.86,134.57,25.51,1887.69,,2246.59,2262.51,0,,
2021-09-03,2037.66,2069.2,2030.69,2038.55,140229,,2015.77,127.86,27.19,1901.55,,2246.59,2246.59,0,,
2021-09-06,2051.58,2072.48,2024.72,2028.95,103904,,2015.77,122.14,26.57,1899.17,,2246.59,2246.59,0,,
2021-09-07,2036.66,2088.45,2020.84,2055.51,124097,,2015.77,118.24,31.26,1918.9,,2246.59,2246.59,0,,
2021-09-08,2062.53,2062.53,2032.18,2046.01,32946,,2015.77,111.96,30.51,1916.96,,2246.59,2246.59,0,,
2021-09-09,2030.69,2055.76,2030.69,2036.76,28814,,2015.77,105.76,29.76,1915.13,2120.48,2246.59,2246.59,0,,
2021-09-13,2035.57,2058.0,2032.78,2043.13,32321,,2015.77,100.0,31.02,1923.07,2111.9,2246.59,2246.59,0,,
2021-09-14,2048.6,2054.57,2031.24,2048.6,44506,,2015.77,94.53,32.14,1930.25,2104.97,2246.59,2246.59,0,,
2021-09-15,2053.57,2183.91,2049.59,2170.03,220711,,2015.77,97.44,51.15,2006.63,2102.25,2246.59,2246.59,0,,
2021-09-16,2205.2,2245.5,2159.59,2171.92,170249,,2015.77,96.62,51.38,2008.4,2099.42,2246.59,2246.59,0,,
2021-09-17,2176.95,2176.95,2074.47,2094.52,70261,,2015.77,97.04,42.6,1958.2,2095.84,2246.59,2246.59,0,,
2021-09-20,2069.49,2139.14,2069.15,2082.08,49877,,2015.77,95.1,41.38,1951.46,2094.55,2245.5,2246.59,0,,
2021-09-21,2072.48,2135.66,2052.13,2124.81,54112,,2015.77,94.28,47.01,1979.57,2094.58,2245.5,2245.5,0,,
2021-09-22,2170.58,2304.9,2141.28,2253.91,444739,,2015.77,100.41,59.63,2058.76,2100.76,2304.9,2245.5,0,,
