Date,Open,High,Low,Close,Volume,SMA150,MA30,DonchianLow15,DonchianHigh20,DonchianHigh20_prev,ATR14,RSI14,BuyCall,EntryPrice,CandidateStop,StopLoss_Entry,TrailingStop,InPosition,TradeId,EntryDate,ExitSignal,ExitPrice,ExitReason,HoldingDays,PnL_pct
2025-11-12,335.0,345.0,320.0,329.45,31273277,,,,,,,,0,,,,,0,,,0,,,,
2025-11-13,316.6,326.0,316.0,320.75,12079524,,,,,,,,0,,,,,0,,,0,,,,
2025-11-14,310.0,335.0,306.3,317.6,165519798,,,,,,,,0,,,,,0,,,0,,,,
2025-11-17,321.8,325.5,313.0,322.6,17163624,,,,,,,,0,,,,,0,,,0,,,,
2025-11-18,317.2,327.0,310.0,325.15,13458307,,,,,,,,0,,,,,0,,,0,,,,
2025-11-19,320.05,333.0,318.0,325.3,12999201,,,,,,,,0,,,,,0,,,0,,,,
2025-11-20,322.0,326.0,320.1,322.85,9883805,,,,,,,,0,,,,,0,,,0,,,,
2025-11-21,321.05,325.2,317.05,324.1,6066926,,,,,,,,0,,,,,0,,,0,,,,
2025-11-24,321.6,324.0,314.35,320.6,16657006,,,,,,,,0,,,,,0,,,0,,,,
2025-11-25,314.0,320.0,310.05,317.85,7686623,,,,,,,,0,,,,,0,,,0,,,,
2025-11-26,320.0,325.5,317.75,324.05,9984230,,,,,,,,0,,,,,0,,,0,,,,
2025-11-27,322.5,347.7,322.0,343.9,22672738,,,,,,,,0,,,,,0,,,0,,,,
2025-11-28,340.55,359.9,331.1,352.0,18549631,,,,,,,,0,,,,,0,,,0,,,,
2025-12-01,352.45,365.0,351.15,359.05,12843866,,,,,,19.07,,0,,,,,0,,,0,,,,
2025-12-02,360.0,368.0,352.15,354.8,8297661,,,306.3,,,18.84,39.96,0,,318.38,,,0,,,0,,,,
2025-12-03,354.0,362.25,346.5,360.4,11412231,,,306.3,,,18.62,43.52,0,,322.14,,,0,,,0,,,,
2025-12-04,357.75,361.5,354.15,356.45,7199260,,,306.3,,,17.82,41.64,0,,320.13,,,0,,,0,,,,
2025-12-05,355.0,361.45,349.35,359.55,6652749,,,310.0,,,17.41,43.69,0,,323.64,,,0,,,0,,,,
2025-12-08,358.0,364.2,357.1,360.35,6936051,,,310.0,,,16.67,44.24,0,,324.64,,,0,,,0,,,,
2025-12-09,357.1,381.95,353.5,373.1,16119717,,,310.05,381.95,,17.51,52.17,0,,332.32,,,0,,,0,,,,
2025-12-10,378.05,382.95,368.35,377.8,16089720,,,310.05,382.95,381.95,17.31,54.72,0,,335.49,,,0,,,0,,,,
2025-12-11,378.2,379.9,370.15,372.8,9667951,,,310.05,382.95,382.95,16.77,51.57,0,,332.63,,,0,,,0,,,,
2025-12-12,371.5,379.0,366.35,373.45,12391574,,,310.05,382.95,382.95,16.47,51.96,0,,333.24,,,0,,,0,,,,
2025-12-15,372.5,379.15,365.2,377.95,7033258,,,310.05,382.95,382.95,16.29,54.66,0,,336.27,,,0,,,0,,,,
2025-12-16,377.95,390.0,374.5,387.35,10329070,,,317.75,390.0,382.95,16.24,59.77,0,,344.93,,,0,,,0,,,,
2025-12-17,389.0,397.5,383.55,386.9,10044939,,,322.0,397.5,390.0,16.07,59.42,0,,346.17,,,0,,,0,,,,
2025-12-18,391.0,406.8,390.2,401.05,18688147,,,331.1,406.8,397.5,16.35,66.05,0,,358.15,,,0,,,0,,,,
2025-12-19,402.05,403.3,385.25,394.35,22075008,,,346.5,406.8,406.8,16.47,60.97,0,,358.88,,,0,,,0,,,,
2025-12-22,396.35,414.0,394.35,411.7,12081781,,,346.5,414.0,406.8,16.69,67.87,0,,369.92,,,0,,,0,,,,
2025-12-23,412.85,428.2,412.5,426.1,13800012,,355.98,346.5,428.2,414.0,16.68,72.25,0,,379.21,,,0,,,0,,,,
2025-12-24,427.15,432.3,408.0,408.75,19626872,,358.62,349.35,432.3,428.2,17.22,61.39,0,,368.61,,,0,,,0,,,,
2025-12-26,410.0,416.5,403.4,408.65,9030231,,361.55,349.35,432.3,432.3,16.93,61.33,0,,368.74,,,0,,,0,,,,
2025-12-29,410.0,418.0,406.55,409.5,7173718,,364.62,353.5,432.3,432.3,16.54,61.66,0,,370.93,,,0,,,0,,,,
2025-12-30,409.95,415.5,406.0,409.65,6416425,,367.52,353.5,432.3,432.3,16.04,61.72,0,,371.37,,,0,,,0,,,,
2025-12-31,411.85,418.0,409.7,415.5,6269208,,370.53,365.2,432.3,432.3,15.49,64.14,0,,379.41,,,0,,,0,,,,
