TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2022-09-07,229.31,210.678903864925,2022-09-08,224.1738,SMA150_BREAK,2,-2.23984998473682,0.946317212507081,-6.257904147224279
2,2022-09-13,247.09,221.05453192600626,2022-09-26,221.64533333333335,TRAILING_STOP|SMA150_BREAK,10,-10.297732270292869,3.399571006515847,-9.00076895058481
3,2022-11-07,247.63,222.60046172471564,2022-12-22,241.37868173162974,TRAILING_STOP,33,-2.5244591803780865,6.4733675241287525,-6.909502079715699
4,2023-05-02,254.47,238.5849610354926,2023-08-04,307.75958433551006,TRAILING_STOP,68,20.941401475816427,34.39698196251032,-3.5917789916296563
5,2023-08-10,372.93,329.89525241120305,2023-09-12,352.9931173998619,TRAILING_STOP,23,-5.346012013015343,10.312927359021796,-6.958410425549028
6,2023-11-10,406.03,353.1056984596819,2024-01-23,452.1026544413844,TRAILING_STOP,49,11.34710598758329,32.31288328448638,-7.903356894810723
7,2024-02-08,515.6,465.9796428447149,2024-02-13,465.9796428447149,TRAILING_STOP,4,-9.623808602654217,6.301396431342127,-7.8801396431342114
8,2024-05-21,600.39,531.1536090350847,2024-06-04,548.4733395374109,TRAILING_STOP,11,-8.647156092304852,8.536118189843268,-4.5986775262745905
9,2024-06-06,656.33,576.7002265547686,2024-07-15,679.1063872308581,TRAILING_STOP,27,3.4702645362634748,19.545045937257164,-4.1533984428564885
10,2024-07-29,759.78,685.894612496964,2024-08-13,753.0446647808017,TRAILING_STOP,12,-0.8864849323749381,16.27971254836927,-3.9261365132011803
11,2024-09-05,895.07,809.785934410978,2024-09-27,820.9378122248181,TRAILING_STOP,17,-8.282278232449073,5.04764990447674,-7.808327840280659
12,2024-10-11,944.83,854.7695753703418,2024-11-12,980.7934588458929,TRAILING_STOP,23,3.806341759458621,26.024787527915073,-4.7542944233354225
13,2025-03-24,964.85,843.9378082897347,2025-04-07,953.0532000000001,TRAILING_STOP|SMA150_BREAK,10,-1.2226563714566991,11.752085816448151,-2.3578794631289837
14,2025-07-24,974.6,895.6811903361177,2025-08-06,936.3968666666667,TRAILING_STOP|SMA150_BREAK,10,-3.919878240645733,4.971270264723982,-3.462959162733429
15,2025-08-13,1057.25,953.913055434491,2025-08-28,962.1536026450458,TRAILING_STOP,10,-8.994693530854027,3.84488058642706,-8.725467013478363
