Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2021-08-16,420.86,435.31,390.05,392.12,4103620,,,,,,,,,0,,
2021-08-17,395.82,409.12,380.42,386.72,1489590,,,,,,,,,0,,
2021-08-18,392.89,392.89,371.17,373.96,828719,,,,,,,,,0,,
2021-08-20,368.96,371.27,350.56,353.16,575989,,,,,,,,,0,,
2021-08-23,355.62,362.12,325.52,328.75,716162,,,,,,,,,0,,
2021-08-24,329.37,348.35,319.79,336.31,810181,,,,,,,,,0,,
2021-08-25,340.74,342.86,331.97,333.75,237878,,,,,,,,,0,,
2021-08-26,335.15,338.43,330.91,332.02,155491,,,,,,,,,0,,
2021-08-27,333.18,339.68,331.35,335.15,198540,,,,,,,,,0,,
2021-08-30,338.71,346.9,336.35,343.1,267011,,,,,,,,,0,,
2021-08-31,345.74,380.22,343.0,376.47,1335497,,,,,,,,,0,,
2021-09-01,377.53,389.85,373.19,382.2,645507,,,,,,,,,0,,
2021-09-02,384.94,389.04,377.57,380.03,228236,,,,,,,,,0,,
2021-09-03,383.88,384.46,375.94,377.62,142188,,,28.43,,,,,,0,,
2021-09-06,377.53,386.63,377.53,379.26,196629,,319.79,27.05,40.82,333.19,,,,0,,
2021-09-07,379.55,389.47,379.55,383.26,215336,,319.79,25.85,43.18,336.57,,,,0,,
2021-09-08,389.08,395.92,377.53,382.0,430392,,319.79,25.32,42.6,336.11,,,,0,,
2021-09-09,373.67,381.28,369.87,371.51,226032,,319.79,24.37,38.06,329.97,,,,0,,
2021-09-13,362.12,367.56,353.45,355.71,517639,,319.79,23.92,32.44,320.08,,,,0,,
2021-09-14,358.26,365.01,356.82,363.08,283508,,319.79,22.88,37.1,325.53,,435.31,,0,,
2021-09-15,365.97,375.5,363.56,372.76,208916,,330.91,22.13,42.7,335.98,,409.12,435.31,0,,
2021-09-16,371.75,372.66,364.14,370.69,96325,,330.91,21.17,41.84,335.29,,395.92,409.12,0,,
2021-09-17,373.34,375.02,365.25,370.74,113435,,331.35,20.35,41.87,336.01,,395.92,395.92,0,,
2021-09-20,365.49,369.82,359.71,361.2,185119,,336.35,19.69,37.82,331.97,,395.92,395.92,0,,
2021-09-21,357.06,361.73,352.29,357.74,54108,,343.0,18.95,36.44,332.44,,395.92,395.92,0,,
2021-09-22,362.84,364.09,357.35,358.55,47626,,352.29,18.08,37.02,336.64,,395.92,395.92,0,,
